pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,17.52,-19.09,-36.001,25.65,39.37,-12.697,-68.402,24.569,-10.621,0.0018,swarm_165_187.pdb
top_2_A,A,top_2_B,B,5.42,-16.87,-33.976,-10.5,20.82,-18.713,-21.009,0.921,-0.964,-0.1468,swarm_71_86.pdb
top_3_A,A,top_3_B,B,7.98,-20.03,-34.669,-39.89,8.57,-18.824,-58.119,19.584,-9.251,-0.0342,swarm_87_198.pdb
top_4_A,A,top_4_B,B,4.32,-19.23,-33.643,-24.12,-2.48,-22.84,-73.268,-7.484,-9.288,-0.1302,swarm_49_139.pdb
top_5_A,A,top_5_B,B,9.78,-21.51,-31.323,-48.73,-8.49,-10.036,-83.451,1.101,-7.146,-0.1477,swarm_102_73.pdb
top_6_A,A,top_6_B,B,9.62,-20.16,-32.984,-11.2,-2.72,-28.461,-68.281,-17.054,-6.458,0.0073,swarm_149_197.pdb
top_7_A,A,top_7_B,B,7.24,-22.24,-34.685,-33.9,3.42,-21.689,-59.55,-2.715,-7.974,-0.2263,swarm_20_133.pdb
top_8_A,A,top_8_B,B,4.4,-14.98,-29.812,-8.41,20.47,-14.898,-26.514,10.176,-3.4,0.0724,swarm_77_52.pdb
top_9_A,A,top_9_B,B,2.22,-15.86,-30.119,-68.94,-12.1,-13.269,-44.358,10.627,-4.681,0.0536,swarm_155_81.pdb
top_10_A,A,top_10_B,B,6.7,-18.26,-30.858,-26.2,9.0,-22.271,-71.915,-14.187,-5.42,0.0098,swarm_191_68.pdb
top_11_A,A,top_11_B,B,6.0,-16.72,-31.906,-60.45,-11.71,2.362,-53.399,10.719,-3.601,0.0573,swarm_165_98.pdb
top_12_A,A,top_12_B,B,3.08,-14.65,-28.983,0.8,41.46,0.681,-26.923,13.414,-3.256,0.1711,swarm_91_126.pdb
top_13_A,A,top_13_B,B,10.98,-17.71,-28.963,-13.94,-3.08,-17.313,-55.315,-12.068,-7.782,0.0104,swarm_191_61.pdb
top_14_A,A,top_14_B,B,-4.5,-18.97,-30.655,-72.4,-30.23,-15.043,-35.239,-27.781,0.766,-0.253,swarm_120_157.pdb
top_15_A,A,top_15_B,B,11.5,-17.56,-31.634,16.85,30.84,-17.868,-14.286,14.969,-9.383,0.1058,swarm_13_50.pdb
top_16_A,A,top_16_B,B,8.78,-18.51,-29.908,19.72,15.8,-27.271,-34.958,-5.356,-2.745,0.1102,swarm_166_116.pdb
top_17_A,A,top_17_B,B,7.96,-18.56,-34.194,23.59,49.19,-20.41,8.44,3.922,-9.445,0.1134,swarm_116_171.pdb
top_18_A,A,top_18_B,B,9.92,-21.71,-36.029,-32.99,5.64,-22.847,-69.59,-0.521,-8.141,0.0347,swarm_77_165.pdb
top_19_A,A,top_19_B,B,3.66,-16.39,-27.455,-1.75,35.25,-17.727,-31.515,6.588,-5.108,0.0097,swarm_166_185.pdb
top_20_A,A,top_20_B,B,5.32,-18.47,-29.76,-15.22,12.62,-12.972,-47.049,-10.994,-5.283,-0.0061,swarm_34_85.pdb
top_21_A,A,top_21_B,B,11.46,-19.09,-28.776,-40.99,-0.32,-20.728,-35.482,-12.735,-4.225,0.1754,swarm_65_98.pdb
top_22_A,A,top_22_B,B,8.7,-20.47,-34.805,29.3,40.45,-9.737,-13.002,5.572,-6.738,0.093,swarm_126_107.pdb
top_23_A,A,top_23_B,B,10.56,-15.33,-31.355,-32.31,12.51,-19.594,-47.976,-4.743,-4.967,0.2406,swarm_79_31.pdb
top_24_A,A,top_24_B,B,7.54,-18.89,-30.965,-57.59,-16.58,-25.831,-81.3,-13.776,-5.859,-0.0705,swarm_176_47.pdb
top_25_A,A,top_25_B,B,-2.48,-12.08,-27.187,-43.91,-19.5,-4.303,-50.782,1.096,-0.473,0.0065,swarm_79_24.pdb
top_26_A,A,top_26_B,B,4.8,-17.03,-25.902,13.08,16.2,-18.106,-9.256,-11.652,-2.427,0.1708,swarm_148_90.pdb
top_27_A,A,top_27_B,B,6.52,-10.29,-25.951,-4.23,-4.64,-13.789,-71.902,14.308,-4.309,-0.0793,swarm_124_159.pdb
top_28_A,A,top_28_B,B,2.0,-20.41,-30.725,4.35,12.32,-14.823,-36.708,-21.081,1.422,-0.1292,swarm_116_55.pdb
top_29_A,A,top_29_B,B,0.98,-9.55,-25.686,1.19,-3.21,-11.079,4.519,17.98,-5.695,0.1192,swarm_185_99.pdb
top_30_A,A,top_30_B,B,4.72,-23.32,-32.959,-37.49,11.65,-19.351,-39.796,-7.49,-7.529,0.0861,swarm_194_122.pdb
top_31_A,A,top_31_B,B,8.6,-11.99,-27.902,25.87,18.4,-11.555,-39.501,12.033,-7.488,0.0553,swarm_187_112.pdb
