pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.28,-29.82,-42.1924,-46.29,-17.77,-2.591,-70.581,-19.79,15.524,-0.1048,swarm_151_182.pdb
top_2_A,A,top_2_B,B,-3.12,-27.33,-38.3535,-59.54,-13.54,-3.723,-43.23,-30.627,12.111,-0.1808,swarm_18_154.pdb
top_3_A,A,top_3_B,B,-10.36,-29.31,-40.7997,2.67,13.76,-12.05,10.559,-31.368,15.084,0.205,swarm_232_0.pdb
top_4_A,A,top_4_B,B,-6.12,-30.71,-39.3665,-50.72,-21.3,-11.785,-35.443,-39.97,23.653,-0.0362,swarm_232_67.pdb
top_5_A,A,top_5_B,B,-0.8,-25.33,-35.832,-81.28,-37.86,-3.89,-50.783,-17.494,7.083,-0.1771,swarm_64_156.pdb
top_6_A,A,top_6_B,B,-1.0,-26.09,-37.2174,19.38,48.06,-10.11,34.265,-7.444,11.044,-0.004,swarm_187_139.pdb
top_7_A,A,top_7_B,B,-5.96,-27.53,-36.0619,-100.97,-31.32,-1.973,74.058,-19.76,21.32,-0.4046,swarm_193_82.pdb
top_8_A,A,top_8_B,B,0.58,-24.29,-36.902,0.11,4.01,-5.36,-17.089,2.569,11.167,-0.0758,swarm_8_144.pdb
top_9_A,A,top_9_B,B,-2.08,-29.98,-35.9017,-73.17,-48.12,-16.422,-71.591,-38.583,16.735,-0.2148,swarm_62_182.pdb
top_10_A,A,top_10_B,B,-6.92,-25.92,-35.137,-13.65,-2.08,-2.574,-1.272,-14.818,17.592,-0.1831,swarm_172_174.pdb
top_11_A,A,top_11_B,B,1.98,-26.5,-39.4254,-21.5,2.58,-1.208,-39.358,7.007,11.789,-0.1121,swarm_201_106.pdb
top_12_A,A,top_12_B,B,3.44,-28.41,-39.8419,-31.07,-29.69,-4.002,-68.628,-17.679,5.762,-0.0763,swarm_191_62.pdb
top_13_A,A,top_13_B,B,-14.4,-27.28,-33.967,-26.41,5.52,-10.963,-58.412,-25.581,14.127,-0.1538,swarm_125_165.pdb
top_14_A,A,top_14_B,B,-1.68,-24.34,-34.1477,-18.16,38.08,-22.381,16.231,-15.131,9.954,-0.2304,swarm_138_9.pdb
top_15_A,A,top_15_B,B,2.48,-22.86,-34.4697,-13.85,-5.06,-9.929,-56.779,-14.761,11.871,-0.2948,swarm_181_1.pdb
top_16_A,A,top_16_B,B,-0.04,-26.09,-31.5768,-36.77,-20.72,-9.234,19.323,-13.222,14.151,0.0355,swarm_210_32.pdb
top_17_A,A,top_17_B,B,-13.38,-26.34,-34.1228,-55.71,-15.61,-6.53,-9.201,-31.909,17.376,-0.2167,swarm_226_31.pdb
top_18_A,A,top_18_B,B,0.88,-20.77,-29.5988,-17.72,-3.27,-14.331,26.872,-14.712,16.627,-0.1807,swarm_232_106.pdb
top_19_A,A,top_19_B,B,-4.76,-24.24,-35.8621,-29.62,-13.45,-13.188,-28.837,-19.233,6.113,-0.3105,swarm_174_38.pdb
top_20_A,A,top_20_B,B,8.24,-23.33,-30.8924,-13.67,25.35,-14.583,31.588,-19.942,14.709,0.0393,swarm_110_114.pdb
