pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.42,-31.22,-51.104,-122.7,-35.38,-0.528,-42.368,8.588,0.958,-0.0544,swarm_316_94.pdb
top_2_A,A,top_2_B,B,4.98,-30.14,-47.6029,-37.68,1.84,-23.486,-11.744,-6.688,0.886,-0.1127,swarm_79_193.pdb
top_3_A,A,top_3_B,B,9.22,-27.98,-44.857,-57.97,-4.72,-13.446,-76.474,-0.297,-1.229,-0.136,swarm_246_131.pdb
top_4_A,A,top_4_B,B,-1.14,-24.85,-36.1262,-37.12,-18.84,-12.126,-63.418,-25.005,1.171,-0.1855,swarm_170_189.pdb
top_5_A,A,top_5_B,B,2.96,-24.38,-41.076,-53.02,-2.08,-12.054,-28.907,-0.117,-1.493,-0.2251,swarm_117_73.pdb
top_6_A,A,top_6_B,B,7.28,-21.75,-36.951,-89.66,-31.12,-28.842,-73.158,-12.615,-1.685,-0.0731,swarm_182_61.pdb
top_7_A,A,top_7_B,B,8.78,-25.09,-42.745,-38.91,-4.94,-24.153,-91.163,11.645,-5.528,-0.0786,swarm_144_45.pdb
top_8_A,A,top_8_B,B,5.32,-23.92,-39.52,-16.66,-3.94,-26.976,-88.366,-6.676,-5.775,0.1104,swarm_291_162.pdb
top_9_A,A,top_9_B,B,12.06,-22.56,-39.45,-43.73,-3.36,-14.058,-74.19,7.303,-6.163,0.0243,swarm_364_193.pdb
top_10_A,A,top_10_B,B,3.38,-22.27,-37.5852,25.36,19.92,-11.745,8.92,0.477,0.665,0.0108,swarm_129_104.pdb
top_11_A,A,top_11_B,B,6.82,-27.15,-44.4155,-35.35,12.28,5.237,-40.727,32.108,-0.517,0.0612,swarm_326_190.pdb
top_12_A,A,top_12_B,B,6.18,-26.02,-41.933,-26.25,-10.54,-13.024,-90.086,-6.628,2.964,-0.0738,swarm_316_166.pdb
top_13_A,A,top_13_B,B,-1.82,-23.52,-37.9087,21.93,26.38,-17.52,95.09,-16.465,9.282,-0.2442,swarm_291_30.pdb
top_14_A,A,top_14_B,B,-1.62,-26.27,-38.745,-95.53,-55.23,-13.4,-74.819,-5.461,0.987,-0.1793,swarm_129_11.pdb
top_15_A,A,top_15_B,B,6.8,-21.82,-38.503,-26.34,1.51,-20.636,-29.296,-19.415,-2.492,-0.1213,swarm_326_90.pdb
top_16_A,A,top_16_B,B,3.06,-29.48,-41.542,-108.21,-48.96,-15.749,-82.296,-19.035,5.703,-0.1231,swarm_217_143.pdb
top_17_A,A,top_17_B,B,1.76,-32.65,-45.097,-60.24,-23.27,-7.118,-67.4,-6.653,0.07,-0.0077,swarm_79_171.pdb
top_18_A,A,top_18_B,B,0.86,-24.7,-37.2462,-38.76,-19.32,-4.455,-58.193,7.847,2.384,-0.1214,swarm_246_66.pdb
top_19_A,A,top_19_B,B,2.18,-24.84,-37.2882,-85.82,-57.61,-24.448,-91.069,-20.174,-2.012,-0.0615,swarm_326_81.pdb
