pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.4,-26.55,-49.236,2.74,57.86,-11.388,84.508,7.627,-1.015,-0.1977,swarm_168_43.pdb
top_2_A,A,top_2_B,B,-2.12,-24.51,-44.418,103.25,103.62,-6.279,174.522,6.257,4.857,0.0103,swarm_225_164.pdb
top_3_A,A,top_3_B,B,-3.12,-29.5,-42.599,-75.89,-10.82,-3.996,-32.469,-13.052,1.264,0.0146,swarm_144_163.pdb
top_4_A,A,top_4_B,B,-0.38,-28.57,-42.13,-27.7,13.87,4.158,-45.031,1.789,5.825,-0.3031,swarm_157_98.pdb
top_5_A,A,top_5_B,B,-0.42,-27.06,-41.129,80.65,71.06,-8.128,25.923,-3.159,8.095,0.055,swarm_166_119.pdb
top_6_A,A,top_6_B,B,-0.04,-29.24,-43.424,-18.5,6.08,-17.579,-44.927,-18.895,2.77,-0.3503,swarm_200_187.pdb
top_7_A,A,top_7_B,B,0.04,-21.15,-39.844,9.16,37.34,2.338,-24.574,5.876,8.267,0.103,swarm_211_159.pdb
top_8_A,A,top_8_B,B,1.4,-20.59,-35.891,7.12,28.66,1.118,68.393,9.099,4.259,0.2102,swarm_193_56.pdb
top_9_A,A,top_9_B,B,-6.12,-23.85,-41.323,93.18,85.68,-1.924,134.199,13.94,-8.498,0.0585,swarm_109_154.pdb
top_10_A,A,top_10_B,B,-1.84,-24.68,-43.429,-28.67,5.83,-4.361,55.883,11.465,11.711,-0.0572,swarm_39_154.pdb
top_11_A,A,top_11_B,B,-1.54,-24.24,-35.086,-34.06,2.13,-7.641,24.104,-9.542,-3.437,-0.1638,swarm_171_0.pdb
top_12_A,A,top_12_B,B,3.0,-31.15,-42.961,-67.18,-3.92,-16.446,-42.557,-24.495,7.331,-0.0015,swarm_46_77.pdb
top_13_A,A,top_13_B,B,5.98,-20.7,-33.883,49.22,26.74,-18.785,52.331,-13.335,2.073,0.0713,swarm_305_39.pdb
top_14_A,A,top_14_B,B,-1.7,-24.23,-40.881,8.12,47.53,-9.965,29.02,-17.294,0.631,-0.0391,swarm_72_38.pdb
top_15_A,A,top_15_B,B,-3.24,-27.62,-39.537,-44.59,19.03,-22.203,8.535,-36.077,15.835,-0.1471,swarm_253_15.pdb
top_16_A,A,top_16_B,B,-2.12,-27.97,-39.749,31.28,43.67,-17.924,6.938,-20.316,7.25,-0.2065,swarm_242_61.pdb
top_17_A,A,top_17_B,B,-1.28,-24.96,-36.1,11.15,34.79,-18.309,-12.215,-14.712,1.789,0.0548,swarm_297_81.pdb
top_18_A,A,top_18_B,B,-0.36,-26.34,-39.18,-20.65,28.01,-8.978,-34.484,-31.033,16.708,-0.2287,swarm_213_77.pdb
top_19_A,A,top_19_B,B,-6.28,-23.6,-34.405,2.75,12.45,-5.573,-16.675,-13.628,0.034,-0.0037,swarm_145_18.pdb
top_20_A,A,top_20_B,B,3.08,-24.51,-37.521,9.78,12.96,-6.421,2.594,-7.497,4.917,-0.2541,swarm_257_57.pdb
top_21_A,A,top_21_B,B,1.9,-24.95,-36.836,-48.13,-37.89,-2.792,-50.727,-4.884,-1.298,-0.3062,swarm_151_73.pdb
top_22_A,A,top_22_B,B,-2.34,-23.88,-41.251,97.94,80.41,-6.225,76.455,12.568,2.977,-0.2671,swarm_45_122.pdb
top_23_A,A,top_23_B,B,-4.64,-23.68,-39.641,-32.81,-3.69,-0.412,14.279,-1.689,-0.889,-0.2319,swarm_72_31.pdb
top_24_A,A,top_24_B,B,-1.82,-20.14,-35.326,67.25,51.74,-0.716,15.927,3.144,-1.425,-0.011,swarm_228_177.pdb
