pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.64,-22.62,-38.904,29.24,11.75,-8.577,31.759,11.045,-7.413,0.0068,swarm_236_89.pdb
top_2_A,A,top_2_B,B,4.74,-20.83,-37.385,51.5,52.6,9.782,29.977,13.032,-0.154,0.2607,swarm_1_155.pdb
top_3_A,A,top_3_B,B,10.04,-27.2,-43.996,11.33,24.61,-19.024,-45.118,-9.536,-8.501,0.173,swarm_106_120.pdb
top_4_A,A,top_4_B,B,1.06,-19.46,-38.661,17.89,21.05,-25.647,-44.866,1.755,0.303,0.1828,swarm_282_167.pdb
top_5_A,A,top_5_B,B,3.54,-28.23,-37.565,50.75,63.83,-7.133,28.283,-9.23,-8.304,0.0733,swarm_276_74.pdb
top_6_A,A,top_6_B,B,5.54,-20.34,-35.888,-11.16,13.38,-10.028,-45.041,13.711,-1.413,0.0956,swarm_6_20.pdb
top_7_A,A,top_7_B,B,5.66,-28.42,-43.54,140.84,105.73,7.277,39.873,11.97,-10.727,0.3043,swarm_222_43.pdb
top_8_A,A,top_8_B,B,11.24,-24.68,-38.711,-77.29,-36.18,-3.486,-71.973,4.541,-1.602,0.2309,swarm_326_34.pdb
top_9_A,A,top_9_B,B,15.12,-22.81,-43.327,19.9,46.05,-28.981,-22.725,4.772,-1.388,0.2737,swarm_1_178.pdb
top_10_A,A,top_10_B,B,6.18,-23.25,-40.556,-6.76,40.44,-16.245,-38.685,-8.888,-3.195,-0.2668,swarm_332_32.pdb
top_11_A,A,top_11_B,B,2.52,-25.21,-36.818,-38.92,3.5,-20.085,-42.231,-8.345,0.819,0.0091,swarm_220_12.pdb
top_12_A,A,top_12_B,B,6.38,-24.21,-39.568,-14.76,41.71,-13.077,-48.183,-21.193,-4.442,0.1875,swarm_220_116.pdb
top_13_A,A,top_13_B,B,8.18,-21.74,-35.447,59.35,76.57,-2.126,122.26,13.536,-12.553,0.1111,swarm_26_170.pdb
top_14_A,A,top_14_B,B,13.08,-22.88,-40.395,39.13,64.08,-24.261,0.465,-1.589,-10.023,0.1767,swarm_321_47.pdb
top_15_A,A,top_15_B,B,-4.74,-23.42,-36.393,-4.09,19.64,5.052,0.831,18.588,-2.023,0.0649,swarm_47_19.pdb
top_16_A,A,top_16_B,B,3.8,-17.37,-32.798,46.77,46.82,-2.628,61.863,8.171,-5.501,0.1414,swarm_326_169.pdb
top_17_A,A,top_17_B,B,8.66,-25.78,-37.517,-36.29,-5.02,-18.154,-82.994,-6.312,-0.016,-0.0113,swarm_1_21.pdb
top_18_A,A,top_18_B,B,13.16,-20.97,-42.761,58.86,83.22,-22.011,79.289,8.407,-5.783,0.3397,swarm_326_35.pdb
top_19_A,A,top_19_B,B,4.44,-25.94,-39.291,-1.61,15.38,-9.08,-31.93,-5.714,-2.325,-0.0141,swarm_104_65.pdb
top_20_A,A,top_20_B,B,8.06,-20.68,-34.671,2.99,-1.87,-15.039,-41.978,-11.102,-5.651,-0.2217,swarm_276_72.pdb
top_21_A,A,top_21_B,B,4.14,-21.44,-34.612,-37.08,-36.99,-19.556,-50.579,-5.52,-0.233,-0.1924,swarm_236_107.pdb
top_22_A,A,top_22_B,B,4.32,-24.72,-36.533,26.37,27.33,-14.035,-37.117,-2.874,-1.739,-0.0046,swarm_47_53.pdb
top_23_A,A,top_23_B,B,6.48,-25.67,-36.99,25.31,17.98,-13.781,-44.227,-4.246,-5.919,0.0428,swarm_103_60.pdb
top_24_A,A,top_24_B,B,8.36,-24.89,-37.633,76.39,57.31,-20.447,12.845,-8.063,-10.688,0.0288,swarm_10_40.pdb
top_25_A,A,top_25_B,B,2.76,-17.65,-34.385,-14.67,0.29,-15.339,-65.313,-3.017,-3.027,-0.0159,swarm_112_129.pdb
top_26_A,A,top_26_B,B,6.8,-23.91,-36.756,-16.83,-3.29,-12.221,-68.22,3.588,-1.847,-0.1762,swarm_317_111.pdb
top_27_A,A,top_27_B,B,6.68,-25.64,-39.109,45.01,53.33,-4.001,-7.463,-3.202,-6.234,0.1522,swarm_222_119.pdb
top_28_A,A,top_28_B,B,9.26,-20.62,-36.674,-2.54,23.58,-8.644,-25.198,6.619,-3.424,0.2064,swarm_204_195.pdb
top_29_A,A,top_29_B,B,8.82,-24.65,-39.49,35.19,36.96,-8.337,-10.192,-4.452,-5.885,0.2098,swarm_47_50.pdb
top_30_A,A,top_30_B,B,13.44,-24.92,-37.028,6.49,15.16,-14.846,-33.727,-7.973,-7.259,0.1783,swarm_295_188.pdb
top_31_A,A,top_31_B,B,6.02,-20.01,-32.528,-1.84,22.35,-6.798,-31.704,-6.266,-4.643,0.2014,swarm_259_57.pdb
top_32_A,A,top_32_B,B,6.16,-19.69,-32.185,-54.79,-17.57,-13.652,-69.614,-15.57,-0.349,-0.2233,swarm_89_98.pdb
top_33_A,A,top_33_B,B,10.56,-19.6,-30.384,117.3,107.85,-2.318,109.045,8.422,-5.701,0.3078,swarm_222_191.pdb
top_34_A,A,top_34_B,B,10.12,-22.1,-33.482,13.94,13.2,-5.594,-53.644,5.011,-0.583,0.4161,swarm_70_69.pdb
top_35_A,A,top_35_B,B,11.82,-23.44,-36.269,-36.37,17.79,-8.765,39.886,1.214,-4.517,-0.0682,swarm_318_105.pdb
top_36_A,A,top_36_B,B,5.46,-19.54,-35.594,-7.55,9.42,-17.355,-4.984,-0.3,-4.109,0.2517,swarm_326_12.pdb
top_37_A,A,top_37_B,B,6.2,-19.49,-36.619,58.08,62.63,-3.09,10.62,21.584,-3.342,-0.0017,swarm_332_169.pdb
top_38_A,A,top_38_B,B,8.28,-21.27,-34.359,23.74,53.64,-4.667,25.065,-1.116,-5.252,0.1868,swarm_89_55.pdb
top_39_A,A,top_39_B,B,5.26,-18.91,-33.717,-60.78,-20.51,-29.018,-58.792,-12.715,1.718,-0.0387,swarm_6_79.pdb
top_40_A,A,top_40_B,B,8.26,-25.72,-38.545,-12.62,23.35,-13.514,-53.202,-8.183,1.928,0.2102,swarm_295_104.pdb
top_41_A,A,top_41_B,B,-0.52,-20.43,-31.05,102.67,52.33,-17.655,64.709,-4.209,-1.819,0.052,swarm_115_9.pdb
top_42_A,A,top_42_B,B,6.54,-27.94,-40.287,20.43,39.6,4.723,1.757,20.058,-7.28,0.1117,swarm_47_22.pdb
top_43_A,A,top_43_B,B,1.6,-18.62,-30.162,39.63,65.25,-2.143,22.772,9.44,-1.551,0.404,swarm_67_88.pdb
top_44_A,A,top_44_B,B,0.96,-21.76,-35.911,-46.85,-17.51,-23.438,-68.017,-12.311,1.365,-0.2526,swarm_103_54.pdb
top_45_A,A,top_45_B,B,2.74,-14.89,-29.378,-24.45,0.72,4.157,-75.29,29.854,-3.426,-0.0443,swarm_25_156.pdb
top_46_A,A,top_46_B,B,6.54,-21.31,-33.27,-52.02,-0.86,-15.095,-48.909,-7.066,1.802,0.1985,swarm_317_71.pdb
top_47_A,A,top_47_B,B,6.9,-20.82,-35.897,-20.19,-8.35,-26.0,-54.577,-19.041,1.14,0.1069,swarm_24_140.pdb
top_48_A,A,top_48_B,B,0.6,-22.28,-33.403,-20.84,7.75,-6.959,-16.795,2.344,-2.954,-0.0057,swarm_196_170.pdb
top_49_A,A,top_49_B,B,5.9,-23.61,-37.12,27.39,3.54,-14.577,-53.82,4.973,-8.541,-0.0698,swarm_203_197.pdb
top_50_A,A,top_50_B,B,-2.04,-21.39,-35.387,3.87,22.05,-1.217,34.419,6.354,1.019,-0.1573,swarm_222_109.pdb
top_51_A,A,top_51_B,B,2.52,-21.48,-31.097,3.57,29.66,-12.999,-22.625,-16.346,-2.769,-0.2147,swarm_79_104.pdb
top_52_A,A,top_52_B,B,10.1,-23.77,-37.321,24.02,32.34,-19.804,-7.812,-1.359,-3.367,0.071,swarm_86_121.pdb
top_53_A,A,top_53_B,B,2.68,-20.01,-29.864,-12.9,-0.9,-14.251,-32.789,-15.953,1.597,-0.0303,swarm_334_58.pdb
top_54_A,A,top_54_B,B,7.84,-15.5,-33.086,-25.1,13.15,-17.958,-16.268,7.533,-10.485,-0.0562,swarm_197_197.pdb
top_55_A,A,top_55_B,B,6.24,-20.52,-35.317,49.84,61.01,-5.99,7.799,10.742,-6.007,0.4157,swarm_220_78.pdb
top_56_A,A,top_56_B,B,6.6,-16.4,-31.619,-16.16,28.77,-3.834,-34.004,2.41,4.055,-0.0302,swarm_220_132.pdb
top_57_A,A,top_57_B,B,6.28,-20.87,-33.716,40.69,27.73,-15.791,-36.077,-13.75,-1.316,0.0663,swarm_1_128.pdb
top_58_A,A,top_58_B,B,5.66,-17.72,-31.339,22.5,13.98,-7.936,-32.332,11.556,-3.274,0.1172,swarm_106_111.pdb
top_59_A,A,top_59_B,B,6.54,-15.86,-31.578,-25.23,-6.6,-25.882,-56.593,-16.403,2.908,0.0563,swarm_135_91.pdb
top_60_A,A,top_60_B,B,3.32,-21.47,-32.335,21.9,38.76,2.865,-10.204,15.682,-3.974,0.0436,swarm_18_0.pdb
top_61_A,A,top_61_B,B,3.54,-21.73,-36.203,102.27,88.56,-20.579,80.326,-6.076,-9.094,0.0708,swarm_97_29.pdb
top_62_A,A,top_62_B,B,6.68,-16.02,-31.784,-85.94,-30.68,-21.123,-91.158,-0.406,-1.358,0.1247,swarm_216_70.pdb
top_63_A,A,top_63_B,B,7.3,-17.96,-32.562,-17.52,7.35,-26.023,-76.608,-4.606,-1.327,-0.0536,swarm_10_64.pdb
top_64_A,A,top_64_B,B,5.08,-21.09,-31.882,14.27,16.99,-14.636,-9.649,-11.382,-2.811,0.0293,swarm_313_23.pdb
top_65_A,A,top_65_B,B,5.96,-20.68,-34.899,-3.98,4.88,-21.445,-52.74,-9.004,1.642,-0.1094,swarm_203_5.pdb
top_66_A,A,top_66_B,B,2.8,-15.65,-34.069,42.04,43.44,-29.105,33.117,-5.125,-5.287,-0.0442,swarm_318_152.pdb
top_67_A,A,top_67_B,B,5.78,-22.82,-32.751,3.79,10.43,3.563,39.001,19.88,-8.471,0.0335,swarm_115_18.pdb
top_68_A,A,top_68_B,B,10.88,-17.82,-37.782,53.94,67.87,-23.317,-0.574,13.607,-13.356,0.1899,swarm_186_132.pdb
top_69_A,A,top_69_B,B,11.12,-18.77,-32.45,-17.47,27.88,-5.948,-44.655,-1.559,-2.011,-0.0049,swarm_21_110.pdb
top_70_A,A,top_70_B,B,2.24,-16.82,-35.654,-15.04,18.24,-1.505,-95.486,22.702,-3.6,-0.0202,swarm_24_139.pdb
top_71_A,A,top_71_B,B,2.16,-21.23,-31.629,-27.44,-1.41,-10.779,-19.859,-9.713,-2.171,-0.148,swarm_30_187.pdb
top_72_A,A,top_72_B,B,-6.44,-22.0,-32.362,2.41,14.0,-9.124,87.508,-0.129,-0.035,-0.0832,swarm_201_55.pdb
top_73_A,A,top_73_B,B,5.16,-17.7,-29.064,-31.7,-19.92,-15.013,-52.249,-14.888,-0.577,-0.1398,swarm_32_40.pdb
top_74_A,A,top_74_B,B,8.94,-15.88,-32.318,30.11,35.06,-20.672,3.19,-3.238,-0.443,-0.1249,swarm_326_91.pdb
top_75_A,A,top_75_B,B,-2.66,-19.65,-31.922,-1.72,15.67,-18.815,10.495,-5.168,-7.136,-0.1051,swarm_76_132.pdb
