pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.78,-33.36,-43.522,-50.21,-21.39,-8.196,-64.274,-19.315,3.171,-0.1585,swarm_205_58.pdb
top_2_A,A,top_2_B,B,1.96,-27.46,-39.684,-0.65,0.31,-6.94,-59.494,-10.876,0.641,-0.0277,swarm_118_0.pdb
top_3_A,A,top_3_B,B,4.66,-24.45,-44.22,-43.4,-4.13,-12.392,-52.563,9.452,-2.951,-0.1761,swarm_243_135.pdb
top_4_A,A,top_4_B,B,2.54,-30.39,-47.261,-43.17,7.62,-5.472,61.62,22.651,-5.59,-0.0366,swarm_21_27.pdb
top_5_A,A,top_5_B,B,2.14,-27.98,-43.431,-104.65,-42.16,-20.116,-89.19,-30.064,1.825,-0.0936,swarm_118_169.pdb
top_6_A,A,top_6_B,B,3.74,-27.71,-39.633,-62.05,-21.53,-15.914,-80.341,-24.589,-0.248,-0.3406,swarm_79_98.pdb
top_7_A,A,top_7_B,B,10.22,-30.39,-48.559,1.83,51.37,-10.07,-85.489,13.397,-14.492,0.1995,swarm_22_139.pdb
top_8_A,A,top_8_B,B,5.78,-36.24,-48.441,-58.7,-18.93,-20.87,-27.566,-20.441,3.136,-0.0102,swarm_74_156.pdb
top_9_A,A,top_9_B,B,1.64,-20.32,-37.386,-31.11,1.89,-12.919,-46.607,6.77,1.534,-0.1166,swarm_12_28.pdb
top_10_A,A,top_10_B,B,-3.0,-28.19,-40.883,-36.17,1.83,-12.007,-43.596,-24.89,6.966,-0.0845,swarm_180_84.pdb
top_11_A,A,top_11_B,B,-4.42,-22.37,-38.303,-57.69,2.61,-13.579,47.667,-10.68,6.862,-0.153,swarm_14_21.pdb
top_12_A,A,top_12_B,B,9.98,-9.25,-36.371,136.91,95.63,-22.453,119.762,30.462,-8.512,-0.0318,swarm_89_124.pdb
top_13_A,A,top_13_B,B,-4.58,-23.68,-38.195,-36.01,-10.16,-6.261,-15.887,-20.201,7.593,-0.0551,swarm_105_89.pdb
top_14_A,A,top_14_B,B,5.24,-22.22,-38.069,-21.56,19.54,-9.702,-5.442,19.945,-4.476,-0.0575,swarm_134_121.pdb
top_15_A,A,top_15_B,B,0.54,-26.63,-39.695,-3.73,23.79,-22.379,-30.562,-31.345,2.271,0.1192,swarm_181_85.pdb
top_16_A,A,top_16_B,B,2.1,-24.31,-35.736,-37.03,-2.34,-12.328,-43.183,-16.189,1.211,-0.07,swarm_152_78.pdb
top_17_A,A,top_17_B,B,8.88,-25.58,-36.806,-54.94,-17.61,-6.502,-83.735,2.558,-4.978,0.026,swarm_118_149.pdb
top_18_A,A,top_18_B,B,3.06,-24.61,-43.923,-48.16,10.49,-9.233,-2.663,22.838,-3.256,-0.189,swarm_124_87.pdb
top_19_A,A,top_19_B,B,8.02,-21.91,-37.284,-14.97,-5.97,-27.473,-42.509,-0.502,-7.073,-0.0964,swarm_74_5.pdb
top_20_A,A,top_20_B,B,1.38,-25.98,-39.166,-16.37,-18.79,-16.893,-57.758,-26.582,4.377,-0.1203,swarm_40_15.pdb
top_21_A,A,top_21_B,B,21.2,-19.51,-39.192,19.86,60.87,-16.396,-19.418,12.598,-8.065,0.4242,swarm_119_27.pdb
top_22_A,A,top_22_B,B,11.4,-20.24,-38.038,27.29,21.33,-25.88,-56.98,-0.183,-5.774,0.1301,swarm_108_154.pdb
top_23_A,A,top_23_B,B,3.5,-20.6,-33.995,-55.89,13.36,-22.456,-53.175,-14.423,-0.562,-0.0637,swarm_74_62.pdb
top_24_A,A,top_24_B,B,14.38,-8.11,-25.505,10.2,24.09,-28.918,33.665,7.578,-6.778,0.1141,swarm_74_60.pdb
top_25_A,A,top_25_B,B,2.08,-23.98,-38.203,-26.49,-1.99,-26.789,-25.567,-29.517,-0.004,-0.1312,swarm_214_93.pdb
top_26_A,A,top_26_B,B,-0.66,-23.87,-38.149,-67.26,-20.04,-23.419,-67.723,-36.505,0.844,-0.1113,swarm_28_192.pdb
top_27_A,A,top_27_B,B,1.58,-26.33,-37.277,-26.69,2.04,-13.105,-31.732,-21.056,3.011,-0.159,swarm_108_159.pdb
top_28_A,A,top_28_B,B,4.74,-23.75,-37.554,-30.07,0.55,-11.431,-61.717,-12.932,-0.595,-0.0936,swarm_208_141.pdb
top_29_A,A,top_29_B,B,5.3,-16.44,-39.293,12.39,37.12,-31.314,27.247,10.283,-8.248,0.1013,swarm_79_50.pdb
top_30_A,A,top_30_B,B,0.4,-25.07,-39.284,43.7,28.29,-7.199,23.417,-3.128,1.376,-0.0124,swarm_71_114.pdb
top_31_A,A,top_31_B,B,11.96,-20.79,-38.966,-2.73,13.08,-29.321,-40.216,0.757,-7.726,-0.0774,swarm_243_171.pdb
top_32_A,A,top_32_B,B,-1.76,-27.65,-36.022,-49.19,-11.27,-17.684,-63.53,-27.88,-1.657,-0.2065,swarm_243_100.pdb
top_33_A,A,top_33_B,B,2.78,-22.37,-35.62,-40.23,-11.06,-3.673,-37.432,-4.154,4.358,-0.1128,swarm_212_128.pdb
top_34_A,A,top_34_B,B,10.22,-23.22,-36.483,-2.01,25.2,-22.378,-18.448,10.232,-4.651,-0.0386,swarm_22_7.pdb
top_35_A,A,top_35_B,B,11.56,-4.1,-26.384,202.87,166.49,-10.718,284.665,30.291,-10.033,0.4558,swarm_243_143.pdb
top_36_A,A,top_36_B,B,-3.08,-24.43,-35.383,-71.99,-12.39,-13.694,-26.957,-18.191,2.685,0.0063,swarm_12_111.pdb
top_37_A,A,top_37_B,B,11.42,-20.45,-39.72,-59.98,-26.95,-24.007,-55.297,1.805,-7.049,0.0109,swarm_12_176.pdb
top_38_A,A,top_38_B,B,12.96,-24.1,-40.295,12.36,38.52,-4.736,-41.784,20.99,-6.231,0.1689,swarm_21_97.pdb
top_39_A,A,top_39_B,B,-1.56,-18.76,-33.373,-37.24,-17.62,-17.657,-46.081,-21.025,-0.866,-0.1631,swarm_243_152.pdb
top_40_A,A,top_40_B,B,1.28,-26.58,-35.3,-76.61,-23.02,-23.186,-15.762,-23.773,0.253,0.0646,swarm_71_120.pdb
top_41_A,A,top_41_B,B,7.56,-26.9,-40.671,-109.07,-45.73,-13.568,-82.414,-5.835,0.315,-0.2917,swarm_40_65.pdb
top_42_A,A,top_42_B,B,-0.04,-20.91,-32.484,-26.94,0.65,-19.714,-49.28,-40.725,1.861,-0.0892,swarm_105_17.pdb
top_43_A,A,top_43_B,B,11.0,-24.05,-37.314,-36.04,-8.37,-12.313,-34.192,-6.956,-7.107,0.0747,swarm_263_78.pdb
top_44_A,A,top_44_B,B,5.14,-17.08,-34.77,-19.44,-3.16,-26.169,-13.857,12.348,-6.564,-0.0682,swarm_105_55.pdb
top_45_A,A,top_45_B,B,9.42,-17.05,-32.639,28.9,40.24,-34.52,32.422,-16.579,-8.165,0.2115,swarm_256_140.pdb
top_46_A,A,top_46_B,B,9.02,-20.56,-36.687,-14.53,31.68,-22.197,-32.181,6.315,-7.538,0.0918,swarm_177_0.pdb
top_47_A,A,top_47_B,B,-0.34,-27.17,-39.58,-26.03,9.09,-21.838,-50.865,-30.941,0.952,0.0302,swarm_181_45.pdb
top_48_A,A,top_48_B,B,7.22,-19.17,-32.734,-48.2,-18.54,-19.194,-52.082,-0.176,-2.234,-0.0712,swarm_40_81.pdb
top_49_A,A,top_49_B,B,0.36,-22.72,-36.584,-36.32,-2.61,-13.666,-44.265,-18.97,-2.057,-0.1419,swarm_208_194.pdb
top_50_A,A,top_50_B,B,13.04,-23.15,-37.027,-22.21,-11.0,-30.608,-81.144,-11.537,-4.948,-0.1465,swarm_214_74.pdb
top_51_A,A,top_51_B,B,3.22,-19.04,-33.275,-52.21,-10.49,-17.683,-42.026,0.674,-0.685,-0.3458,swarm_186_179.pdb
top_52_A,A,top_52_B,B,5.26,-17.5,-30.048,-38.36,-13.84,-23.836,-57.491,-15.48,-1.214,0.1117,swarm_62_169.pdb
top_53_A,A,top_53_B,B,2.9,-21.99,-36.526,15.85,33.71,-4.863,10.107,-3.295,0.529,-0.1528,swarm_14_118.pdb
top_54_A,A,top_54_B,B,5.42,-19.57,-35.223,-49.84,-9.23,-16.8,-33.987,7.823,-4.706,-0.0193,swarm_222_163.pdb
top_55_A,A,top_55_B,B,5.36,-17.29,-35.651,-24.11,-4.12,-17.236,-52.561,-11.075,-4.64,-0.1316,swarm_79_83.pdb
