pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-11.64,-38.28,-43.514,-84.77,-31.36,-3.148,-54.545,-2.912,13.524,-0.1902,swarm_173_49.pdb
top_2_A,A,top_2_B,B,-11.86,-37.74,-46.42,-34.99,-13.64,-1.789,-20.388,-12.664,8.417,-0.1423,swarm_128_193.pdb
top_3_A,A,top_3_B,B,-5.36,-36.6,-47.944,-29.41,-19.87,-6.995,6.45,-3.743,8.975,0.1082,swarm_99_103.pdb
top_4_A,A,top_4_B,B,-4.46,-37.73,-48.321,-76.02,-40.46,-16.7,-69.119,-10.825,1.653,-0.1874,swarm_159_193.pdb
top_5_A,A,top_5_B,B,-15.12,-36.93,-42.195,-63.59,-11.55,-3.226,19.502,-20.068,17.156,-0.3815,swarm_109_9.pdb
top_6_A,A,top_6_B,B,-10.82,-34.76,-40.841,-46.41,-47.68,-17.865,-24.59,-35.409,10.586,-0.2875,swarm_118_168.pdb
top_7_A,A,top_7_B,B,-19.4,-33.81,-42.856,-77.69,-30.59,-5.643,-15.955,-20.37,13.097,-0.0764,swarm_160_83.pdb
top_8_A,A,top_8_B,B,-7.0,-32.66,-41.397,-30.18,-8.92,-3.696,7.192,-14.624,7.948,-0.1248,swarm_114_177.pdb
top_9_A,A,top_9_B,B,-8.52,-31.38,-37.196,-38.19,-16.69,-6.435,-19.967,-16.266,6.542,0.0608,swarm_116_117.pdb
top_10_A,A,top_10_B,B,7.52,-17.67,-31.79,90.6,96.91,-16.055,65.178,-7.702,0.424,-0.0182,swarm_88_184.pdb
top_11_A,A,top_11_B,B,-5.28,-36.51,-41.161,-24.49,-23.21,-15.153,-2.697,-27.209,9.233,-0.2788,swarm_137_185.pdb
top_12_A,A,top_12_B,B,-4.76,-26.69,-33.338,15.2,6.86,-13.666,-14.387,-23.764,9.536,-0.2902,swarm_98_81.pdb
top_13_A,A,top_13_B,B,9.06,-28.72,-40.775,-24.53,-3.29,-14.742,-27.577,5.091,3.931,0.0679,swarm_13_113.pdb
top_14_A,A,top_14_B,B,-3.66,-29.43,-36.993,-39.36,-16.59,-16.969,10.84,-13.825,8.631,-0.0305,swarm_49_163.pdb
top_15_A,A,top_15_B,B,-8.38,-30.76,-39.439,-59.77,-34.51,-22.867,-1.003,-40.722,16.808,-0.2743,swarm_15_110.pdb
top_16_A,A,top_16_B,B,0.38,-28.57,-37.4,-92.64,-48.61,-1.988,-70.546,-6.076,3.826,-0.1043,swarm_29_127.pdb
top_17_A,A,top_17_B,B,-8.14,-22.31,-32.57,45.13,33.06,-19.914,61.422,-32.042,10.524,-0.1082,swarm_161_37.pdb
top_18_A,A,top_18_B,B,-8.24,-25.35,-34.321,0.53,10.56,-1.521,22.153,12.884,6.812,-0.0953,swarm_128_99.pdb
top_19_A,A,top_19_B,B,-11.7,-27.66,-34.51,-22.28,-10.72,-18.083,37.826,-34.929,12.598,-0.3379,swarm_103_47.pdb
top_20_A,A,top_20_B,B,5.14,-24.32,-35.458,-24.87,3.44,2.477,-19.846,3.899,0.22,0.1359,swarm_65_23.pdb
top_21_A,A,top_21_B,B,-3.4,-27.23,-34.998,-64.04,-39.11,-12.026,-68.681,-22.089,-0.186,0.0368,swarm_52_77.pdb
top_22_A,A,top_22_B,B,-8.26,-29.3,-36.458,-18.93,5.91,2.064,15.904,-4.238,10.455,-0.0271,swarm_52_182.pdb
top_23_A,A,top_23_B,B,-0.6,-27.19,-32.784,-54.04,-26.61,-9.63,-41.435,-14.462,4.591,-0.1666,swarm_29_86.pdb
top_24_A,A,top_24_B,B,-8.92,-28.66,-36.239,3.75,5.24,-13.296,-12.549,-8.931,6.293,-0.2118,swarm_35_80.pdb
top_25_A,A,top_25_B,B,-6.2,-33.39,-37.632,-53.62,-22.55,-14.139,1.596,-20.273,7.033,-0.4078,swarm_49_11.pdb
top_26_A,A,top_26_B,B,1.26,-29.97,-35.605,-27.21,-2.19,-1.473,-12.517,-9.333,3.617,0.0022,swarm_160_111.pdb
top_27_A,A,top_27_B,B,-8.28,-28.52,-35.434,-58.32,-39.8,-9.54,-7.415,-24.097,10.603,-0.2094,swarm_65_131.pdb
top_28_A,A,top_28_B,B,5.34,-20.98,-32.152,-26.54,-27.17,-14.918,-52.906,-0.868,1.378,0.1371,swarm_20_44.pdb
top_29_A,A,top_29_B,B,5.58,-22.09,-33.06,-20.65,-4.75,-16.607,-62.365,-0.025,-2.671,-0.1275,swarm_123_75.pdb
top_30_A,A,top_30_B,B,4.76,-22.11,-33.198,21.54,11.75,-26.093,-43.429,-0.85,-5.987,0.0048,swarm_171_14.pdb
top_31_A,A,top_31_B,B,4.38,-25.01,-32.598,-38.57,-7.18,-10.571,-68.646,-5.595,-1.226,-0.1125,swarm_94_183.pdb
top_32_A,A,top_32_B,B,-25.66,-36.42,-44.841,-49.14,5.71,-4.196,117.507,-3.775,21.996,-0.2294,swarm_52_37.pdb
top_33_A,A,top_33_B,B,-5.24,-28.46,-33.398,-26.75,-6.0,-12.654,5.199,-18.624,8.916,-0.2022,swarm_12_174.pdb
top_34_A,A,top_34_B,B,-6.38,-25.51,-39.335,57.35,29.45,-7.484,61.541,0.616,8.777,-0.1571,swarm_82_94.pdb
top_35_A,A,top_35_B,B,-5.12,-22.48,-34.565,-57.56,-16.83,-20.665,-20.935,-16.066,4.059,-0.1663,swarm_94_134.pdb
top_36_A,A,top_36_B,B,1.24,-26.77,-37.683,-16.7,-13.41,-8.068,-20.901,-1.26,1.648,0.0741,swarm_112_90.pdb
top_37_A,A,top_37_B,B,12.74,-19.81,-34.005,-61.57,-18.82,-6.758,-82.279,11.079,-2.531,0.0432,swarm_10_13.pdb
top_38_A,A,top_38_B,B,1.2,-25.24,-35.248,2.95,10.76,-4.499,-1.573,1.078,3.394,0.1235,swarm_117_92.pdb
top_39_A,A,top_39_B,B,-7.1,-24.35,-32.59,-11.55,2.91,-7.936,7.03,-7.088,3.36,-0.2143,swarm_99_34.pdb
top_40_A,A,top_40_B,B,-4.72,-29.38,-35.862,-56.27,-20.89,-18.034,-43.87,-29.277,4.73,-0.2286,swarm_99_157.pdb
top_41_A,A,top_41_B,B,1.64,-22.27,-31.163,-34.56,-19.84,-20.448,-50.999,-9.926,-0.607,-0.1793,swarm_94_178.pdb
top_42_A,A,top_42_B,B,-5.84,-22.83,-28.811,-8.28,8.22,-16.981,0.768,-21.143,7.271,-0.1615,swarm_136_161.pdb
top_43_A,A,top_43_B,B,-8.74,-27.65,-34.219,-73.83,-29.96,-0.879,-56.701,-7.82,9.815,-0.0491,swarm_160_105.pdb
top_44_A,A,top_44_B,B,6.0,-27.32,-33.527,-35.06,7.98,3.267,-54.266,-0.828,-3.645,-0.0385,swarm_65_136.pdb
top_45_A,A,top_45_B,B,-5.54,-27.5,-32.775,-36.88,-25.77,-17.787,-38.828,-13.829,6.969,0.143,swarm_145_60.pdb
top_46_A,A,top_46_B,B,2.0,-24.14,-32.507,35.45,27.54,-7.563,7.928,-5.634,0.029,-0.1555,swarm_140_78.pdb
top_47_A,A,top_47_B,B,2.14,-23.05,-34.311,4.47,34.52,-23.593,21.512,-14.629,1.631,-0.0523,swarm_161_183.pdb
top_48_A,A,top_48_B,B,-2.92,-22.46,-30.991,-32.02,-9.0,-17.949,26.161,-13.968,11.149,-0.0614,swarm_116_9.pdb
top_49_A,A,top_49_B,B,-3.12,-20.83,-29.89,3.76,14.67,-5.643,7.321,-10.52,5.515,-0.0418,swarm_35_118.pdb
top_50_A,A,top_50_B,B,-8.6,-19.51,-28.19,-19.82,-7.39,-3.46,5.798,2.079,4.872,-0.0814,swarm_114_5.pdb
top_51_A,A,top_51_B,B,-10.54,-23.71,-31.624,-6.45,-14.82,-14.247,4.164,-28.787,9.957,-0.3053,swarm_136_137.pdb
top_52_A,A,top_52_B,B,-7.38,-19.84,-28.784,27.6,9.39,-21.214,51.918,-32.611,4.749,-0.1708,swarm_68_12.pdb
top_53_A,A,top_53_B,B,2.58,-24.62,-34.287,-60.58,-23.19,-16.776,-52.717,0.33,-0.438,0.1537,swarm_148_73.pdb
top_54_A,A,top_54_B,B,-2.64,-24.27,-31.284,13.8,8.05,0.478,5.987,-16.875,1.85,-0.0608,swarm_124_31.pdb
top_55_A,A,top_55_B,B,1.56,-19.92,-30.36,-16.1,7.57,-15.751,21.293,-6.652,6.292,-0.1022,swarm_17_25.pdb
