pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,12.72,-37.03,-65.576,130.55,117.36,-4.916,47.884,35.91,-11.171,0.0656,swarm_88_55.pdb
top_2_A,A,top_2_B,B,7.34,-20.77,-46.94,85.69,57.56,-24.726,19.945,2.382,-8.696,0.2008,swarm_282_198.pdb
top_3_A,A,top_3_B,B,-0.22,-27.77,-54.811,134.72,99.75,-7.195,82.566,27.175,-12.974,0.1936,swarm_185_37.pdb
top_4_A,A,top_4_B,B,5.46,-39.84,-64.536,6.32,27.61,-27.725,32.908,-2.417,-12.035,-0.0468,swarm_298_174.pdb
top_5_A,A,top_5_B,B,8.86,-27.69,-52.762,62.17,88.09,-16.393,58.63,14.767,-9.898,0.2192,swarm_131_48.pdb
top_6_A,A,top_6_B,B,14.96,-26.59,-54.678,78.1,72.98,-19.188,-59.912,4.783,-17.908,-0.0942,swarm_278_168.pdb
top_7_A,A,top_7_B,B,4.36,-29.93,-46.263,-4.76,4.82,-9.902,-48.454,0.619,-14.782,0.1288,swarm_344_116.pdb
top_8_A,A,top_8_B,B,8.28,-21.59,-47.684,-19.04,4.46,-1.354,-40.396,20.054,-12.117,0.124,swarm_265_72.pdb
top_9_A,A,top_9_B,B,8.78,-26.68,-49.305,62.79,70.81,-15.364,-16.381,18.595,-10.502,-0.0817,swarm_164_40.pdb
top_10_A,A,top_10_B,B,1.14,-24.35,-48.747,74.48,50.97,-25.762,-24.622,-9.706,-2.33,-0.0936,swarm_116_74.pdb
top_11_A,A,top_11_B,B,4.42,-31.62,-47.853,34.5,25.1,-4.776,-57.256,5.811,-14.879,-0.011,swarm_260_190.pdb
top_12_A,A,top_12_B,B,-2.06,-31.05,-48.529,-113.97,-61.72,-9.378,-65.962,-21.289,8.92,-0.3423,swarm_348_20.pdb
top_13_A,A,top_13_B,B,-5.94,-25.84,-36.623,-57.0,12.92,-4.186,-37.651,-19.912,1.894,0.3096,swarm_228_38.pdb
top_14_A,A,top_14_B,B,-1.46,-33.93,-50.257,-11.82,-6.94,0.072,-27.633,-14.854,9.317,-0.203,swarm_198_44.pdb
top_15_A,A,top_15_B,B,13.66,-26.57,-49.674,40.07,14.91,-7.072,-77.934,21.527,-11.031,-0.0858,swarm_145_110.pdb
top_16_A,A,top_16_B,B,-1.14,-31.8,-49.354,-17.25,16.26,-14.233,-0.188,-2.37,-17.51,-0.0597,swarm_0_22.pdb
top_17_A,A,top_17_B,B,-10.12,-30.47,-48.738,-33.74,3.03,-7.791,7.514,-23.229,7.88,-0.113,swarm_38_111.pdb
top_18_A,A,top_18_B,B,-5.52,-29.66,-43.572,-30.25,3.97,-2.83,-83.347,-25.103,6.51,-0.3253,swarm_228_100.pdb
top_19_A,A,top_19_B,B,11.56,-22.28,-47.553,-19.98,15.22,-15.673,-55.278,11.804,-11.841,0.0705,swarm_179_177.pdb
top_20_A,A,top_20_B,B,-0.76,-32.65,-48.122,-129.86,-44.45,-7.844,-59.092,-29.19,8.764,-0.1148,swarm_152_158.pdb
top_21_A,A,top_21_B,B,-4.22,-30.37,-44.553,-30.73,6.81,-3.287,-62.491,-19.7,3.676,-0.2472,swarm_152_7.pdb
top_22_A,A,top_22_B,B,-1.2,-29.28,-47.04,-114.33,-47.51,-18.209,-50.94,-39.79,12.086,-0.254,swarm_280_151.pdb
top_23_A,A,top_23_B,B,3.6,-27.17,-41.691,-50.25,-11.73,-6.774,-49.871,-12.194,-0.529,-0.2451,swarm_322_91.pdb
