pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,11.44,-30.46,-61.23,-0.94,10.66,-16.976,-88.587,10.374,1.909,0.2322,swarm_70_171.pdb
top_2_A,A,top_2_B,B,10.8,-28.52,-56.986,-25.88,8.12,-15.246,-76.959,21.338,-0.131,0.186,swarm_251_120.pdb
top_3_A,A,top_3_B,B,16.76,-27.37,-61.578,67.44,61.11,-21.262,-9.226,27.259,-1.991,0.1406,swarm_134_68.pdb
top_4_A,A,top_4_B,B,17.28,-32.21,-66.461,30.45,73.73,-13.154,-12.75,50.528,-5.676,0.5315,swarm_230_132.pdb
top_5_A,A,top_5_B,B,9.16,-28.88,-60.182,50.24,48.29,-21.271,-39.477,14.804,1.703,0.0324,swarm_157_50.pdb
top_6_A,A,top_6_B,B,11.26,-26.47,-48.878,-18.46,19.44,-23.494,-73.069,10.677,-2.314,0.2329,swarm_565_178.pdb
top_7_A,A,top_7_B,B,15.68,-32.38,-57.916,-22.7,27.07,-11.668,-94.96,2.517,-3.416,0.2386,swarm_134_91.pdb
top_8_A,A,top_8_B,B,16.88,-27.85,-55.398,24.07,46.34,-9.492,-67.947,29.985,-3.792,0.0551,swarm_70_23.pdb
top_9_A,A,top_9_B,B,14.18,-24.61,-46.158,49.03,37.0,-29.611,-36.641,4.805,-7.896,0.0145,swarm_588_135.pdb
top_10_A,A,top_10_B,B,7.36,-30.02,-48.225,-70.99,-5.94,-20.829,-128.246,6.177,-5.875,0.0286,swarm_325_9.pdb
top_11_A,A,top_11_B,B,12.02,-24.37,-50.089,51.84,48.87,-12.563,1.149,20.424,-2.597,-0.0481,swarm_319_116.pdb
top_12_A,A,top_12_B,B,18.86,-10.19,-37.681,109.56,107.47,-29.416,107.856,18.686,-2.9,-0.0969,swarm_260_195.pdb
top_13_A,A,top_13_B,B,11.0,-29.36,-47.94,-101.99,-8.09,-9.967,-96.269,-6.866,-7.793,0.0216,swarm_27_51.pdb
top_14_A,A,top_14_B,B,11.78,-29.95,-54.004,66.13,77.31,-14.648,144.398,12.473,-1.205,0.0893,swarm_157_40.pdb
top_15_A,A,top_15_B,B,3.54,-29.75,-47.009,-82.79,-20.94,10.339,-64.604,28.033,3.985,0.1096,swarm_253_141.pdb
top_16_A,A,top_16_B,B,0.74,-32.75,-56.895,-78.27,-24.43,-25.368,-22.535,-19.631,0.578,0.0666,swarm_421_27.pdb
top_17_A,A,top_17_B,B,8.62,-30.93,-58.33,61.96,64.61,-30.721,83.509,-3.594,0.5,0.0823,swarm_251_56.pdb
top_18_A,A,top_18_B,B,17.92,-28.05,-62.889,-5.23,56.7,-20.492,-38.142,32.702,-2.801,0.2332,swarm_99_127.pdb
top_19_A,A,top_19_B,B,7.16,-21.68,-45.503,147.75,103.99,-17.421,49.109,15.258,-5.251,0.1217,swarm_99_171.pdb
top_20_A,A,top_20_B,B,5.88,-28.2,-44.342,-64.47,-7.1,-17.434,-116.681,-10.561,3.4,-0.0284,swarm_323_152.pdb
top_21_A,A,top_21_B,B,5.82,-28.6,-57.724,91.36,78.7,-31.248,40.748,8.298,-3.169,-0.1369,swarm_149_101.pdb
top_22_A,A,top_22_B,B,7.66,-26.58,-45.917,6.78,29.59,-7.127,-40.765,9.39,-7.485,0.0293,swarm_50_16.pdb
top_23_A,A,top_23_B,B,11.4,-29.23,-56.505,49.77,46.33,-13.348,-48.972,-11.639,-3.244,0.3518,swarm_71_105.pdb
top_24_A,A,top_24_B,B,15.34,-25.18,-54.439,-55.42,-24.61,-11.88,-82.886,9.192,-5.254,0.1773,swarm_260_156.pdb
top_25_A,A,top_25_B,B,9.44,-21.1,-43.52,29.75,45.58,0.812,-44.417,12.905,-6.676,0.0977,swarm_90_102.pdb
