pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.82,-19.58,-43.135,24.98,27.13,19.394,-3.353,48.251,0.981,0.0823,swarm_48_83.pdb
top_2_A,A,top_2_B,B,-4.04,-27.96,-42.062,-57.01,-20.28,-20.423,-15.807,-23.688,3.613,-0.0664,swarm_19_148.pdb
top_3_A,A,top_3_B,B,2.92,-30.72,-45.715,-26.42,3.97,-12.981,4.824,-9.946,0.222,-0.1551,swarm_49_147.pdb
top_4_A,A,top_4_B,B,11.7,-22.9,-48.367,64.33,63.26,-22.851,-24.553,6.694,-4.053,0.2062,swarm_300_36.pdb
top_5_A,A,top_5_B,B,9.78,-21.88,-43.482,-20.13,30.31,-25.816,-70.228,-3.139,-4.375,-0.0196,swarm_261_168.pdb
top_6_A,A,top_6_B,B,8.22,-32.15,-46.985,48.94,43.83,-17.801,-27.192,-16.442,-0.586,-0.0208,swarm_225_173.pdb
top_7_A,A,top_7_B,B,-0.66,-28.12,-43.347,-102.31,-15.49,-17.754,-66.985,-12.529,9.0,-0.1151,swarm_166_132.pdb
top_8_A,A,top_8_B,B,7.66,-23.44,-40.924,-11.79,6.79,-18.889,-57.785,-6.012,-4.278,0.1155,swarm_48_184.pdb
top_9_A,A,top_9_B,B,6.12,-26.6,-41.869,-27.47,31.63,-14.969,-10.901,-17.941,3.447,-0.0514,swarm_190_30.pdb
top_10_A,A,top_10_B,B,11.16,-31.85,-44.951,-13.04,25.37,-9.525,-2.15,3.526,-12.317,0.0121,swarm_196_3.pdb
top_11_A,A,top_11_B,B,13.98,-22.2,-43.186,25.88,29.92,-29.689,6.244,-6.334,-6.15,0.221,swarm_60_9.pdb
top_12_A,A,top_12_B,B,9.64,-25.02,-43.301,25.45,29.03,-25.097,-39.104,-12.104,2.601,-0.123,swarm_180_20.pdb
top_13_A,A,top_13_B,B,-0.74,-28.19,-43.484,10.25,8.88,-37.302,53.33,-26.367,-0.645,-0.0564,swarm_61_3.pdb
top_14_A,A,top_14_B,B,6.66,-24.48,-39.8,-65.9,-8.89,-10.268,-23.673,6.444,-3.335,-0.0189,swarm_240_46.pdb
top_15_A,A,top_15_B,B,-0.96,-28.62,-44.726,68.9,68.68,-12.443,26.454,-2.943,9.399,-0.1197,swarm_40_154.pdb
top_16_A,A,top_16_B,B,5.46,-22.31,-42.44,18.66,34.86,-22.934,-62.446,-17.073,6.103,-0.0041,swarm_79_9.pdb
top_17_A,A,top_17_B,B,12.66,-25.23,-47.298,-3.27,15.6,-30.046,-76.327,-17.461,-10.422,0.2589,swarm_155_136.pdb
top_18_A,A,top_18_B,B,-0.76,-19.86,-38.665,91.9,66.6,-18.763,94.675,-0.564,2.236,0.0776,swarm_44_186.pdb
top_19_A,A,top_19_B,B,1.86,-34.8,-45.981,-67.88,-41.44,-9.423,-84.998,-10.286,9.686,-0.1078,swarm_15_111.pdb
top_20_A,A,top_20_B,B,7.78,-25.83,-45.783,51.14,54.96,-32.958,-21.509,-7.37,-4.605,-0.0131,swarm_48_48.pdb
top_21_A,A,top_21_B,B,3.86,-26.73,-39.264,86.69,59.85,-24.792,65.67,-15.343,7.199,-0.1072,swarm_289_80.pdb
top_22_A,A,top_22_B,B,3.04,-24.67,-36.728,51.91,66.58,-27.016,15.882,-27.318,7.32,0.0856,swarm_180_174.pdb
top_23_A,A,top_23_B,B,-1.08,-22.67,-42.486,30.28,38.11,-10.52,107.67,-2.034,5.375,-0.0637,swarm_116_74.pdb
top_24_A,A,top_24_B,B,-5.74,-23.86,-43.661,109.32,93.49,-8.857,162.391,8.71,4.819,0.1387,swarm_225_163.pdb
top_25_A,A,top_25_B,B,3.34,-22.16,-41.156,-53.87,-25.32,-0.895,-57.217,16.748,5.871,-0.0526,swarm_79_118.pdb
top_26_A,A,top_26_B,B,8.82,-17.63,-39.407,57.26,56.69,-21.92,2.119,2.762,-3.579,-0.0757,swarm_109_141.pdb
top_27_A,A,top_27_B,B,3.4,-26.1,-40.881,-20.05,-14.88,-16.361,-27.388,-20.88,0.725,0.1549,swarm_169_112.pdb
top_28_A,A,top_28_B,B,4.82,-24.85,-40.364,-64.88,-5.99,-15.094,-60.679,-13.508,2.558,-0.0857,swarm_239_138.pdb
top_29_A,A,top_29_B,B,8.62,-27.7,-38.026,-16.72,21.6,-31.557,-17.701,-20.917,5.145,-0.185,swarm_246_107.pdb
