pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,10.14,-47.7,-75.643,97.51,68.8,-30.141,52.459,-3.79,-1.363,0.1004,swarm_329_62.pdb
top_2_A,A,top_2_B,B,7.56,-38.21,-71.456,5.54,49.21,-17.974,-33.381,17.504,-8.326,0.076,swarm_199_15.pdb
top_3_A,A,top_3_B,B,6.3,-44.27,-72.967,48.77,52.69,-26.918,9.248,14.563,-5.607,-0.2181,swarm_158_89.pdb
top_4_A,A,top_4_B,B,10.92,-34.47,-64.601,22.33,26.85,0.472,-42.313,21.829,3.723,0.1106,swarm_143_0.pdb
top_5_A,A,top_5_B,B,14.06,-46.32,-71.317,86.56,69.14,-35.852,-55.185,-7.293,-3.193,-0.1308,swarm_158_23.pdb
top_6_A,A,top_6_B,B,2.98,-45.98,-63.631,-15.91,6.49,-0.793,-47.13,-2.863,8.01,-0.0946,swarm_125_167.pdb
top_7_A,A,top_7_B,B,-1.04,-42.35,-57.106,-85.41,-18.6,-2.603,-77.557,4.828,10.215,-0.0917,swarm_204_153.pdb
top_8_A,A,top_8_B,B,9.72,-47.15,-70.497,60.99,71.8,-23.78,-17.485,1.609,-0.386,0.0453,swarm_343_12.pdb
top_9_A,A,top_9_B,B,14.22,-42.35,-74.85,-11.44,17.32,-22.703,-17.296,-1.475,-9.584,0.075,swarm_62_105.pdb
top_10_A,A,top_10_B,B,11.06,-36.31,-56.305,26.79,36.89,-20.781,-36.498,-2.463,4.526,-0.3625,swarm_173_40.pdb
top_11_A,A,top_11_B,B,6.66,-39.21,-57.919,12.45,35.52,-25.975,1.35,-25.548,0.233,0.2297,swarm_241_88.pdb
top_12_A,A,top_12_B,B,10.16,-37.84,-63.078,44.46,44.97,-32.273,-35.643,-15.05,0.356,-0.0873,swarm_200_81.pdb
top_13_A,A,top_13_B,B,11.68,-40.79,-68.491,92.18,56.21,-23.551,-29.808,7.007,-6.786,0.0021,swarm_194_23.pdb
top_14_A,A,top_14_B,B,9.24,-42.93,-64.655,7.42,28.67,-18.24,-6.858,3.005,-4.994,-0.1104,swarm_111_167.pdb
top_15_A,A,top_15_B,B,8.5,-35.11,-70.056,-6.17,37.01,-2.888,-72.584,13.299,-8.054,-0.0489,swarm_325_80.pdb
top_16_A,A,top_16_B,B,4.98,-43.24,-67.855,-7.82,11.62,-15.987,10.116,6.015,2.824,-0.0892,swarm_241_68.pdb
top_17_A,A,top_17_B,B,3.88,-34.27,-65.98,59.17,60.05,-9.087,36.063,19.288,-1.132,0.0606,swarm_200_140.pdb
top_18_A,A,top_18_B,B,8.12,-36.83,-59.507,172.17,103.01,-20.706,63.896,17.148,-5.888,0.445,swarm_165_30.pdb
top_19_A,A,top_19_B,B,11.22,-28.26,-54.281,-81.18,-25.06,-12.567,-108.268,11.23,-4.378,-0.0891,swarm_374_144.pdb
top_20_A,A,top_20_B,B,6.38,-38.51,-55.931,-26.43,-9.96,-27.646,-55.992,-20.707,10.859,-0.1922,swarm_280_15.pdb
top_21_A,A,top_21_B,B,13.48,-40.91,-59.453,-8.24,-20.25,-9.604,-86.492,1.92,-2.739,0.1239,swarm_173_67.pdb
top_22_A,A,top_22_B,B,-2.16,-27.62,-53.051,-92.86,-24.65,-20.439,-36.039,2.985,3.61,-0.1254,swarm_166_43.pdb
