pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.54,-22.88,-40.057,-19.01,-3.77,-14.455,-62.287,15.286,-0.528,-0.0564,swarm_295_39.pdb
top_2_A,A,top_2_B,B,8.46,-24.88,-41.71,-3.5,5.42,-20.479,-70.957,0.551,-2.56,-0.1996,swarm_76_72.pdb
top_3_A,A,top_3_B,B,4.44,-27.59,-42.63,-34.38,-14.9,-18.722,-15.729,-11.774,1.933,-0.0412,swarm_301_117.pdb
top_4_A,A,top_4_B,B,14.02,-24.04,-41.828,-53.05,-15.31,-13.093,-96.388,3.721,-6.581,-0.023,swarm_295_72.pdb
top_5_A,A,top_5_B,B,6.58,-15.14,-35.416,61.97,64.53,-12.583,63.201,8.825,-0.648,0.0194,swarm_265_50.pdb
top_6_A,A,top_6_B,B,1.02,-28.63,-37.71,-69.28,-45.0,-12.566,-75.21,-11.196,1.954,-0.1823,swarm_117_197.pdb
top_7_A,A,top_7_B,B,2.24,-23.66,-35.819,-51.99,-14.37,-7.427,-33.566,-2.981,-3.487,0.0023,swarm_231_100.pdb
top_8_A,A,top_8_B,B,1.34,-23.76,-37.209,-21.16,5.38,-6.237,0.696,-5.439,2.181,-0.1241,swarm_37_137.pdb
top_9_A,A,top_9_B,B,8.7,-17.12,-40.201,58.02,48.76,-13.402,-30.994,23.366,-5.411,0.0378,swarm_153_147.pdb
top_10_A,A,top_10_B,B,8.76,-22.01,-37.949,-27.75,3.68,-14.405,-74.099,4.479,-7.188,0.0062,swarm_157_44.pdb
top_11_A,A,top_11_B,B,5.74,-22.64,-34.034,-3.94,6.19,-24.061,-55.432,-23.681,-1.904,-0.0165,swarm_270_66.pdb
top_12_A,A,top_12_B,B,23.94,-10.43,-33.913,179.95,100.06,-11.608,146.17,28.884,-6.232,0.3581,swarm_289_106.pdb
top_13_A,A,top_13_B,B,8.24,-29.18,-45.002,25.83,16.97,-11.315,-22.372,9.093,-1.497,-0.0716,swarm_68_142.pdb
top_14_A,A,top_14_B,B,7.38,-26.04,-40.81,-38.22,4.18,-16.992,-31.549,-3.68,0.566,-0.0581,swarm_268_42.pdb
top_15_A,A,top_15_B,B,4.02,-23.42,-39.16,18.27,1.25,-19.419,28.124,2.48,-1.442,-0.0273,swarm_305_101.pdb
top_16_A,A,top_16_B,B,14.24,-16.68,-34.608,23.76,29.54,-15.935,1.618,21.358,-5.029,0.1592,swarm_105_76.pdb
top_17_A,A,top_17_B,B,3.08,-16.8,-30.46,31.04,52.57,-6.763,-40.443,3.705,-1.629,0.0241,swarm_110_134.pdb
top_18_A,A,top_18_B,B,10.42,-22.9,-39.864,-10.23,-10.21,-12.826,-87.333,11.793,-4.721,-0.0721,swarm_295_156.pdb
