pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.2,-26.65,-43.378,-23.08,1.96,-6.484,-37.125,3.252,3.057,-0.0039,swarm_28_43.pdb
top_2_A,A,top_2_B,B,8.06,-23.77,-41.811,16.15,31.3,-16.857,-0.144,-0.991,8.906,-0.1795,swarm_259_27.pdb
top_3_A,A,top_3_B,B,0.72,-26.65,-37.821,-45.91,-11.1,-11.228,-62.077,-32.677,6.509,-0.2923,swarm_237_129.pdb
top_4_A,A,top_4_B,B,8.14,-24.02,-41.965,9.74,-4.01,-1.686,-84.195,13.665,-1.425,-0.1549,swarm_30_105.pdb
top_5_A,A,top_5_B,B,6.04,-23.3,-35.684,21.38,33.67,-5.045,-5.896,1.265,7.737,0.025,swarm_53_127.pdb
top_6_A,A,top_6_B,B,7.94,-18.76,-38.543,0.05,10.74,9.023,-40.099,42.05,-1.812,0.0987,swarm_147_54.pdb
top_7_A,A,top_7_B,B,4.68,-20.98,-35.221,-15.58,15.11,-18.875,-44.394,-6.699,6.416,-0.155,swarm_273_5.pdb
top_8_A,A,top_8_B,B,4.66,-21.8,-38.475,21.17,27.32,-17.807,-23.159,8.148,-4.788,0.0758,swarm_300_30.pdb
top_9_A,A,top_9_B,B,-2.92,-24.09,-41.138,-65.87,-35.96,-5.943,-50.14,-15.992,1.423,0.2475,swarm_144_34.pdb
top_10_A,A,top_10_B,B,6.18,-24.45,-41.358,39.42,36.25,-10.826,-46.283,8.139,3.945,0.0681,swarm_92_7.pdb
top_11_A,A,top_11_B,B,5.8,-24.03,-40.369,-64.12,-20.71,-13.813,-83.547,-1.834,-0.616,-0.1212,swarm_5_3.pdb
top_12_A,A,top_12_B,B,8.2,-23.77,-41.258,60.51,70.53,-7.396,-44.822,14.705,-3.593,0.0985,swarm_185_71.pdb
top_13_A,A,top_13_B,B,6.52,-27.55,-42.589,-35.45,19.6,-14.683,-79.769,-2.957,3.959,-0.0458,swarm_30_48.pdb
top_14_A,A,top_14_B,B,-0.54,-19.71,-35.178,-19.83,-21.52,-16.548,-57.234,-0.106,6.941,0.0875,swarm_325_106.pdb
top_15_A,A,top_15_B,B,4.66,-19.42,-38.331,-25.32,14.49,-5.247,-46.816,4.42,0.875,0.0075,swarm_228_69.pdb
top_16_A,A,top_16_B,B,1.24,-25.3,-42.278,-67.48,-26.74,-2.166,-71.887,-7.391,5.64,-0.234,swarm_260_148.pdb
top_17_A,A,top_17_B,B,3.12,-20.33,-41.937,-71.45,13.08,-13.411,33.823,-16.248,9.21,-0.246,swarm_245_54.pdb
top_18_A,A,top_18_B,B,4.54,-20.01,-36.692,-46.33,-29.81,-12.295,-70.59,-0.399,4.644,-0.0491,swarm_264_184.pdb
top_19_A,A,top_19_B,B,3.5,-21.5,-38.126,15.04,36.7,-3.981,-2.053,7.334,5.1,-0.1268,swarm_31_74.pdb
top_20_A,A,top_20_B,B,-3.2,-23.87,-39.739,-76.57,-15.18,-8.332,-68.046,-14.121,5.249,-0.3515,swarm_136_49.pdb
top_21_A,A,top_21_B,B,4.5,-19.11,-37.15,-68.2,-19.14,-6.51,-70.104,-12.864,6.326,0.0291,swarm_31_4.pdb
top_22_A,A,top_22_B,B,0.18,-20.07,-35.631,-23.8,9.31,-6.817,-42.673,-3.131,1.426,-0.2836,swarm_45_54.pdb
top_23_A,A,top_23_B,B,8.5,-21.38,-37.404,-31.15,-18.97,-2.7,-58.616,-4.769,2.235,0.001,swarm_28_152.pdb
top_24_A,A,top_24_B,B,5.4,-21.57,-37.689,6.16,27.13,-6.723,-50.692,-0.979,4.043,-0.1932,swarm_300_177.pdb
top_25_A,A,top_25_B,B,-1.86,-24.33,-38.249,-93.67,-36.76,-9.336,-70.3,-22.971,6.34,-0.2265,swarm_195_152.pdb
top_26_A,A,top_26_B,B,-0.24,-19.68,-33.163,26.23,66.46,-3.324,42.79,14.843,2.493,0.1658,swarm_5_90.pdb
top_27_A,A,top_27_B,B,6.4,-23.62,-40.349,-46.57,3.71,-4.591,-36.431,-8.069,-2.159,0.0777,swarm_211_158.pdb
top_28_A,A,top_28_B,B,6.26,-27.32,-37.271,-52.36,-23.71,-17.763,-61.127,-25.049,13.49,-0.3128,swarm_41_161.pdb
top_29_A,A,top_29_B,B,0.68,-24.87,-37.315,-25.74,-6.95,-3.122,-73.912,-10.709,1.824,-0.0219,swarm_5_4.pdb
top_30_A,A,top_30_B,B,3.78,-19.88,-35.115,-27.05,-5.84,-18.785,-55.745,-16.733,9.609,-0.1934,swarm_309_89.pdb
top_31_A,A,top_31_B,B,2.02,-19.54,-35.121,-27.5,26.44,-20.667,70.116,-7.755,2.568,-0.3394,swarm_144_54.pdb
top_32_A,A,top_32_B,B,1.34,-19.91,-35.512,-38.63,-15.75,-7.693,-66.48,5.582,5.78,0.0143,swarm_99_71.pdb
top_33_A,A,top_33_B,B,8.26,-21.63,-37.211,18.28,27.36,-6.015,-37.499,-4.769,3.05,-0.0147,swarm_99_113.pdb
top_34_A,A,top_34_B,B,-2.12,-24.18,-42.229,-6.42,4.56,-8.468,-26.994,-22.024,5.835,-0.258,swarm_165_129.pdb
top_35_A,A,top_35_B,B,5.64,-17.64,-32.952,48.52,28.53,6.043,-23.076,13.833,0.833,0.2236,swarm_237_163.pdb
top_36_A,A,top_36_B,B,1.26,-21.83,-34.263,-49.99,-22.79,-0.417,-28.361,-6.879,5.873,-0.1813,swarm_129_120.pdb
top_37_A,A,top_37_B,B,10.3,5.74,-27.13,707.38,470.5,-31.537,903.195,67.663,7.228,0.7817,swarm_129_3.pdb
top_38_A,A,top_38_B,B,4.34,-20.38,-34.079,-26.17,-12.78,-10.621,-58.19,-4.48,1.692,-0.3023,swarm_314_125.pdb
top_39_A,A,top_39_B,B,8.28,-20.71,-38.777,1.66,12.03,-8.531,-70.165,17.23,0.096,-0.0368,swarm_129_181.pdb
top_40_A,A,top_40_B,B,4.78,-20.14,-39.541,35.51,48.5,-16.034,37.108,-6.849,4.682,-0.2576,swarm_174_170.pdb
top_41_A,A,top_41_B,B,4.82,-23.55,-38.578,-43.88,4.29,-3.225,-70.168,14.38,4.348,-0.0643,swarm_264_34.pdb
top_42_A,A,top_42_B,B,5.44,-15.6,-31.705,29.07,27.19,-6.358,-9.592,-2.755,2.035,0.0904,swarm_134_192.pdb
top_43_A,A,top_43_B,B,-6.5,-20.31,-36.505,-78.68,0.89,-3.862,-31.084,-0.982,1.74,-0.1471,swarm_154_22.pdb
top_44_A,A,top_44_B,B,1.64,-18.72,-34.971,-5.81,-6.74,-8.323,-46.512,-8.967,1.289,-0.2765,swarm_151_56.pdb
top_45_A,A,top_45_B,B,7.58,-24.18,-40.712,-21.09,9.61,-3.294,-57.841,16.712,2.029,-0.0119,swarm_300_7.pdb
top_46_A,A,top_46_B,B,-1.8,-21.52,-36.42,-46.35,-1.69,-31.551,5.094,-25.072,1.01,-0.1399,swarm_151_153.pdb
top_47_A,A,top_47_B,B,-0.64,-24.8,-41.676,-59.84,-3.67,-7.858,-31.431,-22.411,3.431,-0.099,swarm_171_25.pdb
top_48_A,A,top_48_B,B,-3.08,-26.32,-39.916,-60.83,-15.13,-12.818,-19.862,-14.462,3.568,-0.159,swarm_237_180.pdb
top_49_A,A,top_49_B,B,3.9,-17.43,-28.543,48.52,61.36,-12.133,84.135,-1.159,-6.875,0.0732,swarm_214_66.pdb
top_50_A,A,top_50_B,B,4.88,-14.65,-31.733,29.32,33.08,-3.664,-12.614,11.377,3.986,-0.0849,swarm_151_47.pdb
top_51_A,A,top_51_B,B,4.06,-7.54,-23.985,161.7,132.16,-6.863,211.292,22.241,0.946,-0.1,swarm_151_80.pdb
top_52_A,A,top_52_B,B,1.52,-18.93,-32.815,-38.12,-18.89,-9.437,-67.164,-4.998,1.167,-0.0892,swarm_86_29.pdb
top_53_A,A,top_53_B,B,7.14,-17.46,-34.714,10.02,33.44,-8.826,-30.167,1.076,1.855,-0.048,swarm_199_168.pdb
top_54_A,A,top_54_B,B,7.98,-22.09,-34.381,20.36,6.81,-10.146,-28.059,4.398,9.437,-0.1595,swarm_314_133.pdb
top_55_A,A,top_55_B,B,6.6,-24.31,-35.736,-15.33,4.31,-8.962,-27.094,-16.595,7.437,-0.0078,swarm_259_174.pdb
top_56_A,A,top_56_B,B,4.88,-18.62,-30.739,-25.38,5.38,-11.965,-18.158,-2.948,5.892,-0.1523,swarm_259_11.pdb
top_57_A,A,top_57_B,B,-1.28,-17.98,-34.183,-41.7,1.93,1.197,-18.767,0.739,2.07,0.0121,swarm_201_186.pdb
top_58_A,A,top_58_B,B,2.22,-22.63,-38.661,-6.42,7.75,-14.668,-63.307,-2.693,5.498,0.0099,swarm_235_71.pdb
top_59_A,A,top_59_B,B,4.08,-19.34,-33.926,-16.55,25.56,-4.454,-49.429,6.527,-5.777,0.0126,swarm_272_8.pdb
top_60_A,A,top_60_B,B,2.76,-20.29,-35.168,-25.03,-6.06,-9.177,-1.058,-12.366,4.038,-0.0537,swarm_312_107.pdb
