pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.26,-18.58,-35.136,140.78,90.88,-14.128,84.042,6.028,-8.766,0.2409,swarm_45_140.pdb
top_2_A,A,top_2_B,B,-9.6,-24.21,-35.697,-36.83,-1.95,-15.059,20.479,-17.535,6.071,-0.3082,swarm_54_9.pdb
top_3_A,A,top_3_B,B,0.72,-24.93,-32.814,-66.86,-41.0,-11.329,-45.56,-20.237,3.708,-0.1522,swarm_24_177.pdb
top_4_A,A,top_4_B,B,-7.22,-19.49,-33.598,11.29,25.27,-10.196,37.867,-4.889,5.283,-0.0423,swarm_81_187.pdb
top_5_A,A,top_5_B,B,-7.84,-26.76,-31.939,-55.53,-23.08,-10.721,-33.432,-27.34,3.678,-0.1387,swarm_4_134.pdb
top_6_A,A,top_6_B,B,1.28,-23.31,-33.602,-28.12,-13.07,-14.327,-59.455,-23.613,4.545,-0.0754,swarm_139_196.pdb
top_7_A,A,top_7_B,B,3.86,-25.36,-35.683,-33.03,-8.07,-13.757,-58.569,-8.347,1.944,-0.2499,swarm_33_169.pdb
top_8_A,A,top_8_B,B,-1.9,-20.84,-30.506,-25.34,-2.54,-6.316,-24.935,-7.5,1.191,-0.1885,swarm_56_114.pdb
top_9_A,A,top_9_B,B,-17.24,-29.51,-39.284,-78.39,-16.02,-11.055,56.302,-14.374,11.814,-0.3759,swarm_155_182.pdb
top_10_A,A,top_10_B,B,-4.96,-22.69,-32.849,-73.45,-27.18,-20.59,-51.649,-25.439,4.468,-0.1429,swarm_52_52.pdb
top_11_A,A,top_11_B,B,-1.42,-20.87,-31.458,-8.75,15.18,-13.716,-25.817,-18.204,2.545,-0.0986,swarm_137_13.pdb
top_12_A,A,top_12_B,B,-0.88,-18.91,-29.609,-45.1,-17.67,-10.342,-54.771,-18.7,5.913,-0.1589,swarm_35_102.pdb
top_13_A,A,top_13_B,B,10.9,-23.24,-31.857,23.82,18.88,-12.668,-20.262,-6.709,-3.127,-0.0759,swarm_45_130.pdb
top_14_A,A,top_14_B,B,4.72,-16.01,-26.209,-7.51,7.77,-13.183,-5.574,-7.72,-0.914,-0.0601,swarm_158_47.pdb
top_15_A,A,top_15_B,B,-6.76,-26.63,-35.992,27.23,39.77,-3.29,37.065,-7.802,6.048,-0.1305,swarm_52_89.pdb
top_16_A,A,top_16_B,B,-3.64,-19.53,-32.248,-15.52,5.4,-16.457,-53.249,-10.13,2.962,-0.1534,swarm_43_176.pdb
top_17_A,A,top_17_B,B,-8.94,-28.9,-35.193,-44.91,-8.2,-10.359,5.45,-29.28,7.051,-0.2224,swarm_192_107.pdb
top_18_A,A,top_18_B,B,0.94,-18.21,-28.73,16.77,15.36,-0.995,-24.459,3.627,-0.163,0.039,swarm_44_15.pdb
top_19_A,A,top_19_B,B,-5.24,-20.87,-29.468,-56.83,-17.22,-2.104,-7.729,-15.404,4.201,-0.1185,swarm_192_54.pdb
top_20_A,A,top_20_B,B,-3.06,-23.97,-32.715,-53.95,-17.86,-12.974,-8.213,-20.239,6.83,0.0623,swarm_33_57.pdb
top_21_A,A,top_21_B,B,-6.12,-19.61,-30.469,-9.2,8.64,-10.595,46.145,-18.054,6.067,0.1023,swarm_35_188.pdb
top_22_A,A,top_22_B,B,0.4,-18.97,-28.887,-25.32,6.13,-11.566,-5.25,8.848,-4.179,0.084,swarm_153_119.pdb
top_23_A,A,top_23_B,B,2.16,-17.78,-29.934,23.45,42.59,-10.82,39.591,1.587,2.154,0.0166,swarm_56_21.pdb
top_24_A,A,top_24_B,B,6.8,-14.84,-29.807,-45.57,-13.45,3.543,-59.202,16.543,-1.672,0.0538,swarm_146_82.pdb
top_25_A,A,top_25_B,B,-4.68,-21.01,-28.847,8.08,12.12,-8.859,33.725,-19.304,6.884,-0.2003,swarm_20_25.pdb
top_26_A,A,top_26_B,B,-1.7,-21.28,-33.52,-7.24,-6.14,-20.126,-24.107,-19.767,5.031,-0.0806,swarm_146_84.pdb
top_27_A,A,top_27_B,B,-0.46,-23.79,-31.547,-50.32,-29.21,-17.315,-57.402,-16.957,-0.191,0.0124,swarm_83_16.pdb
top_28_A,A,top_28_B,B,-6.1,-21.02,-28.385,26.85,9.95,-15.019,22.179,-17.282,5.667,-0.1318,swarm_175_35.pdb
top_29_A,A,top_29_B,B,4.78,-20.76,-30.375,-28.75,-7.28,5.328,-53.96,7.542,0.717,0.0545,swarm_54_62.pdb
top_30_A,A,top_30_B,B,-2.56,-20.75,-30.547,-4.13,-1.71,-9.433,-22.374,-18.144,3.099,-0.1754,swarm_190_155.pdb
