pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.4,-16.53,-29.439,-28.98,-10.03,-0.542,-35.819,12.476,-5.288,-0.0326,swarm_11_3.pdb
top_2_A,A,top_2_B,B,2.8,-14.0,-27.233,-6.48,-2.04,-16.354,-48.085,-0.855,-1.442,-0.0765,swarm_74_38.pdb
top_3_A,A,top_3_B,B,7.92,-14.48,-29.048,-5.68,9.47,-3.218,-27.763,20.634,-8.033,-0.0381,swarm_81_32.pdb
top_4_A,A,top_4_B,B,3.64,-15.46,-25.204,22.74,22.11,-4.721,-29.843,-3.364,-4.04,-0.0099,swarm_89_123.pdb
top_5_A,A,top_5_B,B,5.88,-17.51,-28.013,21.3,25.45,2.383,-45.375,21.508,-6.109,0.0426,swarm_52_91.pdb
top_6_A,A,top_6_B,B,1.18,-16.8,-26.998,-34.38,-10.98,4.761,-28.149,12.721,-2.217,0.0365,swarm_57_32.pdb
top_7_A,A,top_7_B,B,2.24,-10.34,-24.287,56.02,42.47,-14.369,38.24,0.438,0.897,-0.137,swarm_51_12.pdb
top_8_A,A,top_8_B,B,6.8,-15.3,-25.837,-4.35,31.81,-11.411,-10.097,7.856,-4.012,0.0764,swarm_49_67.pdb
top_9_A,A,top_9_B,B,3.86,-12.84,-24.212,-25.41,-15.17,-10.333,-62.333,-2.589,-5.017,-0.0267,swarm_43_12.pdb
top_10_A,A,top_10_B,B,4.56,-12.54,-24.127,-20.58,4.09,5.288,-42.256,20.9,-3.92,0.0436,swarm_0_91.pdb
top_11_A,A,top_11_B,B,7.12,-13.54,-25.648,64.44,38.61,13.706,-6.746,28.606,-4.228,0.1415,swarm_118_57.pdb
top_12_A,A,top_12_B,B,1.86,-9.61,-21.731,-29.64,0.85,-3.362,-16.116,1.9,-2.191,-0.1072,swarm_41_88.pdb
top_13_A,A,top_13_B,B,3.1,-20.65,-27.579,-31.29,-3.51,2.932,-41.751,17.302,-3.079,-0.191,swarm_119_58.pdb
top_14_A,A,top_14_B,B,0.46,-15.19,-26.31,-20.49,-6.23,-14.673,-46.288,-4.622,-1.099,-0.0669,swarm_119_163.pdb
top_15_A,A,top_15_B,B,4.9,-10.94,-25.447,-12.88,10.87,-0.366,-50.918,16.816,-1.611,-0.1005,swarm_42_197.pdb
top_16_A,A,top_16_B,B,-1.68,-14.93,-27.175,-35.74,-18.51,-23.139,-28.452,-16.684,3.904,-0.1796,swarm_38_69.pdb
top_17_A,A,top_17_B,B,2.12,-15.76,-28.922,5.52,51.99,2.835,42.046,23.915,-5.544,0.2663,swarm_105_103.pdb
top_18_A,A,top_18_B,B,4.36,-14.2,-26.536,-12.95,11.16,-8.141,-41.589,11.05,-1.593,-0.0197,swarm_81_98.pdb
top_19_A,A,top_19_B,B,0.94,-12.03,-24.128,-17.03,-2.19,3.78,-51.099,21.75,-5.482,0.0599,swarm_10_137.pdb
top_20_A,A,top_20_B,B,-16.18,38.24,4.435,1152.55,781.69,4.932,1543.074,184.705,-13.765,1.3715,swarm_81_61.pdb
top_21_A,A,top_21_B,B,7.2,-14.02,-26.714,-3.86,1.59,7.231,-47.359,26.828,-1.443,-0.016,swarm_74_1.pdb
top_22_A,A,top_22_B,B,0.84,-13.61,-23.861,-25.34,6.42,-12.081,-22.3,0.297,-3.248,0.1049,swarm_102_66.pdb
top_23_A,A,top_23_B,B,1.92,-11.22,-25.387,-15.94,9.96,-5.949,-33.249,9.584,-1.343,-0.0518,swarm_118_151.pdb
top_24_A,A,top_24_B,B,4.74,-12.72,-23.628,-35.86,-8.1,-12.804,-52.905,-9.56,-3.419,-0.0054,swarm_112_77.pdb
top_25_A,A,top_25_B,B,4.06,-16.4,-25.52,-0.46,0.79,4.894,-32.85,21.781,0.126,0.0398,swarm_91_166.pdb
top_26_A,A,top_26_B,B,1.34,-15.16,-23.429,-10.7,-19.92,-8.334,-67.353,-7.596,-0.436,-0.0876,swarm_63_62.pdb
top_27_A,A,top_27_B,B,3.16,-12.69,-23.411,8.73,33.64,-10.668,-20.224,5.758,0.999,-0.1507,swarm_26_60.pdb
top_28_A,A,top_28_B,B,3.42,-12.63,-24.226,-43.63,-7.3,-7.834,-52.995,5.576,-6.285,0.0004,swarm_84_141.pdb
top_29_A,A,top_29_B,B,4.04,-14.7,-23.566,6.48,7.38,8.82,-18.597,23.351,-6.023,0.1686,swarm_45_159.pdb
top_30_A,A,top_30_B,B,3.88,-11.94,-23.719,-11.69,-16.93,-3.318,-35.255,19.726,-5.448,-0.0364,swarm_44_154.pdb
top_31_A,A,top_31_B,B,-1.08,-12.88,-24.981,-51.96,-13.71,-2.14,-50.452,7.203,-0.119,-0.0684,swarm_73_91.pdb
top_32_A,A,top_32_B,B,6.86,-10.01,-22.784,16.18,24.88,0.547,-26.289,20.095,-8.205,-0.0213,swarm_69_169.pdb
top_33_A,A,top_33_B,B,4.38,-8.78,-18.317,8.11,21.66,-6.168,15.916,1.983,-4.896,0.0475,swarm_8_57.pdb
top_34_A,A,top_34_B,B,2.92,-15.38,-25.187,-30.36,-6.81,-7.866,-52.575,-9.401,-4.516,-0.0238,swarm_70_157.pdb
