pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-6.76,-22.38,-35.544,91.79,65.94,-10.13,116.814,4.146,-0.689,-0.0539,swarm_27_69.pdb
top_2_A,A,top_2_B,B,-9.64,-27.42,-36.871,-75.33,-41.46,-2.209,-36.599,-26.176,16.403,-0.2177,swarm_55_59.pdb
top_3_A,A,top_3_B,B,9.44,-26.99,-40.147,-56.09,-17.44,-13.609,-34.777,-19.178,9.708,-0.1089,swarm_55_62.pdb
top_4_A,A,top_4_B,B,-0.32,-14.56,-29.657,118.26,71.09,-4.406,157.454,-3.949,8.636,0.1311,swarm_165_117.pdb
top_5_A,A,top_5_B,B,1.86,-23.31,-35.903,19.33,22.15,-2.565,41.312,-19.504,15.729,0.1614,swarm_84_2.pdb
top_6_A,A,top_6_B,B,3.8,-21.54,-35.463,71.14,50.75,-2.015,44.746,1.886,4.862,0.0852,swarm_280_65.pdb
top_7_A,A,top_7_B,B,7.68,-22.43,-33.525,-28.34,-5.53,-4.322,-33.301,-13.315,7.289,0.138,swarm_55_134.pdb
top_8_A,A,top_8_B,B,0.52,-21.75,-36.348,-0.83,8.74,-11.882,-31.728,3.264,1.11,-0.0812,swarm_71_132.pdb
top_9_A,A,top_9_B,B,7.74,-24.76,-35.849,-25.94,-1.16,-6.144,-60.617,-6.869,9.105,0.2178,swarm_55_68.pdb
top_10_A,A,top_10_B,B,-0.08,-16.96,-32.84,38.51,11.79,-5.215,-28.074,6.013,0.073,-0.0308,swarm_274_51.pdb
top_11_A,A,top_11_B,B,5.42,-23.76,-34.549,-27.23,-4.53,9.024,-66.335,11.835,-0.871,0.0042,swarm_193_170.pdb
top_12_A,A,top_12_B,B,-4.18,-22.48,-35.851,-41.12,-11.62,-0.328,-57.421,6.006,2.136,0.2297,swarm_320_67.pdb
top_13_A,A,top_13_B,B,0.34,-17.91,-33.066,-19.43,-4.18,-3.986,-7.386,-1.035,7.354,0.0309,swarm_99_100.pdb
top_14_A,A,top_14_B,B,-3.9,-22.83,-36.569,-56.92,-17.97,-4.248,-32.903,6.29,-1.699,-0.1704,swarm_71_67.pdb
top_15_A,A,top_15_B,B,-4.36,-19.68,-34.969,104.74,83.81,-2.748,47.568,4.322,3.86,-0.0157,swarm_121_155.pdb
top_16_A,A,top_16_B,B,2.32,-26.55,-36.004,-9.96,3.8,-4.497,-19.696,-1.947,2.035,-0.2142,swarm_31_175.pdb
top_17_A,A,top_17_B,B,7.8,-20.74,-34.361,-57.05,-32.82,-11.896,-84.9,-10.255,0.76,0.037,swarm_263_55.pdb
top_18_A,A,top_18_B,B,-2.06,-13.71,-28.488,38.58,28.5,-5.419,89.664,-19.097,16.24,0.0911,swarm_99_85.pdb
top_19_A,A,top_19_B,B,6.78,-20.92,-32.698,-15.99,6.28,1.44,-35.99,1.898,1.08,-0.0548,swarm_2_162.pdb
top_20_A,A,top_20_B,B,2.5,-20.0,-31.933,15.46,4.86,-11.144,-36.34,-6.784,8.08,-0.2041,swarm_70_64.pdb
top_21_A,A,top_21_B,B,7.78,-21.61,-36.178,-30.8,-31.76,-4.403,-62.25,-5.331,-1.675,0.0241,swarm_44_110.pdb
top_22_A,A,top_22_B,B,4.62,-19.14,-34.912,30.98,46.93,-3.642,37.197,1.845,4.757,0.135,swarm_0_111.pdb
top_23_A,A,top_23_B,B,8.56,-19.49,-33.298,22.87,28.6,0.115,23.357,8.813,-8.026,0.0472,swarm_193_181.pdb
top_24_A,A,top_24_B,B,5.8,-18.88,-34.765,49.81,72.16,-11.273,-18.123,6.039,-2.707,0.1423,swarm_106_91.pdb
top_25_A,A,top_25_B,B,-5.3,-19.79,-32.959,20.6,28.91,-17.31,22.331,-8.409,1.988,-0.2124,swarm_89_61.pdb
top_26_A,A,top_26_B,B,6.42,-20.31,-32.833,-52.1,-11.72,9.774,-24.294,15.652,-2.434,0.0296,swarm_296_198.pdb
top_27_A,A,top_27_B,B,5.52,-19.28,-35.345,30.63,40.26,-5.864,8.015,2.548,0.195,0.1087,swarm_201_190.pdb
top_28_A,A,top_28_B,B,0.48,-14.71,-29.858,41.89,44.33,-12.065,9.995,-2.609,7.105,0.0117,swarm_63_116.pdb
