pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-6.38,-17.13,-27.7991,3.54,15.05,-6.39,18.153,1.558,1.77,-0.1649,swarm_88_164.pdb
top_2_A,A,top_2_B,B,-4.16,-19.46,-27.8255,-59.29,-2.23,-8.563,22.648,-13.445,3.675,-0.2244,swarm_22_108.pdb
top_3_A,A,top_3_B,B,2.38,-18.5,-28.1882,-18.12,5.35,-8.096,-25.581,10.19,-3.519,-0.0193,swarm_150_124.pdb
top_4_A,A,top_4_B,B,0.36,-21.06,-27.8379,-15.09,10.17,-1.586,-11.711,-5.735,0.493,-0.074,swarm_3_165.pdb
top_5_A,A,top_5_B,B,0.14,-21.77,-30.6236,-76.96,-35.94,-11.385,-73.001,-21.796,-1.645,-0.0348,swarm_137_189.pdb
top_6_A,A,top_6_B,B,-0.36,-19.43,-25.4052,5.35,8.4,-1.034,5.994,-7.391,0.101,0.0123,swarm_180_117.pdb
top_7_A,A,top_7_B,B,-0.42,-18.8,-26.1587,-34.75,1.19,-12.065,-50.35,-17.534,-3.453,-0.0718,swarm_71_135.pdb
top_8_A,A,top_8_B,B,9.82,-16.99,-28.7815,8.53,36.3,-8.297,-1.68,17.455,-6.471,0.1523,swarm_80_21.pdb
top_9_A,A,top_9_B,B,2.2,-15.37,-24.941,-7.51,21.76,-2.929,-1.426,0.378,0.664,0.061,swarm_71_19.pdb
top_10_A,A,top_10_B,B,6.94,-18.7,-27.3175,31.93,29.99,-12.49,9.463,-4.297,-1.697,0.0316,swarm_180_18.pdb
top_11_A,A,top_11_B,B,-6.16,-18.45,-26.9998,-8.56,3.89,-3.087,-11.651,3.061,-1.274,-0.0094,swarm_67_53.pdb
top_12_A,A,top_12_B,B,1.04,-16.42,-28.0358,-11.86,21.78,-20.251,-25.641,-13.627,-2.912,0.1263,swarm_115_0.pdb
top_13_A,A,top_13_B,B,3.48,-19.33,-28.2281,-83.22,-24.08,-21.895,-49.129,-15.225,-3.909,-0.0335,swarm_70_149.pdb
top_14_A,A,top_14_B,B,-4.44,-19.16,-26.3546,-22.65,-0.91,-3.01,7.084,2.009,1.306,0.1178,swarm_32_72.pdb
top_15_A,A,top_15_B,B,5.08,-21.66,-29.5069,-9.78,0.02,-12.949,-41.963,-2.99,-5.748,-0.0368,swarm_148_185.pdb
top_16_A,A,top_16_B,B,3.68,-17.45,-27.7686,2.1,12.37,-15.957,-3.651,-4.127,-5.375,0.0572,swarm_130_118.pdb
top_17_A,A,top_17_B,B,7.6,-14.76,-26.7594,7.19,8.19,-2.712,-21.791,22.804,-4.842,0.0315,swarm_23_136.pdb
top_18_A,A,top_18_B,B,0.82,-15.75,-25.2385,-24.39,-7.63,-5.552,-49.802,-16.764,1.76,-0.1128,swarm_180_58.pdb
top_19_A,A,top_19_B,B,-0.36,-16.19,-26.1443,51.78,32.75,-14.058,55.058,-7.434,-3.376,-0.0248,swarm_186_111.pdb
top_20_A,A,top_20_B,B,-3.06,-17.7,-25.2482,-22.87,-7.89,0.785,-11.062,0.715,-0.898,-0.0703,swarm_32_75.pdb
top_21_A,A,top_21_B,B,2.72,-17.71,-27.0348,-9.04,4.5,-5.349,-30.057,-11.396,-3.373,0.0473,swarm_14_49.pdb
top_22_A,A,top_22_B,B,0.8,-19.24,-27.327,6.23,30.74,-8.596,-39.282,-11.065,-0.303,-0.1027,swarm_86_161.pdb
top_23_A,A,top_23_B,B,-4.42,-16.87,-25.3077,-34.99,-10.63,-2.987,-23.731,-19.954,9.152,-0.1342,swarm_3_27.pdb
top_24_A,A,top_24_B,B,-1.86,-15.73,-25.3364,-14.4,19.77,-1.844,-36.654,-5.1,-1.453,-0.0899,swarm_60_32.pdb
top_25_A,A,top_25_B,B,-1.44,-21.35,-27.7515,-69.63,-32.04,-0.065,-52.786,-14.978,0.777,-0.2109,swarm_180_73.pdb
top_26_A,A,top_26_B,B,2.34,-14.93,-24.6232,-14.4,14.71,-7.662,-18.181,-4.401,-3.0,-0.018,swarm_34_121.pdb
top_27_A,A,top_27_B,B,1.12,-17.36,-26.5637,-3.48,14.16,-1.942,-8.358,9.819,-1.679,0.0552,swarm_33_15.pdb
top_28_A,A,top_28_B,B,3.36,-15.53,-23.6314,-11.32,-2.61,-18.877,-38.99,-10.982,3.751,-0.0972,swarm_71_179.pdb
top_29_A,A,top_29_B,B,1.92,-21.07,-25.7945,-61.32,-24.25,-9.785,-47.077,-20.82,-0.509,0.0154,swarm_67_32.pdb
top_30_A,A,top_30_B,B,-2.88,-18.33,-26.5288,-27.22,0.02,-6.508,23.303,1.468,1.561,-0.0757,swarm_168_117.pdb
top_31_A,A,top_31_B,B,-3.44,-17.49,-23.694,33.42,32.57,0.28,30.716,12.35,-0.875,-0.0466,swarm_6_60.pdb
