pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-7.72,-24.16,-34.0555,-17.81,24.79,-0.104,-25.984,-6.925,2.705,-0.3064,swarm_41_11.pdb
top_2_A,A,top_2_B,B,-6.36,-24.43,-33.5734,27.03,50.97,-3.761,23.942,-13.988,-2.563,-0.3144,swarm_134_10.pdb
top_3_A,A,top_3_B,B,-6.5,-25.34,-34.5947,-46.49,12.86,1.398,-48.418,-21.512,2.657,-0.1764,swarm_55_77.pdb
top_4_A,A,top_4_B,B,-9.2,-24.07,-32.9976,-25.24,18.64,-1.867,-19.143,-20.523,4.023,-0.1613,swarm_116_130.pdb
top_5_A,A,top_5_B,B,-1.94,-27.57,-36.8096,-41.62,6.77,1.932,-31.313,-11.052,0.146,-0.3986,swarm_98_101.pdb
top_6_A,A,top_6_B,B,-4.26,-24.57,-35.6534,38.91,35.69,2.797,18.919,-0.858,2.084,-0.0341,swarm_168_130.pdb
top_7_A,A,top_7_B,B,-4.08,-24.02,-33.5041,-27.96,15.15,-2.616,-18.384,-12.231,-1.207,-0.1378,swarm_172_10.pdb
top_8_A,A,top_8_B,B,-5.02,-20.32,-31.6309,3.33,18.57,-0.381,-33.996,-21.042,5.32,-0.3408,swarm_71_139.pdb
top_9_A,A,top_9_B,B,-0.86,-24.2,-30.7323,-32.27,2.26,7.869,-32.696,-8.96,2.5,-0.1755,swarm_168_133.pdb
top_10_A,A,top_10_B,B,2.46,-22.42,-31.1873,8.66,28.72,7.216,-21.21,-1.509,-0.461,0.0098,swarm_55_158.pdb
top_11_A,A,top_11_B,B,-5.82,-28.9,-36.7149,-24.42,6.01,-2.201,-11.996,-14.815,0.192,-0.1317,swarm_103_99.pdb
top_12_A,A,top_12_B,B,-4.04,-22.1,-31.7352,34.01,28.32,-0.279,11.413,-0.042,3.319,-0.0733,swarm_22_178.pdb
top_13_A,A,top_13_B,B,-3.4,-23.32,-32.677,15.55,19.04,2.787,-35.434,-0.595,-2.892,-0.0179,swarm_62_166.pdb
top_14_A,A,top_14_B,B,-4.68,-21.91,-30.3899,-48.67,40.61,1.2,-19.875,-16.377,4.806,-0.1685,swarm_71_57.pdb
top_15_A,A,top_15_B,B,-3.22,-21.62,-29.9436,-65.51,-19.08,1.57,-0.907,-16.386,6.327,-0.223,swarm_101_105.pdb
top_16_A,A,top_16_B,B,-1.72,-26.27,-32.4195,-81.66,-32.83,9.0,-56.069,-6.947,-0.664,-0.2777,swarm_176_89.pdb
top_17_A,A,top_17_B,B,0.46,-23.5,-30.9754,13.85,49.06,7.364,-3.747,0.313,0.452,-0.1274,swarm_117_91.pdb
top_18_A,A,top_18_B,B,-2.82,-24.05,-29.9461,-75.9,-18.99,3.059,-4.247,-7.688,4.526,-0.1819,swarm_129_79.pdb
top_19_A,A,top_19_B,B,-2.48,-26.03,-33.0124,-44.58,-13.22,11.129,-48.047,-1.369,-2.813,-0.3261,swarm_151_36.pdb
top_20_A,A,top_20_B,B,-2.68,-21.65,-29.915,-34.93,-7.74,2.594,-27.023,-8.524,1.009,-0.2117,swarm_159_17.pdb
top_21_A,A,top_21_B,B,-5.02,-19.66,-28.7031,3.98,31.9,4.341,51.846,3.115,1.247,-0.0749,swarm_120_41.pdb
top_22_A,A,top_22_B,B,-0.02,-26.59,-31.4636,5.69,5.78,8.086,-37.304,-10.206,-1.589,-0.2605,swarm_160_110.pdb
top_23_A,A,top_23_B,B,-3.88,-22.5,-28.7847,-21.87,11.9,-0.745,-50.82,-9.656,2.603,-0.1094,swarm_58_190.pdb
top_24_A,A,top_24_B,B,-8.24,-24.05,-32.0468,-46.57,2.46,-1.105,19.376,-9.663,-1.741,-0.2826,swarm_120_86.pdb
top_25_A,A,top_25_B,B,-6.56,-19.47,-31.749,-65.43,-29.9,-3.977,-26.969,-18.585,4.982,-0.1757,swarm_8_0.pdb
top_26_A,A,top_26_B,B,-5.8,-24.1,-29.9816,-35.64,23.31,1.952,-13.449,-10.886,-6.126,-0.2187,swarm_62_62.pdb
top_27_A,A,top_27_B,B,-0.18,-20.97,-31.5177,36.37,41.57,5.836,-17.458,3.034,0.693,-0.0281,swarm_69_98.pdb
top_28_A,A,top_28_B,B,-2.98,-21.94,-29.4063,-62.16,-20.03,0.107,-27.899,-13.043,3.678,-0.2604,swarm_11_62.pdb
top_29_A,A,top_29_B,B,-3.76,-23.53,-28.8523,-39.73,-1.31,5.029,-30.039,-14.221,4.589,-0.2432,swarm_129_128.pdb
top_30_A,A,top_30_B,B,-5.74,-22.27,-30.6891,24.67,33.82,1.197,34.283,-2.317,0.138,-0.29,swarm_92_69.pdb
top_31_A,A,top_31_B,B,-8.06,-20.62,-29.5772,-67.61,1.43,-3.637,-23.599,-25.221,7.031,-0.2589,swarm_71_132.pdb
top_32_A,A,top_32_B,B,-5.26,-21.99,-30.1539,-62.86,-1.99,-4.389,-30.345,-27.712,7.265,-0.2847,swarm_157_107.pdb
top_33_A,A,top_33_B,B,-5.12,-24.04,-32.7164,56.99,66.3,-0.517,25.003,-5.776,-1.284,-0.1794,swarm_11_141.pdb
top_34_A,A,top_34_B,B,-5.4,-18.82,-25.3603,-0.25,37.25,6.323,54.058,-2.36,4.299,-0.1973,swarm_129_83.pdb
top_35_A,A,top_35_B,B,-3.3,-23.05,-32.8649,69.34,43.69,-3.761,63.782,-11.452,-2.326,-0.1602,swarm_79_21.pdb
top_36_A,A,top_36_B,B,-0.78,-21.63,-29.4374,-5.89,12.73,1.172,-23.849,-1.419,-4.852,-0.001,swarm_103_138.pdb
top_37_A,A,top_37_B,B,-6.78,-8.22,-19.4044,211.69,126.96,-4.554,229.652,-0.009,-1.908,-0.0416,swarm_71_185.pdb
top_38_A,A,top_38_B,B,-3.44,-18.96,-27.6305,1.28,1.57,1.099,-21.793,-19.116,2.171,-0.0689,swarm_71_148.pdb
top_39_A,A,top_39_B,B,-6.58,-22.18,-31.0689,-21.99,27.4,6.192,22.123,-3.336,-0.008,-0.0309,swarm_99_92.pdb
top_40_A,A,top_40_B,B,2.36,-25.16,-30.9524,-9.68,7.67,5.987,-16.944,-2.219,-3.152,-0.0963,swarm_90_166.pdb
top_41_A,A,top_41_B,B,-2.34,-20.41,-26.8564,-45.05,-25.83,0.661,-26.198,-0.941,2.258,0.022,swarm_126_58.pdb
top_42_A,A,top_42_B,B,-8.14,-18.0,-28.8514,-9.21,27.49,-3.879,-2.325,-21.505,4.88,-0.1343,swarm_22_196.pdb
top_43_A,A,top_43_B,B,-9.06,-22.35,-29.212,28.47,43.51,-6.674,-31.623,9.227,-10.064,-0.1774,swarm_5_136.pdb
top_44_A,A,top_44_B,B,-1.62,-21.97,-30.1119,-40.34,-22.61,-0.805,-70.479,-13.312,3.641,-0.115,swarm_78_97.pdb
top_45_A,A,top_45_B,B,-1.42,-24.89,-31.7787,-45.97,-2.85,4.713,-27.119,-2.492,0.807,0.0881,swarm_73_137.pdb
top_46_A,A,top_46_B,B,-3.16,-20.61,-27.3174,-1.75,-26.23,5.386,-52.456,-7.846,-1.159,0.0646,swarm_46_83.pdb
top_47_A,A,top_47_B,B,-7.96,-20.04,-28.4307,-32.73,-10.23,-12.057,-22.313,-15.248,-1.333,-0.2714,swarm_87_198.pdb
top_48_A,A,top_48_B,B,1.52,-20.6,-28.8139,-54.3,-3.58,4.21,-21.219,-6.261,-1.78,-0.1098,swarm_11_98.pdb
top_49_A,A,top_49_B,B,0.8,-20.64,-27.8231,5.81,23.08,12.337,-12.921,13.187,-7.64,-0.1043,swarm_180_169.pdb
top_50_A,A,top_50_B,B,-7.42,-18.51,-34.615,91.54,80.05,-9.023,90.65,9.256,-5.074,-0.0825,swarm_22_173.pdb
top_51_A,A,top_51_B,B,-5.34,-22.15,-32.9691,-3.5,20.13,2.935,32.031,-6.947,3.657,0.8193,swarm_22_49.pdb
top_52_A,A,top_52_B,B,-1.96,-20.85,-30.9408,14.96,20.58,-2.705,-8.711,-11.309,2.59,-0.2767,swarm_93_59.pdb
top_53_A,A,top_53_B,B,-8.12,-21.26,-31.4275,-48.5,-4.28,4.874,12.501,-12.59,4.843,-0.0267,swarm_98_110.pdb
top_54_A,A,top_54_B,B,-2.82,-19.12,-25.6011,-13.26,11.94,-2.7,-39.014,-17.985,0.831,-0.1993,swarm_68_93.pdb
top_55_A,A,top_55_B,B,-4.2,-17.04,-25.9059,-36.52,-4.41,1.384,-21.797,-21.588,4.014,-0.2802,swarm_55_182.pdb
top_56_A,A,top_56_B,B,-5.66,-22.21,-28.1582,-68.54,-13.71,-1.197,-39.259,-18.233,0.99,-0.1924,swarm_145_22.pdb
top_57_A,A,top_57_B,B,-5.3,-21.65,-30.4076,21.79,32.59,-0.428,31.713,-4.351,-0.675,0.0162,swarm_27_47.pdb
top_58_A,A,top_58_B,B,-2.78,-19.49,-26.0369,-49.19,-11.23,6.836,-38.446,3.096,-1.622,-0.0126,swarm_59_89.pdb
top_59_A,A,top_59_B,B,-1.32,-19.42,-29.116,35.49,28.16,0.946,17.819,-6.194,-2.249,-0.0813,swarm_65_174.pdb
top_60_A,A,top_60_B,B,-0.44,-20.41,-26.5178,-31.01,-12.24,8.087,-58.515,-2.701,3.156,-0.1321,swarm_95_178.pdb
top_61_A,A,top_61_B,B,-4.54,-21.8,-27.4845,-72.15,-27.84,-1.493,-44.655,-21.453,7.491,-0.3812,swarm_179_145.pdb
top_62_A,A,top_62_B,B,-1.82,-22.04,-29.6913,14.8,33.69,7.398,21.543,3.371,2.096,-0.0847,swarm_112_44.pdb
top_63_A,A,top_63_B,B,-2.02,-17.68,-25.8502,24.29,9.06,6.535,-6.695,1.753,4.662,-0.1253,swarm_122_190.pdb
top_64_A,A,top_64_B,B,-6.82,-20.49,-28.8629,-34.85,25.0,6.127,-17.627,-0.682,-1.978,-0.2031,swarm_69_93.pdb
top_65_A,A,top_65_B,B,-0.72,-18.96,-26.8567,-82.88,-22.5,-1.319,-24.676,-14.346,2.402,0.112,swarm_50_154.pdb
top_66_A,A,top_66_B,B,-2.18,-21.18,-27.4373,-53.69,-14.17,1.176,5.278,-5.509,5.984,-0.2728,swarm_125_65.pdb
top_67_A,A,top_67_B,B,-5.74,-19.58,-27.4834,-16.31,-6.19,-0.81,4.955,-6.793,0.861,-0.1066,swarm_99_35.pdb
top_68_A,A,top_68_B,B,-3.7,-19.05,-25.9533,-57.1,-4.46,1.943,-14.926,-7.188,1.111,0.3874,swarm_16_97.pdb
top_69_A,A,top_69_B,B,-1.74,-22.2,-27.3841,-21.32,5.37,9.341,-37.456,1.717,-4.873,-0.2249,swarm_131_107.pdb
top_70_A,A,top_70_B,B,-0.84,-26.01,-32.1441,-24.84,7.76,5.181,-11.425,-6.193,-2.243,0.0408,swarm_73_119.pdb
top_71_A,A,top_71_B,B,-5.6,-15.78,-27.1501,33.1,31.13,1.187,26.445,-6.824,4.321,-0.0193,swarm_98_3.pdb
top_72_A,A,top_72_B,B,0.56,-21.78,-28.0753,-30.81,2.21,0.825,-1.975,-6.647,-0.056,-0.1909,swarm_157_102.pdb
top_73_A,A,top_73_B,B,-0.02,-23.94,-29.6171,-41.29,-14.11,-1.444,-51.776,-6.957,-0.639,-0.31,swarm_170_52.pdb
top_74_A,A,top_74_B,B,-2.18,-18.22,-27.002,19.25,11.85,8.838,6.338,0.432,-0.455,-0.2204,swarm_180_180.pdb
top_75_A,A,top_75_B,B,-1.82,-20.22,-28.79,31.76,54.05,6.312,-27.61,10.682,-5.801,-0.0977,swarm_154_33.pdb
top_76_A,A,top_76_B,B,2.42,-26.53,-32.6884,-7.36,34.85,12.195,-34.293,-1.89,-1.687,0.005,swarm_178_70.pdb
top_77_A,A,top_77_B,B,-2.66,-19.93,-29.7264,10.48,27.26,-0.95,10.607,-11.273,-0.703,-0.2669,swarm_124_146.pdb
top_78_A,A,top_78_B,B,-1.96,-20.2,-27.2665,-3.29,10.95,13.339,-15.575,8.233,-1.155,-0.1037,swarm_60_80.pdb
top_79_A,A,top_79_B,B,-3.02,-20.92,-27.6405,20.72,28.27,2.567,-6.223,-14.955,3.862,-0.2333,swarm_70_120.pdb
top_80_A,A,top_80_B,B,-8.92,-18.91,-26.1715,56.6,63.86,-0.235,-12.469,-4.785,-0.878,-0.2297,swarm_81_49.pdb
top_81_A,A,top_81_B,B,-3.52,-19.09,-26.3044,-17.96,14.59,3.032,-38.185,-6.447,-2.551,-0.1725,swarm_172_42.pdb
top_82_A,A,top_82_B,B,-6.78,-19.36,-26.312,-97.38,-34.11,2.9,-42.929,-8.631,-1.004,-0.1654,swarm_134_198.pdb
top_83_A,A,top_83_B,B,-5.92,-20.7,-34.3991,-10.78,35.76,3.395,35.572,-0.152,-1.386,0.0215,swarm_93_76.pdb
top_84_A,A,top_84_B,B,-3.68,-20.03,-27.1865,-57.86,-11.52,1.852,-33.823,-10.49,-1.201,0.0252,swarm_65_51.pdb
top_85_A,A,top_85_B,B,-6.18,-20.35,-27.9549,-58.39,-6.95,-0.726,18.358,-9.073,0.828,-0.1934,swarm_79_29.pdb
top_86_A,A,top_86_B,B,-5.64,-20.51,-28.3251,89.16,76.0,6.043,12.59,8.224,-5.671,-0.1715,swarm_154_12.pdb
top_87_A,A,top_87_B,B,-3.38,-17.61,-25.1771,-54.58,-9.67,-7.29,-41.318,-29.459,4.993,-0.1496,swarm_128_65.pdb
top_88_A,A,top_88_B,B,-6.4,-17.42,-25.8632,16.99,26.13,-3.867,36.279,-18.117,3.938,-0.2501,swarm_101_52.pdb
top_89_A,A,top_89_B,B,-4.84,-19.69,-26.5249,-58.64,-18.83,-11.088,-11.962,-20.019,-0.28,-0.1874,swarm_109_53.pdb
top_90_A,A,top_90_B,B,-4.7,-21.47,-31.1138,14.37,21.67,-1.272,-11.269,-18.943,5.564,-0.4032,swarm_119_189.pdb
top_91_A,A,top_91_B,B,-1.16,-20.67,-26.3892,66.63,50.25,2.886,14.081,-3.125,-4.168,0.1734,swarm_20_17.pdb
top_92_A,A,top_92_B,B,-4.08,-17.67,-25.5434,16.79,11.33,2.149,29.788,-7.703,2.255,0.0309,swarm_100_149.pdb
top_93_A,A,top_93_B,B,-7.62,-18.58,-27.227,-36.12,-4.73,1.34,-25.072,-11.126,-1.945,-0.1897,swarm_99_184.pdb
top_94_A,A,top_94_B,B,-2.82,-17.38,-24.5247,-1.89,28.26,6.102,-11.983,6.457,1.0,0.0154,swarm_68_111.pdb
top_95_A,A,top_95_B,B,-4.1,-20.8,-30.9415,6.18,33.68,-6.254,77.587,-6.901,-1.897,-0.0744,swarm_170_181.pdb
top_96_A,A,top_96_B,B,-5.3,-16.01,-26.494,27.49,55.56,0.314,83.237,-13.194,2.584,0.0666,swarm_93_90.pdb
top_97_A,A,top_97_B,B,-3.7,-22.16,-28.2157,-30.3,2.81,11.73,-30.542,0.561,-5.6,-0.1022,swarm_11_124.pdb
top_98_A,A,top_98_B,B,-7.58,-21.86,-29.128,56.42,73.05,2.63,74.364,11.702,-1.146,0.2494,swarm_90_185.pdb
top_99_A,A,top_99_B,B,-5.36,-20.25,-27.9278,-29.26,-2.93,0.906,12.509,-8.892,-1.746,-0.2906,swarm_0_109.pdb
top_100_A,A,top_100_B,B,-0.72,-19.43,-30.8842,47.7,45.46,-3.714,72.865,12.067,-1.695,0.3427,swarm_124_81.pdb
top_101_A,A,top_101_B,B,-1.88,-17.68,-25.4916,5.24,17.54,-2.026,-20.084,-7.131,-4.849,0.0758,swarm_44_79.pdb
top_102_A,A,top_102_B,B,2.14,-21.22,-26.6532,5.48,-20.78,4.273,-36.523,4.434,-0.445,0.1979,swarm_139_159.pdb
top_103_A,A,top_103_B,B,-8.26,-24.57,-29.3361,37.45,19.2,9.064,-7.621,9.736,2.599,0.0551,swarm_115_90.pdb
top_104_A,A,top_104_B,B,-0.88,-19.82,-25.3775,-16.69,-5.97,1.217,-17.685,12.411,-5.587,-0.0707,swarm_10_30.pdb
top_105_A,A,top_105_B,B,-3.3,-20.76,-29.1431,26.37,40.41,1.242,13.841,4.414,-0.549,0.0726,swarm_0_180.pdb
top_106_A,A,top_106_B,B,-0.64,-18.64,-26.439,-38.5,-3.11,-1.863,8.92,-7.181,1.394,-0.2041,swarm_6_167.pdb
top_107_A,A,top_107_B,B,-4.4,-21.63,-30.527,45.65,14.08,4.358,51.453,5.172,-0.547,0.151,swarm_92_110.pdb
top_108_A,A,top_108_B,B,-1.92,-21.32,-28.0777,-28.68,2.65,4.317,-39.694,-8.721,3.648,-0.1808,swarm_131_91.pdb
top_109_A,A,top_109_B,B,-4.08,-20.46,-29.0406,12.63,26.51,2.282,17.283,-7.976,1.415,-0.1862,swarm_181_169.pdb
top_110_A,A,top_110_B,B,-5.64,-23.74,-26.4391,-38.34,-4.35,-2.217,17.715,-0.367,-2.944,-0.0625,swarm_94_158.pdb
top_111_A,A,top_111_B,B,-8.9,-14.27,-24.7222,-17.99,7.02,8.766,15.52,20.032,-4.22,0.011,swarm_59_30.pdb
top_112_A,A,top_112_B,B,-0.6,-19.61,-26.6381,-32.52,11.76,2.629,-18.678,-7.595,0.323,-0.176,swarm_137_43.pdb
top_113_A,A,top_113_B,B,-4.38,-17.34,-23.3547,-18.27,1.65,-1.952,-35.044,-21.858,4.42,-0.1486,swarm_64_99.pdb
top_114_A,A,top_114_B,B,-1.1,-22.85,-27.8674,-11.37,11.59,1.762,16.9,7.54,-1.522,-0.0381,swarm_27_156.pdb
top_115_A,A,top_115_B,B,-6.2,-20.57,-26.5522,-60.76,-36.56,1.838,-33.414,-9.736,-0.213,-0.1158,swarm_87_50.pdb
top_116_A,A,top_116_B,B,-3.5,-20.23,-28.0334,-19.32,14.11,0.777,-16.933,-5.086,2.187,-0.2617,swarm_115_11.pdb
top_117_A,A,top_117_B,B,-1.36,-18.46,-27.5995,51.5,14.24,1.455,-7.972,-8.14,-1.789,-0.0677,swarm_120_43.pdb
top_118_A,A,top_118_B,B,-7.22,-15.2,-23.0605,57.52,47.03,-4.503,27.746,-6.526,2.049,-0.1642,swarm_156_79.pdb
top_119_A,A,top_119_B,B,-5.16,-21.42,-27.2301,-26.29,-10.03,1.041,-23.635,-14.85,5.455,-0.1148,swarm_138_158.pdb
top_120_A,A,top_120_B,B,-1.72,-24.47,-29.5422,-15.85,2.48,9.145,5.684,3.097,0.568,-0.1218,swarm_141_28.pdb
top_121_A,A,top_121_B,B,-1.1,-21.36,-27.1391,-44.0,-8.54,1.784,-33.928,-8.738,-2.201,-0.0444,swarm_176_166.pdb
top_122_A,A,top_122_B,B,-1.78,-17.09,-23.615,-44.16,-20.69,1.427,-28.758,-5.179,1.53,-0.1034,swarm_16_19.pdb
top_123_A,A,top_123_B,B,-3.86,-20.03,-26.6722,-61.58,-21.96,0.35,-38.199,-10.2,2.321,-0.1481,swarm_22_105.pdb
top_124_A,A,top_124_B,B,1.6,-17.83,-26.5772,-29.39,-11.45,3.714,-29.513,-7.889,-1.215,0.0868,swarm_47_8.pdb
top_125_A,A,top_125_B,B,-3.7,-18.76,-25.8567,-50.93,-11.38,1.693,-43.207,-28.641,4.879,-0.3189,swarm_8_183.pdb
top_126_A,A,top_126_B,B,-5.04,-19.51,-26.5381,2.24,3.19,-3.287,12.733,-1.075,-2.835,-0.0409,swarm_158_12.pdb
top_127_A,A,top_127_B,B,-6.24,-17.11,-24.9961,25.2,15.16,2.281,-17.459,-16.877,3.904,-0.1067,swarm_139_36.pdb
