pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,0.38,-25.54,-36.0613,-17.04,-30.88,-24.0,-48.563,-10.751,-1.645,-0.1556,swarm_368_33.pdb
top_2_A,A,top_2_B,B,14.04,-19.69,-39.1765,-45.72,-10.8,-13.354,-58.816,13.256,-7.01,0.1423,swarm_186_134.pdb
top_3_A,A,top_3_B,B,10.22,-16.13,-34.3517,8.04,-2.3,-22.963,-58.995,3.193,-2.586,0.0991,swarm_335_139.pdb
top_4_A,A,top_4_B,B,0.58,-20.46,-35.9272,-23.8,19.03,-16.38,-27.474,11.927,-2.899,-0.2054,swarm_515_193.pdb
top_5_A,A,top_5_B,B,15.16,-16.3,-33.514,-26.09,8.98,-21.931,-79.992,1.795,-9.01,-0.1441,swarm_244_58.pdb
top_6_A,A,top_6_B,B,6.46,-22.79,-33.0548,-60.27,-25.41,-25.83,-57.182,-7.7,-3.625,-0.267,swarm_110_71.pdb
top_7_A,A,top_7_B,B,4.72,-25.04,-39.5964,-40.87,-13.16,-17.768,12.271,10.692,-2.214,-0.2102,swarm_303_84.pdb
top_8_A,A,top_8_B,B,7.06,-19.89,-34.7653,-18.84,8.02,-2.669,-52.275,17.699,-2.978,-0.0089,swarm_303_13.pdb
top_9_A,A,top_9_B,B,12.38,-18.51,-32.0922,36.52,40.03,-3.655,-75.498,37.341,-5.64,-0.0061,swarm_5_139.pdb
top_10_A,A,top_10_B,B,4.2,-16.65,-36.7745,-50.36,15.6,-19.859,-87.138,3.561,-1.288,0.1192,swarm_578_135.pdb
top_11_A,A,top_11_B,B,6.52,-17.49,-33.8365,-59.24,1.23,6.096,-11.262,21.818,-0.69,0.094,swarm_368_86.pdb
top_12_A,A,top_12_B,B,17.22,-24.5,-38.4538,-22.1,13.58,-9.033,-58.637,-8.346,-3.627,-0.1105,swarm_244_171.pdb
