pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,15.88,-29.12,-50.273,-8.16,32.41,-13.227,-115.81,12.213,-10.207,0.085,swarm_224_41.pdb
top_2_A,A,top_2_B,B,8.08,-19.56,-41.09,-63.92,-0.8,-7.297,-98.419,52.809,-7.731,0.038,swarm_381_36.pdb
top_3_A,A,top_3_B,B,10.16,-14.74,-32.879,74.88,73.53,-14.536,-18.483,27.536,-13.217,0.3961,swarm_117_70.pdb
top_4_A,A,top_4_B,B,9.86,-24.42,-45.817,-32.04,13.01,-12.865,-77.568,17.853,-7.76,-0.0772,swarm_331_165.pdb
top_5_A,A,top_5_B,B,14.54,-24.76,-43.869,10.95,1.12,-30.304,-97.067,10.819,-8.077,-0.2798,swarm_262_120.pdb
top_6_A,A,top_6_B,B,-3.60822483003e-16,-20.19,-37.634,-91.99,-47.53,-12.893,-69.085,-10.389,3.5,-0.144,swarm_93_111.pdb
top_7_A,A,top_7_B,B,14.9,-15.49,-33.626,87.18,68.46,-12.081,-45.328,30.665,-13.754,0.3231,swarm_331_53.pdb
top_8_A,A,top_8_B,B,9.42,8.68,-21.529,413.57,272.93,-27.26,441.57,50.23,-12.641,0.3461,swarm_331_183.pdb
top_9_A,A,top_9_B,B,4.08,-13.82,-29.684,-45.88,-16.37,6.419,-32.563,12.564,2.547,-0.1141,swarm_192_88.pdb
top_10_A,A,top_10_B,B,-0.34,-23.45,-33.271,-64.73,-34.71,-19.991,-73.391,-34.681,6.703,-0.2254,swarm_310_6.pdb
top_11_A,A,top_11_B,B,11.6,-18.12,-35.765,3.37,21.38,-11.431,-70.259,27.399,-6.334,0.0091,swarm_79_67.pdb
top_12_A,A,top_12_B,B,10.2,-18.21,-37.802,-46.19,11.05,3.67,-65.275,29.228,-6.348,-0.0171,swarm_37_124.pdb
top_13_A,A,top_13_B,B,13.2,-20.38,-32.113,21.77,25.68,0.292,-22.338,24.117,-11.512,0.2873,swarm_33_186.pdb
top_14_A,A,top_14_B,B,2.02,-18.55,-30.33,-57.56,-27.9,-14.466,-52.137,-14.407,5.206,-0.018,swarm_93_160.pdb
top_15_A,A,top_15_B,B,4.8,-12.44,-31.151,-0.54,12.75,7.902,-8.284,27.181,-1.056,-0.0671,swarm_93_167.pdb
top_16_A,A,top_16_B,B,7.6,-16.5,-30.066,25.67,18.45,-3.612,1.278,25.862,-10.804,0.0683,swarm_160_176.pdb
top_17_A,A,top_17_B,B,8.12,-23.38,-42.035,-84.71,-18.42,-25.629,-83.521,-1.838,-8.036,-0.1131,swarm_342_146.pdb
top_18_A,A,top_18_B,B,3.0,-17.91,-35.156,-33.69,-13.91,-15.383,-76.458,-6.451,1.964,-0.2319,swarm_154_10.pdb
top_19_A,A,top_19_B,B,6.08,-16.51,-35.703,-55.95,-16.72,-16.507,-53.937,15.846,-5.236,-0.0216,swarm_165_69.pdb
top_20_A,A,top_20_B,B,14.14,-17.25,-34.438,-30.17,-6.42,-11.97,-32.355,18.715,-11.352,0.1698,swarm_277_51.pdb
top_21_A,A,top_21_B,B,9.58,-17.82,-38.546,-29.44,42.02,-7.636,10.964,29.005,-7.177,0.0164,swarm_299_168.pdb
top_22_A,A,top_22_B,B,5.22,-15.52,-34.666,-24.02,-16.23,-9.738,-34.705,10.02,5.248,-0.0466,swarm_93_23.pdb
top_23_A,A,top_23_B,B,7.14,-16.81,-32.836,-24.57,-4.85,-11.572,-69.32,24.558,-5.968,-0.1242,swarm_42_39.pdb
top_24_A,A,top_24_B,B,2.98,-17.99,-28.053,-45.01,-5.01,-23.391,-33.57,-12.453,4.709,-0.1408,swarm_125_66.pdb
top_25_A,A,top_25_B,B,1.68,-15.66,-30.522,-24.0,-8.84,-17.754,-71.864,-2.949,1.706,-0.2218,swarm_154_12.pdb
top_26_A,A,top_26_B,B,-2.96,-13.26,-21.084,22.47,26.56,-16.035,22.091,-19.249,9.255,-0.1288,swarm_286_187.pdb
top_27_A,A,top_27_B,B,0.44,-19.21,-32.11,-26.04,2.83,8.538,-55.629,1.504,5.495,-0.1661,swarm_338_193.pdb
top_28_A,A,top_28_B,B,9.04,-19.32,-42.332,-15.62,21.54,-15.863,-64.251,27.185,-9.116,0.0961,swarm_79_39.pdb
