pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.18,-19.3,-41.544,-57.62,-9.21,-14.534,-95.505,4.638,-0.941,-0.1482,swarm_252_90.pdb
top_2_A,A,top_2_B,B,8.14,-20.42,-35.056,-31.56,22.67,-16.487,-21.926,-8.746,2.279,-0.2024,swarm_51_180.pdb
top_3_A,A,top_3_B,B,10.46,-16.64,-35.618,84.1,68.56,-15.625,79.191,22.527,-5.022,0.1001,swarm_358_3.pdb
top_4_A,A,top_4_B,B,10.52,-23.8,-39.904,-27.21,-2.53,-12.749,-72.776,-2.325,-2.546,-0.0005,swarm_358_183.pdb
top_5_A,A,top_5_B,B,8.82,-23.47,-39.731,-22.93,26.59,-12.072,12.951,-1.716,-7.877,-0.0547,swarm_10_176.pdb
top_6_A,A,top_6_B,B,1.2,-16.61,-37.312,-65.73,-22.09,-16.192,-68.825,-10.988,-1.879,-0.195,swarm_51_42.pdb
top_7_A,A,top_7_B,B,9.44,-25.44,-46.97,-43.79,-14.57,-12.12,-76.593,5.94,-2.504,-0.0145,swarm_193_27.pdb
top_8_A,A,top_8_B,B,7.4,-16.59,-34.169,1.9,36.25,6.543,-57.687,30.091,-1.347,0.0906,swarm_63_190.pdb
top_9_A,A,top_9_B,B,-0.8,-19.05,-33.196,-74.51,-28.16,-13.192,-18.525,7.811,2.279,-0.2088,swarm_367_75.pdb
top_10_A,A,top_10_B,B,-4.98,-25.3,-36.808,-101.74,-51.45,-17.259,-53.546,-27.105,9.824,-0.377,swarm_352_144.pdb
top_11_A,A,top_11_B,B,7.82,-14.17,-32.762,79.16,75.11,-6.526,51.694,17.366,-1.211,0.2019,swarm_256_49.pdb
top_12_A,A,top_12_B,B,9.46,-21.04,-39.106,24.78,42.88,1.766,-81.24,17.966,-5.031,-0.0104,swarm_252_108.pdb
top_13_A,A,top_13_B,B,11.64,-22.81,-41.163,-7.11,45.5,-1.257,13.773,19.484,-10.229,-0.0246,swarm_175_96.pdb
top_14_A,A,top_14_B,B,3.04,-17.5,-35.513,-4.62,19.01,0.065,-32.529,21.99,-1.403,-0.0051,swarm_266_83.pdb
top_15_A,A,top_15_B,B,9.0,-23.51,-33.724,-36.6,9.99,-14.357,-58.808,-6.353,-4.064,0.0787,swarm_85_20.pdb
top_16_A,A,top_16_B,B,7.34,-7.92,-24.525,22.92,21.69,-3.264,18.928,19.584,-3.078,0.1639,swarm_215_115.pdb
top_17_A,A,top_17_B,B,9.32,-9.8,-29.99,95.19,88.16,-13.324,60.962,22.971,-5.056,0.1871,swarm_182_189.pdb
top_18_A,A,top_18_B,B,8.52,-21.69,-38.515,-0.44,38.33,-13.938,-75.58,2.18,-7.137,-0.135,swarm_221_108.pdb
top_19_A,A,top_19_B,B,-4.58,-21.07,-31.443,4.2,13.19,-10.397,-32.966,-18.162,6.244,-0.0762,swarm_198_2.pdb
top_20_A,A,top_20_B,B,3.52,-20.77,-33.228,-2.79,7.37,-1.242,-40.238,5.981,-3.969,0.161,swarm_109_99.pdb
top_21_A,A,top_21_B,B,8.6,-20.63,-32.588,-45.64,-8.27,-8.929,-68.229,4.999,-3.247,-0.008,swarm_238_192.pdb
top_22_A,A,top_22_B,B,2.88,-15.58,-33.613,82.7,58.25,-10.634,24.255,5.104,-5.473,-0.2231,swarm_256_34.pdb
top_23_A,A,top_23_B,B,2.72,-19.15,-32.555,-29.84,-8.03,-13.451,-61.037,-0.629,-2.362,-0.0758,swarm_110_84.pdb
