pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.84,-20.86,-28.649,-26.56,-5.8,-17.543,-63.023,-14.84,1.762,-0.0567,swarm_111_137.pdb
top_2_A,A,top_2_B,B,5.4,-21.95,-29.4258,-36.6,-2.01,-15.362,-53.041,-11.871,0.113,-0.0817,swarm_103_65.pdb
top_3_A,A,top_3_B,B,4.2,-18.79,-26.5297,-4.52,41.81,-20.478,9.838,-23.526,5.065,-0.0644,swarm_28_190.pdb
top_4_A,A,top_4_B,B,8.76,-14.07,-24.0003,81.25,55.51,-21.08,27.004,-1.764,1.7,-0.0384,swarm_117_190.pdb
top_5_A,A,top_5_B,B,-4.9,-20.42,-24.5847,-49.46,-15.26,-5.98,-33.563,-7.152,8.082,-0.1808,swarm_106_58.pdb
top_6_A,A,top_6_B,B,-4.8,-22.21,-28.8014,35.55,33.89,-6.164,20.884,1.419,3.671,-0.1077,swarm_103_83.pdb
top_7_A,A,top_7_B,B,1.46,-15.79,-25.2853,3.21,29.59,-14.437,-20.423,-7.781,0.05,0.0372,swarm_47_99.pdb
top_8_A,A,top_8_B,B,2.26,-19.15,-23.5473,-30.9,-12.67,-14.238,-52.245,-13.858,-0.001,-0.0899,swarm_104_32.pdb
top_9_A,A,top_9_B,B,4.76,-19.86,-26.6867,-9.42,12.56,-8.455,-52.548,-8.788,2.319,-0.0065,swarm_47_177.pdb
top_10_A,A,top_10_B,B,-4.62,-16.52,-22.8605,-23.17,-6.91,-18.41,-12.465,-10.295,-1.028,-0.0773,swarm_100_178.pdb
top_11_A,A,top_11_B,B,0.96,-18.85,-23.2338,-25.72,-17.6,-11.328,-40.618,-13.4,1.2,-0.1903,swarm_47_107.pdb
top_12_A,A,top_12_B,B,6.38,-17.04,-24.8009,-4.86,15.15,-10.883,-28.371,-10.985,-3.58,-0.0816,swarm_128_150.pdb
top_13_A,A,top_13_B,B,3.76,-12.59,-26.1658,-13.83,20.23,-17.836,2.565,-12.218,6.407,-0.1164,swarm_104_193.pdb
top_14_A,A,top_14_B,B,4.32,-15.9,-23.9474,22.17,43.65,-16.975,-25.254,-7.548,-1.955,-0.0265,swarm_100_28.pdb
