pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,6.22,-20.93,-39.647,21.52,-1.44,-8.935,-14.379,22.491,-2.83,0.203,swarm_172_129.pdb
top_2_A,A,top_2_B,B,7.44,-27.94,-44.648,-10.0,-27.39,-25.747,-66.481,-9.042,-1.134,0.2722,swarm_252_181.pdb
top_3_A,A,top_3_B,B,2.8,-21.94,-36.283,30.84,39.46,-17.106,9.812,-2.567,-5.526,-0.2263,swarm_203_81.pdb
top_4_A,A,top_4_B,B,3.88,-28.08,-45.616,69.37,56.73,-13.674,-24.387,9.228,3.269,0.4835,swarm_35_105.pdb
top_5_A,A,top_5_B,B,10.58,-26.09,-42.75,-66.77,-24.59,-8.605,-85.081,16.216,-3.638,0.1178,swarm_35_138.pdb
top_6_A,A,top_6_B,B,2.2,-19.97,-37.627,187.03,118.16,-13.513,124.122,7.941,-4.766,0.094,swarm_290_116.pdb
top_7_A,A,top_7_B,B,10.32,-25.03,-41.803,-26.44,9.77,-37.471,-84.412,-19.18,-0.413,0.1421,swarm_28_64.pdb
top_8_A,A,top_8_B,B,9.28,-26.17,-41.032,0.0400000000001,12.94,-15.311,-20.513,9.438,2.296,0.1779,swarm_252_66.pdb
top_9_A,A,top_9_B,B,7.12,-24.84,-41.634,-100.51,1.56,-18.649,-36.304,19.258,-2.443,-0.141,swarm_211_192.pdb
top_10_A,A,top_10_B,B,6.92,-27.84,-41.657,-29.83,-2.19,-33.776,-73.161,-23.764,-2.051,-0.1321,swarm_305_172.pdb
top_11_A,A,top_11_B,B,4.12,-20.66,-38.814,16.13,13.06,-16.118,-55.165,-2.508,-2.008,0.0363,swarm_172_65.pdb
top_12_A,A,top_12_B,B,6.0,-25.45,-42.29,-60.12,-40.21,-35.548,-78.072,-20.024,-2.644,0.0638,swarm_28_188.pdb
top_13_A,A,top_13_B,B,5.86,-24.87,-37.446,-55.78,-34.88,-19.326,-65.019,-4.435,1.357,0.0069,swarm_263_96.pdb
top_14_A,A,top_14_B,B,11.2,-26.32,-40.047,-43.55,-5.84,-29.27,-78.042,-1.034,-3.691,-0.0358,swarm_36_10.pdb
top_15_A,A,top_15_B,B,2.76,-17.43,-31.822,-41.75,-6.72,-24.449,-0.729,-20.477,3.051,-0.0166,swarm_35_167.pdb
top_16_A,A,top_16_B,B,15.12,-25.19,-40.857,6.07,-6.3,-4.92,-64.446,4.921,-2.394,0.5913,swarm_142_15.pdb
top_17_A,A,top_17_B,B,8.62,-20.09,-35.884,22.12,22.02,-50.086,-22.405,-19.021,-4.633,0.0123,swarm_191_180.pdb
top_18_A,A,top_18_B,B,9.42,-20.98,-34.395,35.95,36.99,-12.933,-23.36,24.07,-0.372,0.4635,swarm_263_69.pdb
top_19_A,A,top_19_B,B,7.76,-23.38,-37.019,42.62,37.97,-12.574,-31.213,0.129,-4.969,0.0563,swarm_270_1.pdb
top_20_A,A,top_20_B,B,9.28,-29.88,-45.596,18.27,14.48,-28.397,-50.165,-13.069,-2.004,-0.2337,swarm_305_80.pdb
top_21_A,A,top_21_B,B,7.58,-31.91,-44.284,-26.7,-13.89,-7.227,-70.613,-4.558,1.647,0.0215,swarm_24_130.pdb
top_22_A,A,top_22_B,B,11.48,-18.21,-33.939,42.34,32.07,-27.177,99.153,3.015,-4.328,0.0448,swarm_255_182.pdb
top_23_A,A,top_23_B,B,6.96,-21.76,-38.023,15.98,20.54,-4.845,7.617,18.095,-8.274,0.2394,swarm_337_92.pdb
top_24_A,A,top_24_B,B,3.06,-19.95,-35.044,-23.1,34.04,-8.63,57.926,12.981,-4.09,0.3486,swarm_203_68.pdb
top_25_A,A,top_25_B,B,6.62,-25.26,-38.53,-21.26,-2.01,-11.574,-45.733,6.13,-5.582,-0.2878,swarm_56_26.pdb
