pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.16,-22.36,-29.914,-25.93,-6.15,-15.704,-29.96,-12.716,0.427,-0.0474,swarm_51_116.pdb
top_2_A,A,top_2_B,B,6.6,-16.71,-25.107,-3.05,-1.38,-3.869,-53.77,1.302,-2.665,0.0093,swarm_136_7.pdb
top_3_A,A,top_3_B,B,8.18,-19.62,-26.798,-16.91,0.59,-19.198,-53.239,-4.48,-3.738,-0.118,swarm_76_77.pdb
top_4_A,A,top_4_B,B,6.02,-22.27,-28.803,-15.13,-3.97,-15.212,-60.425,-21.646,2.275,-0.088,swarm_136_6.pdb
top_5_A,A,top_5_B,B,7.86,-16.09,-23.182,-30.06,-15.72,-14.623,-40.919,-10.573,-2.935,-0.0665,swarm_21_192.pdb
top_6_A,A,top_6_B,B,11.2,-14.11,-24.26,-7.97,22.05,-6.423,-31.308,-0.417,-4.735,0.0715,swarm_11_66.pdb
top_7_A,A,top_7_B,B,5.2,-12.22,-22.026,24.54,-9.9,-15.352,-22.926,-4.18,-4.36,-0.0295,swarm_154_59.pdb
top_8_A,A,top_8_B,B,4.78,-13.35,-22.666,-14.4,6.0,-23.433,-35.263,-7.17,-5.961,0.053,swarm_21_22.pdb
top_9_A,A,top_9_B,B,3.34,-17.53,-24.863,34.44,52.26,-3.009,47.388,-3.481,-4.333,0.0309,swarm_112_75.pdb
top_10_A,A,top_10_B,B,4.88,-16.81,-26.758,-28.49,-9.51,-22.606,-43.32,-18.347,-1.971,-0.0234,swarm_17_126.pdb
top_11_A,A,top_11_B,B,1.82,-11.9,-22.6826,30.77,58.65,-17.947,8.556,4.72,-4.741,0.149,swarm_65_8.pdb
top_12_A,A,top_12_B,B,3.76,-14.16,-22.184,-22.78,10.07,-5.839,-41.48,-3.905,-0.06,0.0653,swarm_17_10.pdb
top_13_A,A,top_13_B,B,7.92,-15.25,-24.984,3.01,7.24,-17.248,-36.939,-8.594,-4.429,0.0383,swarm_16_30.pdb
top_14_A,A,top_14_B,B,3.48,4.8,-11.21,484.57,313.21,-23.412,658.491,49.072,-7.211,0.3738,swarm_136_77.pdb
top_15_A,A,top_15_B,B,0.62,-16.0,-23.234,-19.16,-1.49,-22.286,15.234,-24.281,2.815,-0.2836,swarm_147_175.pdb
top_16_A,A,top_16_B,B,3.74,-13.48,-23.26,60.49,58.44,-6.483,50.8,-2.038,-3.408,0.009,swarm_117_33.pdb
top_17_A,A,top_17_B,B,4.26,-17.12,-23.304,29.88,23.07,-18.963,-29.975,-11.025,-2.479,-0.0372,swarm_108_162.pdb
top_18_A,A,top_18_B,B,-0.68,-14.14,-21.254,-17.15,-1.33,-9.024,-15.209,-11.921,-1.428,0.0269,swarm_17_83.pdb
top_19_A,A,top_19_B,B,-2.78,-12.23,-22.617,11.29,19.71,-16.984,3.555,-16.689,1.332,0.0318,swarm_21_75.pdb
top_20_A,A,top_20_B,B,1.08,-17.11,-25.344,-19.64,-20.55,-10.923,-40.806,-12.946,0.724,0.2678,swarm_136_50.pdb
top_21_A,A,top_21_B,B,10.48,-13.67,-21.823,14.47,-15.42,-12.853,-45.224,-3.341,-2.762,-0.095,swarm_36_10.pdb
top_22_A,A,top_22_B,B,4.24,-18.32,-24.688,-46.52,-28.07,-18.675,-51.929,-19.54,-2.352,-0.0784,swarm_21_10.pdb
