pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-1.46,-32.81,-52.466,1.32,8.6,-26.774,-91.097,-11.073,1.16,-0.2267,swarm_141_16.pdb
top_2_A,A,top_2_B,B,5.6,-29.83,-48.547,-19.21,-6.25,-14.893,-41.864,-4.128,-2.668,-0.1902,swarm_181_33.pdb
top_3_A,A,top_3_B,B,7.26,-28.66,-49.32,-66.39,-24.28,-14.709,-114.991,-9.662,-0.473,0.081,swarm_82_31.pdb
top_4_A,A,top_4_B,B,4.6,-31.31,-55.876,18.4,17.48,-44.881,4.882,-26.041,-4.548,-0.1057,swarm_285_171.pdb
top_5_A,A,top_5_B,B,15.38,-31.7,-51.9,15.69,46.55,-17.261,-77.854,5.566,-7.382,0.2863,swarm_222_6.pdb
top_6_A,A,top_6_B,B,12.6,-23.7,-50.788,-33.84,-6.89,-45.003,10.625,-0.966,-10.815,-0.1814,swarm_48_53.pdb
top_7_A,A,top_7_B,B,13.0,-28.64,-46.476,-28.66,-19.85,-20.617,-80.957,-7.978,-5.394,0.0386,swarm_14_105.pdb
top_8_A,A,top_8_B,B,4.38,-25.97,-43.925,-31.85,-19.18,-3.261,-75.962,3.101,1.861,-0.0086,swarm_195_135.pdb
top_9_A,A,top_9_B,B,10.48,-30.46,-48.36,-26.38,-31.97,-18.74,-66.03,-20.422,1.554,-0.0042,swarm_125_0.pdb
top_10_A,A,top_10_B,B,5.64,-33.45,-52.988,-60.52,9.72,-11.491,-73.677,3.505,-2.707,-0.0103,swarm_143_173.pdb
top_11_A,A,top_11_B,B,1.94,-27.55,-47.456,-50.61,-29.06,-14.253,-58.026,-16.402,1.828,0.0109,swarm_14_148.pdb
top_12_A,A,top_12_B,B,4.48,-30.6,-48.32,-52.53,-8.65,-10.682,-88.408,-8.075,-1.028,-0.1288,swarm_274_55.pdb
top_13_A,A,top_13_B,B,7.48,-22.96,-43.56,-23.16,19.06,-24.073,-81.306,-16.803,0.05,0.164,swarm_247_54.pdb
top_14_A,A,top_14_B,B,1.86,-29.47,-44.421,-22.07,-4.36,-13.437,-48.379,-8.567,1.374,-0.0264,swarm_48_56.pdb
top_15_A,A,top_15_B,B,-0.52,-7.95,-32.059,183.93,135.53,-20.601,224.131,16.487,-3.068,0.109,swarm_48_76.pdb
top_16_A,A,top_16_B,B,8.64,-26.19,-43.046,-53.47,-17.25,-5.519,-83.928,-1.795,3.713,0.1525,swarm_129_14.pdb
top_17_A,A,top_17_B,B,13.52,-26.94,-43.244,-4.91,10.39,-17.594,-72.518,-4.585,-5.546,0.0016,swarm_84_95.pdb
top_18_A,A,top_18_B,B,-3.0,-30.31,-46.673,-55.67,-17.61,-20.939,-71.841,-27.178,2.685,-0.1992,swarm_84_18.pdb
top_19_A,A,top_19_B,B,4.26,-26.12,-44.449,-60.21,-20.25,-24.681,-83.85,-28.949,1.235,-0.1546,swarm_107_181.pdb
top_20_A,A,top_20_B,B,3.88,-23.84,-48.025,41.31,38.84,-20.881,-42.015,-7.718,-5.957,-0.0011,swarm_141_164.pdb
top_21_A,A,top_21_B,B,5.98,-23.58,-44.346,-33.55,-21.08,-19.847,-52.874,-4.454,-4.585,-0.1467,swarm_96_3.pdb
top_22_A,A,top_22_B,B,0.88,-25.29,-39.122,-39.65,-7.26,-17.983,-20.86,-28.321,1.173,-0.1617,swarm_135_168.pdb
top_23_A,A,top_23_B,B,11.64,-26.83,-44.542,4.7,-5.31,-14.094,-30.049,-9.771,-2.929,0.0383,swarm_195_15.pdb
top_24_A,A,top_24_B,B,0.74,-24.19,-41.644,-86.26,-37.5,-11.775,-53.113,7.611,5.012,0.1362,swarm_125_149.pdb
top_25_A,A,top_25_B,B,12.42,-26.38,-44.562,-38.55,8.94,-21.737,-95.037,2.799,-2.089,0.2206,swarm_222_124.pdb
top_26_A,A,top_26_B,B,1.32,-26.13,-39.167,-14.08,8.25,-11.729,-21.089,-28.272,2.896,-0.0977,swarm_171_104.pdb
top_27_A,A,top_27_B,B,-5.68,-27.22,-38.38,-34.11,-16.32,-11.827,-6.663,-36.775,12.867,-0.2426,swarm_181_62.pdb
top_28_A,A,top_28_B,B,-0.32,-27.77,-45.547,33.46,24.57,-11.289,-22.511,-7.999,0.177,-0.1885,swarm_250_118.pdb
top_29_A,A,top_29_B,B,6.62,-21.99,-40.435,-37.95,-7.86,-34.463,-27.014,-5.571,-0.295,-0.2677,swarm_125_51.pdb
top_30_A,A,top_30_B,B,5.66,-21.85,-38.235,-19.95,-5.32,-12.25,-78.679,-14.115,1.16,-0.1775,swarm_222_150.pdb
top_31_A,A,top_31_B,B,-3.0,-29.54,-43.978,-33.53,-1.3,-16.62,-24.956,-14.862,3.851,-0.2953,swarm_240_38.pdb
top_32_A,A,top_32_B,B,7.72,-22.7,-44.347,98.13,79.0,-17.956,32.589,1.433,-3.434,0.0781,swarm_29_147.pdb
top_33_A,A,top_33_B,B,0.06,-29.43,-47.305,-60.75,-0.88,-18.537,-48.319,-22.394,-1.434,-0.0298,swarm_80_183.pdb
top_34_A,A,top_34_B,B,5.94,-18.92,-40.095,10.03,22.86,-27.516,-13.365,-8.321,0.099,-0.0194,swarm_240_167.pdb
top_35_A,A,top_35_B,B,7.1,-18.32,-37.66,28.41,32.04,-1.055,-7.221,19.064,0.147,-0.0682,swarm_150_115.pdb
top_36_A,A,top_36_B,B,-1.86,-25.87,-39.607,26.18,31.83,-21.561,-35.124,-13.059,-1.886,-0.1699,swarm_71_189.pdb
top_37_A,A,top_37_B,B,8.92,-19.67,-42.738,42.53,34.14,-26.683,18.742,-4.293,-6.065,0.0644,swarm_195_183.pdb
top_38_A,A,top_38_B,B,-0.44,-29.3,-44.657,18.42,13.79,-13.942,6.55,-28.816,5.855,0.0252,swarm_72_15.pdb
top_39_A,A,top_39_B,B,-8.36,-29.21,-39.772,-44.63,-44.84,-12.113,-52.584,-49.46,13.204,-0.3131,swarm_237_130.pdb
top_40_A,A,top_40_B,B,5.5,-24.63,-37.614,-7.91,2.99,-22.104,-61.648,-10.985,-0.634,-0.2204,swarm_276_166.pdb
top_41_A,A,top_41_B,B,2.42,-23.1,-38.893,-70.06,-44.03,-19.325,-57.009,-5.634,3.729,-0.309,swarm_5_119.pdb
top_42_A,A,top_42_B,B,2.02,-23.85,-39.571,-42.32,-20.55,-9.243,-67.143,-5.577,0.907,-0.0734,swarm_247_20.pdb
top_43_A,A,top_43_B,B,-1.92,-23.39,-33.817,33.76,17.17,-14.662,6.435,-9.663,-1.452,-0.0073,swarm_3_96.pdb
top_44_A,A,top_44_B,B,4.76,-18.6,-35.318,-42.16,-11.13,-27.315,-70.14,-7.439,-0.235,-0.0119,swarm_31_140.pdb
top_45_A,A,top_45_B,B,-2.02,-25.76,-37.142,-36.54,-16.16,1.993,-25.785,-9.631,1.043,0.0085,swarm_74_178.pdb
top_46_A,A,top_46_B,B,5.82,-21.97,-39.825,-10.46,-9.91,-5.448,-76.63,-0.382,1.341,-0.262,swarm_129_0.pdb
top_47_A,A,top_47_B,B,-1.78,-27.68,-38.535,-1.63,28.89,-1.436,-20.704,-7.879,0.748,-0.1666,swarm_249_50.pdb
top_48_A,A,top_48_B,B,10.26,-19.13,-36.769,10.92,11.03,-7.665,-42.621,6.019,-5.455,-0.0354,swarm_56_186.pdb
top_49_A,A,top_49_B,B,7.5,-20.95,-37.87,-47.4,-33.85,-12.634,-77.489,-2.573,0.079,0.3197,swarm_129_7.pdb
top_50_A,A,top_50_B,B,8.84,-8.52,-27.106,185.25,125.02,-22.483,156.98,13.906,-7.379,0.245,swarm_240_137.pdb
top_51_A,A,top_51_B,B,15.76,-20.56,-38.76,8.61,18.61,-14.741,-74.289,28.45,-6.666,0.1568,swarm_87_162.pdb
top_52_A,A,top_52_B,B,-0.2,-18.13,-33.979,-50.95,-26.48,-10.088,-71.257,-13.943,4.238,-0.2135,swarm_107_66.pdb
top_53_A,A,top_53_B,B,1.18,-23.78,-38.018,-6.66,1.75,1.705,-61.372,1.566,1.386,-0.2652,swarm_3_147.pdb
top_54_A,A,top_54_B,B,7.96,-21.82,-39.292,-30.23,-5.44,-12.909,-86.923,-4.991,0.744,0.1451,swarm_84_47.pdb
top_55_A,A,top_55_B,B,8.32,-8.55,-26.37,10.62,24.69,-7.935,36.437,20.935,-7.022,0.1219,swarm_240_142.pdb
top_56_A,A,top_56_B,B,-7.18,-23.11,-38.757,-84.82,-32.47,-23.141,-34.124,-38.007,7.986,-0.2159,swarm_181_147.pdb
