pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.08,-32.71,-49.808,-32.23,5.08,-24.144,-60.916,-37.501,13.868,-0.0313,swarm_398_48.pdb
top_2_A,A,top_2_B,B,12.62,-21.89,-42.797,-8.15,9.5,-16.954,-75.028,18.911,-2.534,0.0393,swarm_334_192.pdb
top_3_A,A,top_3_B,B,5.92,-25.4,-39.405,-38.15,11.02,-37.651,-51.727,-28.564,-3.484,0.0225,swarm_221_51.pdb
top_4_A,A,top_4_B,B,5.64,-25.61,-40.905,-60.81,-19.11,-22.413,-73.417,-14.187,-1.996,-0.0024,swarm_32_39.pdb
top_5_A,A,top_5_B,B,8.5,-29.95,-47.997,-6.76,4.1,-44.872,-60.552,-32.464,3.633,-0.2276,swarm_41_61.pdb
top_6_A,A,top_6_B,B,8.8,-27.93,-42.82,-74.95,-18.47,-13.973,-84.931,-1.623,-0.248,-0.022,swarm_315_141.pdb
top_7_A,A,top_7_B,B,5.9,-25.97,-42.764,-48.25,-34.34,-17.695,-88.955,-8.592,3.429,0.0543,swarm_19_128.pdb
top_8_A,A,top_8_B,B,15.4,-27.41,-44.44,24.51,46.6,-8.519,-46.335,13.78,0.222,0.0847,swarm_185_114.pdb
top_9_A,A,top_9_B,B,4.12,-24.71,-38.839,-129.86,-33.06,-37.693,-64.83,-25.111,4.84,-0.2352,swarm_198_17.pdb
top_10_A,A,top_10_B,B,9.06,-25.43,-45.022,60.78,48.92,-33.354,-45.587,-4.006,-6.499,0.0963,swarm_238_191.pdb
top_11_A,A,top_11_B,B,10.36,-21.94,-38.121,-40.55,12.09,24.155,-95.833,37.937,-4.61,0.0422,swarm_402_18.pdb
top_12_A,A,top_12_B,B,6.98,-26.73,-41.045,-63.93,-19.39,-11.081,-69.537,-1.101,2.852,-0.2976,swarm_397_87.pdb
top_13_A,A,top_13_B,B,9.32,-24.78,-41.51,36.79,49.71,-12.641,-67.747,-5.654,-4.227,0.1715,swarm_133_184.pdb
top_14_A,A,top_14_B,B,1.24,-23.12,-40.621,-52.01,-22.18,-13.527,-38.984,0.161,0.709,-0.1286,swarm_208_139.pdb
top_15_A,A,top_15_B,B,8.04,-22.5,-38.347,1.5,9.43,-35.561,-45.917,-27.358,1.993,-0.0852,swarm_32_181.pdb
top_16_A,A,top_16_B,B,6.82,-26.32,-44.482,-26.01,-3.61,-32.835,-38.491,-19.31,0.416,-0.114,swarm_198_28.pdb
top_17_A,A,top_17_B,B,2.82,-27.14,-42.539,-29.87,-8.89,-14.815,-62.409,-16.162,3.555,-0.1523,swarm_16_57.pdb
top_18_A,A,top_18_B,B,7.44,-25.6,-36.677,23.56,45.64,-31.634,-23.839,-22.961,-0.862,0.0861,swarm_258_48.pdb
top_19_A,A,top_19_B,B,7.48,-15.32,-36.502,4.75,50.41,-7.638,-6.679,15.737,-1.629,0.2474,swarm_158_53.pdb
top_20_A,A,top_20_B,B,6.16,-22.54,-42.243,42.15,44.44,-18.717,-50.078,-5.609,2.144,-0.1971,swarm_369_153.pdb
top_21_A,A,top_21_B,B,10.0,-23.75,-39.231,-32.0,-1.4,-27.888,-95.129,-18.024,-1.918,-0.0785,swarm_100_25.pdb
top_22_A,A,top_22_B,B,8.46,-25.09,-41.784,11.16,30.66,-10.165,14.853,20.119,-4.586,-0.0487,swarm_45_16.pdb
top_23_A,A,top_23_B,B,6.38,-16.27,-36.18,13.49,29.7,-7.784,-23.975,16.148,-5.909,0.2326,swarm_94_29.pdb
top_24_A,A,top_24_B,B,6.24,-20.27,-38.416,28.93,45.45,-13.293,-46.992,11.781,-5.5,-0.0579,swarm_368_39.pdb
top_25_A,A,top_25_B,B,4.72,-25.54,-42.585,17.88,37.91,-34.517,5.154,-15.159,4.586,-0.1061,swarm_32_186.pdb
top_26_A,A,top_26_B,B,14.08,-28.25,-45.016,43.84,39.28,-9.008,5.453,23.354,-5.633,0.0723,swarm_394_89.pdb
top_27_A,A,top_27_B,B,-1.64,-23.25,-42.105,8.86,35.6,-31.898,9.057,-24.005,6.248,-0.0428,swarm_200_184.pdb
top_28_A,A,top_28_B,B,-2.28,-28.85,-39.647,-124.45,-58.14,-15.56,-54.025,-21.28,4.837,-0.1568,swarm_183_84.pdb
top_29_A,A,top_29_B,B,6.82,-25.72,-37.162,29.27,14.5,-11.559,-34.696,-6.323,-1.846,0.1147,swarm_134_120.pdb
top_30_A,A,top_30_B,B,5.46,-15.82,-31.796,45.54,50.89,-25.508,63.244,-4.532,-0.768,0.2597,swarm_36_146.pdb
top_31_A,A,top_31_B,B,-1.78,-21.37,-33.792,-50.66,-21.57,-14.156,-38.366,-15.554,9.7,-0.2983,swarm_128_167.pdb
top_32_A,A,top_32_B,B,2.06,-26.16,-38.601,-51.41,-32.68,-1.915,-77.108,6.581,3.857,-0.1543,swarm_343_105.pdb
top_33_A,A,top_33_B,B,10.56,-22.92,-38.391,-22.5,-2.93,-6.762,-73.661,10.375,-10.771,0.0432,swarm_11_154.pdb
top_34_A,A,top_34_B,B,5.32,-25.19,-38.356,-41.96,-16.84,-6.161,-94.714,-3.431,-3.766,0.0652,swarm_221_156.pdb
top_35_A,A,top_35_B,B,11.72,-29.04,-43.032,-33.5,2.96,-8.303,-60.399,-3.203,-2.95,0.0362,swarm_185_129.pdb
top_36_A,A,top_36_B,B,9.62,-17.68,-37.075,20.23,30.39,-31.013,-10.613,3.673,0.43,0.1471,swarm_133_18.pdb
top_37_A,A,top_37_B,B,0.52,-17.23,-31.859,3.46,31.51,-14.923,35.457,-18.102,6.284,-0.1298,swarm_365_83.pdb
top_38_A,A,top_38_B,B,4.28,-20.67,-36.986,20.17,5.92,-25.719,-39.97,-3.118,1.428,-0.0907,swarm_397_49.pdb
top_39_A,A,top_39_B,B,1.16,-20.43,-37.36,-79.64,-32.35,-13.197,-87.124,-13.421,7.213,-0.2109,swarm_94_116.pdb
top_40_A,A,top_40_B,B,3.78,-28.99,-46.309,-52.63,5.19,-32.675,-93.889,-33.86,2.134,-0.0525,swarm_37_116.pdb
top_41_A,A,top_41_B,B,9.6,-29.34,-43.432,-15.23,-0.57,-26.13,-101.253,-13.3,-3.645,-0.0009,swarm_133_32.pdb
top_42_A,A,top_42_B,B,7.5,-23.33,-42.163,-6.66,28.52,-25.053,-18.184,-0.227,-6.572,0.0301,swarm_33_6.pdb
top_43_A,A,top_43_B,B,0.8,-24.37,-37.569,-2.73,-8.74,-10.422,-43.808,-2.019,1.854,-0.0204,swarm_75_144.pdb
top_44_A,A,top_44_B,B,5.5,-18.17,-31.933,-27.7,24.92,-4.053,-19.042,10.785,-1.049,-0.1723,swarm_53_20.pdb
top_45_A,A,top_45_B,B,5.12,-15.42,-32.043,-33.18,6.14,-19.961,-12.217,-5.335,-2.982,-0.1663,swarm_130_140.pdb
top_46_A,A,top_46_B,B,8.8,-24.22,-35.984,-20.82,4.39,-2.97,-76.456,-1.774,-1.538,-0.0621,swarm_115_198.pdb
top_47_A,A,top_47_B,B,5.24,-20.0,-36.897,-33.8,2.67,-36.033,20.071,-16.514,1.874,0.0403,swarm_181_79.pdb
top_48_A,A,top_48_B,B,6.92,-20.45,-33.733,28.35,8.83,-20.055,-1.647,-14.6,0.324,0.0001,swarm_118_72.pdb
top_49_A,A,top_49_B,B,4.44,-21.26,-37.642,58.88,43.99,1.986,32.247,36.892,-2.849,0.0196,swarm_93_164.pdb
