pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-0.9,-28.37,-38.699,-18.22,-8.96,-6.412,-63.817,-8.709,0.206,-0.3236,swarm_424_113.pdb
top_2_A,A,top_2_B,B,2.6,-21.5,-34.901,-19.64,8.06,-20.662,-74.71,-24.954,0.526,-0.1182,swarm_115_119.pdb
top_3_A,A,top_3_B,B,-0.1,-17.93,-33.25,-10.91,7.27,-19.346,-24.671,-11.014,-0.758,-0.1404,swarm_483_108.pdb
top_4_A,A,top_4_B,B,5.54,-20.74,-35.555,23.54,34.8,-7.525,-36.465,3.269,-2.864,-0.0513,swarm_216_49.pdb
top_5_A,A,top_5_B,B,2.86,-18.96,-34.5947,53.91,35.2,-3.066,-13.854,4.648,-0.553,0.0736,swarm_456_184.pdb
top_6_A,A,top_6_B,B,-0.02,-18.67,-33.6173,20.64,10.09,-33.264,18.487,-17.898,-4.247,-0.1409,swarm_369_165.pdb
top_7_A,A,top_7_B,B,0.84,-20.34,-34.5803,33.71,41.81,1.717,1.436,12.731,-1.625,0.0996,swarm_498_6.pdb
top_8_A,A,top_8_B,B,-2.04,-27.64,-40.398,-22.53,6.39,-13.075,-45.169,-10.069,-1.603,-0.2122,swarm_25_169.pdb
top_9_A,A,top_9_B,B,-0.7,-22.34,-34.296,-88.47,-24.63,-30.111,-70.096,-35.253,1.559,-0.0549,swarm_379_84.pdb
top_10_A,A,top_10_B,B,1.0,-22.95,-36.948,-47.26,6.67,-5.869,-27.674,-3.077,0.109,-0.0677,swarm_113_33.pdb
top_11_A,A,top_11_B,B,-0.94,-22.16,-31.0684,17.91,24.12,-16.998,20.958,-7.489,-4.856,-0.214,swarm_437_51.pdb
top_12_A,A,top_12_B,B,9.8,-24.88,-39.904,25.34,30.63,-11.562,-17.069,20.373,-8.664,0.0129,swarm_516_53.pdb
top_13_A,A,top_13_B,B,8.12,-24.93,-34.6019,-22.68,-0.94,-22.607,-58.227,-23.572,-3.459,-0.0265,swarm_447_1.pdb
top_14_A,A,top_14_B,B,2.28,-20.26,-35.584,-65.3,11.16,-19.561,-13.104,-11.94,3.977,-0.1881,swarm_282_198.pdb
top_15_A,A,top_15_B,B,-1.96,-27.14,-41.7471,8.91,16.99,-21.714,39.96,-8.512,-5.206,0.0608,swarm_636_61.pdb
top_16_A,A,top_16_B,B,2.12,-26.07,-36.098,-45.1,-22.61,-6.785,-51.692,-3.874,-0.683,-0.0455,swarm_188_82.pdb
top_17_A,A,top_17_B,B,5.52,-22.71,-33.337,-13.6,-6.46,-18.574,-44.957,-5.202,-8.759,0.1543,swarm_343_181.pdb
top_18_A,A,top_18_B,B,4.32,-24.7,-36.8878,-2.33,5.55,-18.675,8.692,-12.206,-2.339,-0.0377,swarm_495_127.pdb
top_19_A,A,top_19_B,B,8.98,-20.9,-37.3152,28.64,14.36,-27.69,-55.552,-6.742,-6.169,-0.1959,swarm_176_38.pdb
top_20_A,A,top_20_B,B,-0.48,-21.56,-28.4995,-2.57,-12.41,1.89,-37.891,0.729,-3.6,-0.0474,swarm_369_51.pdb
top_21_A,A,top_21_B,B,-3.34,-19.5,-30.183,57.8,36.52,-2.027,17.403,7.846,-4.795,-0.0315,swarm_380_95.pdb
top_22_A,A,top_22_B,B,5.78,-22.76,-37.342,1.9,17.64,-8.044,-12.585,19.781,-6.648,-0.1621,swarm_18_171.pdb
top_23_A,A,top_23_B,B,6.24,-21.06,-30.2287,75.4,63.73,-14.398,-28.275,-11.905,-5.071,0.0092,swarm_369_160.pdb
top_24_A,A,top_24_B,B,6.22,-21.77,-30.902,16.64,18.05,-15.685,-49.53,-8.137,-5.848,-0.0061,swarm_67_159.pdb
top_25_A,A,top_25_B,B,5.92,-16.36,-32.5226,43.89,30.58,-5.224,-21.856,26.812,-5.932,-0.0394,swarm_298_194.pdb
top_26_A,A,top_26_B,B,-4.6,-15.07,-29.5524,7.44,16.26,-18.746,69.675,-1.914,-4.079,-0.0111,swarm_627_159.pdb
top_27_A,A,top_27_B,B,10.12,-12.76,-30.3439,23.21,29.22,-4.269,-6.771,9.31,-8.292,0.089,swarm_425_155.pdb
top_28_A,A,top_28_B,B,-0.62,-27.58,-40.985,19.9,14.44,-27.756,-5.056,-5.386,-4.428,-0.092,swarm_534_142.pdb
top_29_A,A,top_29_B,B,6.8,-19.37,-31.541,4.89,10.16,-12.412,-12.574,-1.537,-4.765,-0.1311,swarm_57_71.pdb
top_30_A,A,top_30_B,B,2.38,-16.93,-31.997,21.18,34.3,-1.517,-30.002,-1.493,-4.702,0.0001,swarm_194_39.pdb
top_31_A,A,top_31_B,B,5.52,-20.87,-30.7336,-5.61,-3.94,-6.635,3.077,5.183,-3.622,0.0948,swarm_254_145.pdb
top_32_A,A,top_32_B,B,10.46,-16.5,-31.772,25.48,44.95,0.79,-39.654,31.757,-7.238,0.2212,swarm_240_86.pdb
top_33_A,A,top_33_B,B,2.92,-30.31,-40.657,-20.69,1.98,-17.984,9.816,-20.176,-1.801,0.0359,swarm_636_115.pdb
top_34_A,A,top_34_B,B,11.3,-23.7,-35.067,38.37,23.66,-5.401,-40.132,1.86,-8.831,0.0812,swarm_224_19.pdb
top_35_A,A,top_35_B,B,1.2,-21.19,-32.993,-48.96,-12.31,-21.658,-66.468,-21.186,-1.951,0.0149,swarm_441_128.pdb
top_36_A,A,top_36_B,B,-0.32,-17.1,-29.6788,-29.57,12.89,-7.519,-8.675,-0.863,-6.083,0.0686,swarm_87_93.pdb
top_37_A,A,top_37_B,B,-3.24,-20.83,-29.334,-16.37,-5.0,-5.454,-46.293,-11.024,-1.346,-0.0687,swarm_43_118.pdb
top_38_A,A,top_38_B,B,7.8,-21.76,-31.188,-5.44,7.67,-19.613,-24.85,-7.373,-5.533,-0.0633,swarm_443_128.pdb
top_39_A,A,top_39_B,B,5.58,-16.86,-32.377,-7.8,-1.54,-4.98,-45.95,-3.792,-3.604,-0.167,swarm_515_41.pdb
top_40_A,A,top_40_B,B,9.7,-20.63,-38.6954,22.69,24.63,-36.923,9.708,-2.99,-9.414,0.054,swarm_131_29.pdb
top_41_A,A,top_41_B,B,3.74,-15.79,-33.7358,-0.69,0.8,-12.162,25.505,23.974,-4.825,-0.0543,swarm_109_196.pdb
top_42_A,A,top_42_B,B,1.92,-14.91,-28.238,-31.05,11.63,-9.352,-8.927,-5.315,-2.874,-0.12,swarm_194_163.pdb
top_43_A,A,top_43_B,B,2.88,-26.11,-40.882,-20.51,0.9,-31.543,-64.683,-19.364,-6.445,-0.1704,swarm_614_125.pdb
top_44_A,A,top_44_B,B,4.88,-18.72,-31.0714,-5.19,25.55,-18.452,-48.022,-9.952,-7.112,-0.0988,swarm_589_90.pdb
top_45_A,A,top_45_B,B,2.46,-14.96,-31.238,-63.24,-26.93,-28.804,-65.844,-2.898,-1.414,-0.2148,swarm_109_38.pdb
top_46_A,A,top_46_B,B,-5.78,-22.17,-29.88,-23.37,-5.31,-7.846,-44.356,-4.759,-2.847,-0.2215,swarm_90_188.pdb
top_47_A,A,top_47_B,B,11.18,-22.82,-31.866,0.38,22.73,-10.687,-30.714,-4.553,-7.012,0.0393,swarm_650_91.pdb
top_48_A,A,top_48_B,B,8.26,-21.94,-29.846,-21.25,20.08,-6.979,-57.004,-15.028,-3.434,-0.1191,swarm_424_74.pdb
top_49_A,A,top_49_B,B,8.04,-20.14,-35.267,-17.01,5.5,-19.278,-59.071,0.146,-8.025,0.21,swarm_133_4.pdb
top_50_A,A,top_50_B,B,5.66,-20.09,-30.759,14.52,12.41,-11.219,-20.198,0.726,-3.686,0.0402,swarm_578_35.pdb
top_51_A,A,top_51_B,B,-6.02,-21.03,-32.1185,20.73,40.39,-10.105,-16.599,-7.983,-0.597,-0.055,swarm_495_43.pdb
top_52_A,A,top_52_B,B,8.36,-17.78,-31.4023,-1.49,10.31,-15.384,-50.109,-2.488,-5.669,0.0028,swarm_176_123.pdb
top_53_A,A,top_53_B,B,0.88,-17.71,-28.6381,23.91,64.86,-13.112,82.754,0.24,-3.634,-0.1011,swarm_172_117.pdb
top_54_A,A,top_54_B,B,5.72,-20.37,-30.9837,42.36,49.86,-10.231,19.482,2.641,-5.664,-0.06,swarm_366_189.pdb
top_55_A,A,top_55_B,B,6.24,-9.86,-24.4997,36.36,23.82,-12.463,65.66,-0.173,-4.464,0.0012,swarm_534_144.pdb
top_56_A,A,top_56_B,B,4.6,-22.18,-33.7355,-38.64,-7.24,-1.622,-46.091,10.98,-8.178,-0.0344,swarm_118_36.pdb
top_57_A,A,top_57_B,B,-2.68,-20.53,-30.747,17.89,24.98,-4.164,13.018,1.609,-3.21,0.0132,swarm_32_137.pdb
top_58_A,A,top_58_B,B,3.06,-20.59,-31.771,-29.34,10.67,-3.25,-28.665,-11.285,-2.656,-0.0426,swarm_115_71.pdb
top_59_A,A,top_59_B,B,9.66,-20.78,-31.9297,11.24,13.6,-31.696,-15.567,-16.657,-1.26,-0.0618,swarm_301_158.pdb
top_60_A,A,top_60_B,B,-1.52,-19.87,-28.751,-36.11,-5.68,-3.951,-25.382,0.054,-4.608,-0.1753,swarm_29_92.pdb
top_61_A,A,top_61_B,B,8.1,-25.29,-33.405,2.59,12.43,-16.765,-9.505,-11.458,-6.491,-0.075,swarm_232_112.pdb
top_62_A,A,top_62_B,B,1.0,-17.38,-29.432,-38.01,-0.06,-12.338,-22.979,-11.582,-0.92,-0.2223,swarm_277_8.pdb
top_63_A,A,top_63_B,B,2.3,-16.71,-29.537,40.65,33.51,-13.756,-13.794,3.576,-6.252,-0.0477,swarm_584_176.pdb
top_64_A,A,top_64_B,B,-2.64,-16.85,-25.194,5.89,10.0,-8.203,-12.683,-12.631,1.348,-0.0633,swarm_387_11.pdb
top_65_A,A,top_65_B,B,5.0,-14.26,-27.904,47.62,63.8,-10.208,63.125,6.267,-5.536,0.1184,swarm_374_137.pdb
top_66_A,A,top_66_B,B,0.62,-13.68,-27.17,10.18,4.68,-12.532,-11.343,-9.462,0.139,-0.0537,swarm_405_75.pdb
top_67_A,A,top_67_B,B,3.86,-20.31,-30.724,46.54,49.01,6.789,7.326,23.883,-4.109,0.0984,swarm_137_37.pdb
top_68_A,A,top_68_B,B,2.62,-20.23,-31.533,-43.39,-12.85,-21.426,18.971,-5.928,-2.985,-0.1099,swarm_279_120.pdb
top_69_A,A,top_69_B,B,10.66,-17.78,-37.4442,-11.59,-2.55,-27.894,-57.739,4.474,-7.91,-0.0209,swarm_650_70.pdb
top_70_A,A,top_70_B,B,6.96,-18.15,-31.789,5.86,25.72,-13.877,-36.572,-6.16,-6.996,0.0057,swarm_515_89.pdb
top_71_A,A,top_71_B,B,2.62,-27.64,-38.45,24.02,28.49,-12.262,61.59,8.991,-0.371,-0.0195,swarm_379_138.pdb
top_72_A,A,top_72_B,B,8.14,-18.97,-28.867,15.06,12.56,-23.886,-40.422,-13.507,-4.997,0.0381,swarm_63_155.pdb
top_73_A,A,top_73_B,B,3.64,-16.59,-31.7546,35.94,29.74,-13.632,29.916,13.497,-4.431,-0.0362,swarm_347_87.pdb
top_74_A,A,top_74_B,B,3.68,-23.0,-32.61,20.01,24.4,-8.537,18.429,1.945,0.101,0.0286,swarm_494_136.pdb
top_75_A,A,top_75_B,B,0.3,-19.22,-30.0928,-40.42,-16.17,-8.597,-41.925,-1.4,0.323,-0.0634,swarm_210_102.pdb
top_76_A,A,top_76_B,B,9.72,-17.24,-28.111,77.28,43.69,-22.025,7.515,-9.049,-5.705,0.1628,swarm_256_163.pdb
top_77_A,A,top_77_B,B,11.48,-15.14,-28.823,60.89,59.59,-11.118,-16.475,12.208,-8.622,0.1023,swarm_588_150.pdb
top_78_A,A,top_78_B,B,4.16,-17.76,-29.1227,-2.62,14.48,-8.222,-13.449,-4.646,-4.406,-0.0537,swarm_647_185.pdb
top_79_A,A,top_79_B,B,9.54,-18.04,-31.677,-36.03,6.14,-31.926,-49.653,-15.921,-7.584,-0.1185,swarm_326_146.pdb
top_80_A,A,top_80_B,B,4.08,-16.35,-27.87,-15.84,19.0,-2.932,-33.201,6.278,-3.48,0.0439,swarm_390_170.pdb
top_81_A,A,top_81_B,B,1.04,-16.39,-27.846,-30.29,-16.91,-11.126,-56.145,-9.595,-0.956,-0.199,swarm_171_60.pdb
top_82_A,A,top_82_B,B,1.82,-17.52,-30.501,-82.62,-20.59,1.466,-65.033,12.13,-2.007,0.0942,swarm_176_104.pdb
