pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-1.02,-19.84,-38.514,97.05,96.82,-26.426,161.678,-17.634,2.051,-0.2097,swarm_145_188.pdb
top_2_A,A,top_2_B,B,16.88,-20.87,-45.689,21.14,32.88,-17.59,-83.688,22.411,-15.038,0.1768,swarm_289_178.pdb
top_3_A,A,top_3_B,B,7.0,-23.89,-41.565,63.72,54.26,-9.431,47.936,11.318,-6.339,0.0359,swarm_70_31.pdb
top_4_A,A,top_4_B,B,8.88,-21.09,-48.002,-20.88,16.08,-25.47,-64.616,18.358,-5.28,0.0233,swarm_29_117.pdb
top_5_A,A,top_5_B,B,9.14,-25.4,-45.556,-21.49,17.76,-12.922,-51.851,14.568,-8.146,0.1083,swarm_235_62.pdb
top_6_A,A,top_6_B,B,7.46,-27.96,-41.684,23.87,22.34,-8.306,-30.071,5.514,-3.212,-0.1512,swarm_202_182.pdb
top_7_A,A,top_7_B,B,2.2,-22.8,-38.576,48.22,41.46,-0.497,-50.691,10.403,-3.82,0.129,swarm_111_3.pdb
top_8_A,A,top_8_B,B,5.94,-22.77,-39.258,-36.37,-5.73,-18.865,-43.927,-3.938,-5.071,0.0632,swarm_264_33.pdb
top_9_A,A,top_9_B,B,6.46,-29.71,-46.059,-70.24,-27.27,-16.324,-63.312,-13.745,2.969,-0.1192,swarm_73_25.pdb
top_10_A,A,top_10_B,B,4.88,-18.62,-36.412,-62.37,-22.83,-5.163,-68.226,20.528,-5.854,0.0257,swarm_234_92.pdb
top_11_A,A,top_11_B,B,18.06,-19.05,-39.05,42.27,74.39,-17.872,-74.107,11.71,-8.608,0.2311,swarm_127_74.pdb
top_12_A,A,top_12_B,B,10.7,-28.95,-44.969,-65.49,-0.49,-15.285,-80.176,-3.038,-8.163,0.0917,swarm_229_175.pdb
top_13_A,A,top_13_B,B,-0.06,-23.61,-37.235,-39.9,-33.75,-2.238,-64.713,3.27,3.126,-0.1122,swarm_1_5.pdb
top_14_A,A,top_14_B,B,4.86,-16.39,-35.727,8.34,29.31,-8.303,-17.646,40.033,-7.099,-0.1191,swarm_87_165.pdb
top_15_A,A,top_15_B,B,2.56,-17.35,-33.884,12.66,38.05,-6.282,17.458,4.448,2.544,-0.0559,swarm_42_36.pdb
top_16_A,A,top_16_B,B,2.22,-19.89,-40.495,-16.07,6.62,-32.063,-33.638,0.614,-6.711,-0.0379,swarm_35_139.pdb
top_17_A,A,top_17_B,B,1.84,-20.89,-37.737,-5.98,1.23,-4.286,-50.221,14.789,-5.163,-0.0405,swarm_29_163.pdb
top_18_A,A,top_18_B,B,10.24,-22.18,-37.697,10.84,28.3,-28.213,-15.812,-9.082,0.8,-0.0231,swarm_165_138.pdb
top_19_A,A,top_19_B,B,6.22,-18.49,-35.742,42.07,42.57,-7.535,-21.22,8.372,-5.626,0.0485,swarm_111_108.pdb
top_20_A,A,top_20_B,B,8.98,-18.47,-36.598,-21.48,7.09,-13.997,-20.23,15.063,-3.327,0.0629,swarm_49_6.pdb
top_21_A,A,top_21_B,B,10.38,-19.06,-35.447,-22.28,-6.31,-22.207,-64.641,17.405,-8.573,0.1594,swarm_362_49.pdb
top_22_A,A,top_22_B,B,5.58,-20.53,-41.383,16.64,38.6,-9.99,14.035,16.774,-5.661,-0.0507,swarm_370_144.pdb
top_23_A,A,top_23_B,B,11.96,-16.61,-37.515,8.98,12.7,-24.439,-71.926,16.374,-10.23,0.0052,swarm_145_152.pdb
top_24_A,A,top_24_B,B,-1.94,-31.48,-43.469,-3.72,-21.19,-7.013,-22.134,2.375,6.444,-0.0329,swarm_350_181.pdb
top_25_A,A,top_25_B,B,9.62,-16.39,-33.111,-9.23,12.03,-17.788,-79.034,9.575,-8.213,0.0666,swarm_38_14.pdb
top_26_A,A,top_26_B,B,15.18,-20.92,-39.702,-15.56,24.24,-22.622,-65.698,5.182,-5.892,-0.0628,swarm_49_126.pdb
top_27_A,A,top_27_B,B,-2.66,-24.37,-32.554,-75.14,-26.78,-12.373,-70.87,-25.121,9.163,-0.1942,swarm_370_140.pdb
top_28_A,A,top_28_B,B,9.76,-16.83,-34.812,-20.08,11.6,-14.905,-56.42,12.088,-8.477,-0.2355,swarm_118_97.pdb
top_29_A,A,top_29_B,B,14.32,-17.06,-35.074,11.75,26.24,-22.536,-64.424,1.224,-15.066,0.1018,swarm_254_8.pdb
top_30_A,A,top_30_B,B,11.4,-16.93,-33.598,39.99,55.75,-7.622,-62.14,24.958,-8.339,0.1058,swarm_335_20.pdb
top_31_A,A,top_31_B,B,11.7,-23.35,-42.227,-53.31,-8.65,-14.939,-80.605,14.821,-5.416,-0.1586,swarm_318_128.pdb
top_32_A,A,top_32_B,B,7.96,-20.28,-33.602,7.87,-1.7,-3.037,-50.182,12.943,-5.78,-0.109,swarm_19_163.pdb
top_33_A,A,top_33_B,B,2.66,-20.31,-37.879,-56.19,-8.52,-29.082,-67.663,-11.349,-0.504,-0.058,swarm_42_162.pdb
top_34_A,A,top_34_B,B,8.58,-15.81,-30.954,29.73,39.58,3.266,-65.266,21.478,-6.307,0.022,swarm_18_176.pdb
top_35_A,A,top_35_B,B,9.7,-20.93,-31.669,-37.09,4.79,-7.143,-80.941,-2.366,-6.844,0.1077,swarm_18_96.pdb
top_36_A,A,top_36_B,B,11.62,-22.13,-38.87,-9.64,10.47,-23.341,-77.417,-7.254,-9.235,-0.0463,swarm_25_187.pdb
top_37_A,A,top_37_B,B,3.6,-22.03,-36.894,-59.9,-11.34,-17.652,-73.038,-1.96,-4.622,-0.0012,swarm_111_32.pdb
top_38_A,A,top_38_B,B,2.56,-17.72,-33.882,5.33,31.78,-21.824,-18.456,6.544,-3.721,-0.0116,swarm_60_150.pdb
top_39_A,A,top_39_B,B,9.56,-18.71,-39.324,40.07,53.01,-7.447,-5.166,16.922,-9.403,0.0709,swarm_310_75.pdb
top_40_A,A,top_40_B,B,13.12,-23.02,-38.132,-52.16,-15.39,-21.815,-81.902,2.001,-9.699,-0.0824,swarm_327_131.pdb
top_41_A,A,top_41_B,B,6.8,-16.72,-34.294,-15.55,-6.36,-0.778,-40.787,14.276,-5.135,0.1868,swarm_190_81.pdb
top_42_A,A,top_42_B,B,0.3,-21.22,-32.388,-76.74,-29.51,-5.323,-48.369,-22.25,5.647,-0.1361,swarm_118_107.pdb
top_43_A,A,top_43_B,B,6.18,-19.62,-31.072,-7.6,15.31,-9.732,-39.759,7.899,-1.681,0.0103,swarm_363_164.pdb
top_44_A,A,top_44_B,B,8.82,-13.97,-33.491,-27.87,5.73,-20.253,-76.77,5.068,-8.361,0.1835,swarm_40_152.pdb
top_45_A,A,top_45_B,B,0.6,-23.03,-42.565,60.79,62.72,-20.751,90.688,11.458,-1.825,0.0827,swarm_152_65.pdb
top_46_A,A,top_46_B,B,14.88,-17.63,-37.542,-21.56,16.42,-18.287,-59.409,-0.245,-4.874,-0.0303,swarm_334_0.pdb
