pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-0.56,-20.46,-29.9281,-81.4,-35.77,-44.81,-46.361,-25.267,1.661,-0.2399,swarm_238_55.pdb
top_2_A,A,top_2_B,B,3.98,-20.45,-28.6191,-16.67,-10.21,1.351,-45.468,-11.226,0.864,-0.0877,swarm_116_89.pdb
top_3_A,A,top_3_B,B,2.84,-12.94,-28.4341,31.99,36.27,8.866,-42.958,10.46,-0.24,0.2381,swarm_131_7.pdb
top_4_A,A,top_4_B,B,3.94,-14.85,-27.763,5.43,10.43,9.24,-20.721,21.387,0.603,0.0239,swarm_92_181.pdb
top_5_A,A,top_5_B,B,9.34,-13.16,-33.6877,-22.17,24.94,-24.691,-20.731,12.323,-5.846,0.5182,swarm_83_37.pdb
top_6_A,A,top_6_B,B,6.06,-15.19,-27.9292,-16.48,-3.62,-26.141,-60.17,-16.822,-3.271,-0.1266,swarm_148_184.pdb
top_7_A,A,top_7_B,B,-2.44,-19.63,-30.007,-47.1,-21.37,-19.94,-67.232,-5.233,0.778,-0.1927,swarm_219_3.pdb
top_8_A,A,top_8_B,B,-0.44,-20.18,-27.6151,-1.68,-6.21,-11.336,-33.013,-0.174,1.102,-0.0174,swarm_39_173.pdb
top_9_A,A,top_9_B,B,5.44,-17.87,-28.9887,-62.73,-26.32,7.909,-41.546,0.636,-0.795,0.0057,swarm_73_25.pdb
top_10_A,A,top_10_B,B,5.42,-14.61,-27.8247,-26.1,-4.73,-35.923,-67.94,-8.238,-3.292,0.0061,swarm_171_91.pdb
top_11_A,A,top_11_B,B,9.72,-16.45,-31.9209,27.47,15.61,-33.549,-53.989,-6.74,-6.863,0.0094,swarm_201_18.pdb
top_12_A,A,top_12_B,B,6.88,-11.36,-23.8717,16.16,17.53,-30.194,-2.722,-6.449,-5.303,-0.0069,swarm_83_79.pdb
top_13_A,A,top_13_B,B,6.6,-11.56,-29.1215,37.91,17.68,-29.168,-13.712,-9.57,-4.07,-0.1957,swarm_212_167.pdb
top_14_A,A,top_14_B,B,3.48,-18.31,-26.1498,47.14,56.63,17.802,3.241,8.263,1.614,0.0089,swarm_168_185.pdb
top_15_A,A,top_15_B,B,5.12,-13.14,-31.0521,23.42,13.59,-21.144,-43.441,8.868,-4.97,-0.1396,swarm_238_164.pdb
top_16_A,A,top_16_B,B,3.86,-14.79,-29.9443,-54.34,-25.11,-29.893,-69.893,-13.755,-1.929,0.0205,swarm_114_21.pdb
