pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.2,-10.92,-31.777,84.99,89.38,-12.212,124.488,21.604,-0.483,-0.1651,swarm_54_28.pdb
top_2_A,A,top_2_B,B,14.32,-26.86,-47.813,87.48,89.2,-4.848,-33.766,15.806,-7.21,0.0822,swarm_185_67.pdb
top_3_A,A,top_3_B,B,10.02,-24.49,-41.305,24.98,16.39,-15.286,-71.678,13.523,-4.221,0.1109,swarm_165_176.pdb
top_4_A,A,top_4_B,B,11.88,-22.54,-41.306,3.27,15.96,-26.592,-37.419,-0.946,-3.685,0.0322,swarm_229_141.pdb
top_5_A,A,top_5_B,B,4.64,-24.53,-43.014,-35.05,-4.78,-25.118,-68.498,-6.317,0.498,-0.1169,swarm_260_149.pdb
top_6_A,A,top_6_B,B,7.98,-20.47,-38.323,29.58,23.53,-13.719,-40.713,14.786,-3.931,0.0473,swarm_96_154.pdb
top_7_A,A,top_7_B,B,8.92,-26.38,-42.97,-27.84,6.07,-30.173,12.316,-2.787,-3.032,-0.0679,swarm_10_69.pdb
top_8_A,A,top_8_B,B,8.52,-17.84,-35.044,-58.81,-22.65,0.575,-80.316,23.039,-7.459,0.2058,swarm_189_39.pdb
top_9_A,A,top_9_B,B,4.18,-15.46,-36.902,24.91,25.63,-12.963,-20.432,10.689,-4.104,-0.3128,swarm_37_90.pdb
top_10_A,A,top_10_B,B,5.4,-21.62,-40.166,-34.28,-13.68,-26.066,-19.798,-3.109,1.169,0.0752,swarm_286_74.pdb
top_11_A,A,top_11_B,B,11.38,-20.86,-37.756,11.54,9.77,-21.467,-35.032,14.125,0.38,0.2207,swarm_253_98.pdb
top_12_A,A,top_12_B,B,9.48,-23.37,-38.742,-2.37,-4.07,-11.485,-69.257,3.127,-6.686,0.2702,swarm_63_159.pdb
top_13_A,A,top_13_B,B,2.78,-27.44,-43.768,8.3,13.96,-11.378,-37.331,3.819,-3.684,-0.0551,swarm_166_112.pdb
top_14_A,A,top_14_B,B,3.66,-20.88,-36.821,-32.79,-0.79,-17.037,-38.295,-12.007,0.44,-0.2535,swarm_123_43.pdb
top_15_A,A,top_15_B,B,17.02,-16.4,-37.818,-17.03,48.47,-14.087,64.69,32.955,-9.186,0.2516,swarm_320_138.pdb
top_16_A,A,top_16_B,B,13.98,-38.47,-60.755,-14.07,5.47,-18.861,-103.796,-5.232,-3.515,0.1831,swarm_314_147.pdb
top_17_A,A,top_17_B,B,2.8,-22.69,-41.427,-52.72,-7.03,-17.1,-7.009,-0.619,-1.347,0.1447,swarm_209_57.pdb
top_18_A,A,top_18_B,B,1.34,-24.09,-36.982,-0.19,26.39,-2.871,-38.678,10.285,-1.35,0.0076,swarm_91_187.pdb
top_19_A,A,top_19_B,B,21.58,-25.9,-45.755,-7.1,33.02,-22.418,-16.669,10.13,-9.805,0.0057,swarm_256_9.pdb
top_20_A,A,top_20_B,B,10.12,-21.35,-36.02,6.37,8.12,-4.396,-71.805,6.711,-5.813,0.1534,swarm_176_111.pdb
top_21_A,A,top_21_B,B,3.24,-23.89,-44.179,-21.46,4.25,-12.673,-61.178,11.667,-2.18,-0.0225,swarm_156_165.pdb
top_22_A,A,top_22_B,B,12.42,-23.86,-38.079,-17.21,0.26,-14.796,-86.383,-3.691,-5.765,0.0797,swarm_290_177.pdb
top_23_A,A,top_23_B,B,10.0,-16.17,-36.385,7.47,11.58,-3.174,-51.472,13.104,-2.16,-0.2328,swarm_138_97.pdb
top_24_A,A,top_24_B,B,8.98,-19.87,-38.035,-8.19,8.64,-16.85,-30.844,4.695,0.098,0.047,swarm_169_181.pdb
top_25_A,A,top_25_B,B,3.32,-24.56,-36.796,-61.78,-37.99,-11.042,-82.63,-12.278,-3.105,-0.166,swarm_159_157.pdb
top_26_A,A,top_26_B,B,0.98,-21.8,-37.139,-68.67,-5.85,-19.114,-42.924,-14.244,0.966,-0.2271,swarm_275_111.pdb
top_27_A,A,top_27_B,B,9.18,-17.07,-37.875,99.96,62.33,-11.739,146.958,29.775,-1.616,-0.0535,swarm_4_91.pdb
top_28_A,A,top_28_B,B,9.84,-18.89,-31.694,49.66,39.2,-1.771,42.861,11.065,0.371,-0.0969,swarm_197_65.pdb
top_29_A,A,top_29_B,B,7.8,-17.45,-39.794,79.18,87.21,-7.581,16.774,14.218,0.903,0.2318,swarm_229_84.pdb
top_30_A,A,top_30_B,B,11.98,-16.55,-35.6,61.64,46.11,-16.778,5.83,5.705,-3.124,0.0219,swarm_4_4.pdb
top_31_A,A,top_31_B,B,3.86,-20.54,-36.908,30.03,31.29,-16.0,-11.252,-2.555,-2.147,-0.1925,swarm_267_8.pdb
