pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.92,-21.51,-30.438,-59.31,-15.85,-20.022,-28.702,-20.817,-3.465,-0.2287,swarm_17_144.pdb
top_2_A,A,top_2_B,B,-0.86,-21.44,-29.048,-5.87,18.95,-12.109,55.075,-3.699,-3.627,-0.0196,swarm_94_22.pdb
top_3_A,A,top_3_B,B,1.72,-18.18,-29.203,-0.26,0.75,-22.972,-25.887,-10.089,-3.087,0.0433,swarm_91_195.pdb
top_4_A,A,top_4_B,B,6.9,-19.06,-27.694,-55.83,-22.83,1.517,-40.598,11.337,-5.395,-0.0478,swarm_128_35.pdb
top_5_A,A,top_5_B,B,3.48,-18.25,-24.933,-31.13,-4.56,-15.484,-25.64,-14.509,-2.753,0.0277,swarm_115_3.pdb
top_6_A,A,top_6_B,B,3.68,-17.59,-27.202,-42.53,-8.65,-4.788,-49.714,-4.15,0.263,-0.1838,swarm_16_144.pdb
top_7_A,A,top_7_B,B,-0.54,-19.36,-28.875,-65.05,-27.47,-13.824,-48.01,-12.523,-3.921,-0.0751,swarm_91_125.pdb
top_8_A,A,top_8_B,B,-1.66,-21.63,-29.445,-30.81,-11.24,-16.183,-44.175,-20.504,-2.416,-0.3122,swarm_4_94.pdb
top_9_A,A,top_9_B,B,5.9,-18.19,-28.676,27.3,24.41,-15.395,-43.656,-6.5,-9.423,0.08,swarm_98_109.pdb
top_10_A,A,top_10_B,B,-0.8,-15.91,-26.673,-8.98,16.07,-17.805,-11.765,-5.121,-4.854,-0.0236,swarm_124_70.pdb
top_11_A,A,top_11_B,B,5.68,-19.12,-26.662,-4.53,13.44,-4.749,-47.993,-4.05,-8.092,0.1387,swarm_45_125.pdb
top_12_A,A,top_12_B,B,4.62,-19.3,-29.132,-33.79,-8.17,-18.924,-58.52,-14.935,-5.122,-0.2209,swarm_169_92.pdb
top_13_A,A,top_13_B,B,0.96,-15.28,-25.656,-69.67,-16.84,-5.187,-10.066,5.606,-2.815,-0.1337,swarm_123_56.pdb
top_14_A,A,top_14_B,B,11.2,-16.15,-25.858,6.34,40.47,6.436,-40.076,30.699,-6.65,0.0504,swarm_132_49.pdb
top_15_A,A,top_15_B,B,6.56,-17.45,-27.49,-5.39,6.56,-5.671,-2.202,-9.716,-4.305,0.0447,swarm_110_105.pdb
top_16_A,A,top_16_B,B,1.42,-14.09,-22.82,-80.35,-28.83,-11.328,-26.16,-0.469,-2.974,-0.0856,swarm_155_124.pdb
top_17_A,A,top_17_B,B,-1.4,-18.88,-25.448,-26.1,-12.59,-12.19,-7.701,-5.082,-0.961,-0.1784,swarm_183_49.pdb
top_18_A,A,top_18_B,B,6.8,-18.83,-27.895,-28.05,1.45,-8.34,-26.969,1.787,-4.886,-0.2469,swarm_112_137.pdb
top_19_A,A,top_19_B,B,-0.3,-17.06,-22.456,-19.2,10.44,-14.636,-12.296,-8.958,0.109,-0.153,swarm_14_6.pdb
top_20_A,A,top_20_B,B,0.36,-16.01,-25.282,-24.62,-6.85,1.847,-26.052,3.788,-6.278,-0.0032,swarm_126_164.pdb
top_21_A,A,top_21_B,B,-0.26,-19.22,-27.117,-46.79,-1.69,-11.964,-35.854,-10.659,-1.769,0.121,swarm_110_37.pdb
top_22_A,A,top_22_B,B,3.04,-20.91,-28.143,-10.79,-19.41,-15.125,-32.27,-18.372,-4.368,-0.2383,swarm_124_82.pdb
top_23_A,A,top_23_B,B,0.98,-17.26,-24.875,-34.89,-5.23,-15.776,-20.5,-13.704,-1.234,-0.2238,swarm_120_97.pdb
