pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.96,-26.44,-49.352,-32.65,5.71,-13.189,-58.61,4.078,1.055,-0.2609,swarm_199_15.pdb
top_2_A,A,top_2_B,B,3.2,-33.71,-50.542,-3.25,0.18,-19.411,-41.565,-0.833,-0.69,-0.2207,swarm_29_3.pdb
top_3_A,A,top_3_B,B,2.14,-28.8,-43.854,-53.22,-25.42,-8.651,-19.323,3.83,-2.184,-0.1158,swarm_47_60.pdb
top_4_A,A,top_4_B,B,2.06,-31.4,-48.008,-7.58,16.43,-14.38,14.595,0.123,-8.403,-0.0732,swarm_29_74.pdb
top_5_A,A,top_5_B,B,5.22,-30.22,-45.698,10.37,-1.94,-40.733,-31.668,-28.057,-3.024,-0.2045,swarm_247_132.pdb
top_6_A,A,top_6_B,B,1.32,-29.7,-42.026,-48.86,-3.86,-10.95,-35.905,-12.833,2.724,-0.2156,swarm_209_110.pdb
top_7_A,A,top_7_B,B,11.94,-19.36,-38.336,80.98,110.05,5.209,53.315,36.008,-5.919,0.3823,swarm_239_105.pdb
top_8_A,A,top_8_B,B,4.84,-35.73,-53.949,-64.59,-31.03,-17.635,-65.204,-4.443,-0.35,-0.2355,swarm_239_115.pdb
top_9_A,A,top_9_B,B,11.54,-31.21,-49.371,-1.28,12.84,16.609,-10.643,43.189,-5.914,0.1681,swarm_163_138.pdb
top_10_A,A,top_10_B,B,14.0,-0.39,-30.878,644.5,412.79,-33.115,778.976,80.881,-16.981,0.6076,swarm_239_16.pdb
top_11_A,A,top_11_B,B,12.12,-32.29,-49.526,59.68,48.28,-1.504,-8.382,24.92,-2.977,-0.0689,swarm_199_43.pdb
top_12_A,A,top_12_B,B,6.96,-34.83,-44.599,30.17,49.55,-20.053,-46.206,-0.588,-6.774,-0.1164,swarm_219_111.pdb
top_13_A,A,top_13_B,B,1.2,-26.39,-42.837,16.13,9.84,-12.678,15.776,14.872,-4.633,-0.2331,swarm_163_45.pdb
top_14_A,A,top_14_B,B,19.7,-28.37,-48.711,82.31,68.61,5.337,-4.091,48.435,-10.476,0.0408,swarm_29_103.pdb
top_15_A,A,top_15_B,B,8.36,-25.69,-40.587,-12.9,-18.12,-19.095,-67.969,2.779,0.506,-0.0779,swarm_43_70.pdb
top_16_A,A,top_16_B,B,6.98,-27.4,-42.732,-24.96,-1.51,-38.794,17.832,-15.125,-2.538,-0.1075,swarm_171_145.pdb
top_17_A,A,top_17_B,B,3.82,-28.18,-42.069,-27.58,-13.9,-7.056,-62.858,1.442,0.555,-0.1858,swarm_217_168.pdb
top_18_A,A,top_18_B,B,10.84,-21.84,-37.738,4.4,8.76,-20.083,-6.848,-0.378,-5.63,-0.2222,swarm_17_104.pdb
top_19_A,A,top_19_B,B,2.74,-26.89,-44.99,-43.47,-18.24,-7.735,-65.886,4.426,-1.262,-0.1629,swarm_163_24.pdb
top_20_A,A,top_20_B,B,1.3,-24.12,-38.406,30.3,25.11,-24.378,53.539,-2.753,-2.621,-0.0701,swarm_32_95.pdb
top_21_A,A,top_21_B,B,7.86,-24.44,-39.467,-4.14,12.64,-16.197,-35.26,-1.056,-1.325,0.0914,swarm_133_151.pdb
top_22_A,A,top_22_B,B,3.6,-31.13,-54.129,4.96,36.72,-24.456,-14.571,1.022,-6.933,-0.5331,swarm_240_186.pdb
top_23_A,A,top_23_B,B,5.3,-28.15,-42.183,6.83,13.45,-7.758,-5.584,5.958,-3.2,-0.1153,swarm_20_192.pdb
top_24_A,A,top_24_B,B,10.38,-26.4,-44.747,-4.65,1.19,-8.203,-46.947,14.55,-7.109,-0.4676,swarm_68_191.pdb
top_25_A,A,top_25_B,B,11.64,-23.06,-41.02,11.95,-3.24,3.254,-69.813,36.61,-4.802,0.223,swarm_209_160.pdb
top_26_A,A,top_26_B,B,-0.28,-28.43,-38.656,-45.39,-12.58,-5.185,-47.642,0.491,1.137,-0.204,swarm_209_64.pdb
top_27_A,A,top_27_B,B,8.06,-21.07,-36.738,69.56,13.75,-7.48,9.037,28.27,-2.012,0.1711,swarm_239_167.pdb
top_28_A,A,top_28_B,B,10.04,-28.27,-43.359,-45.88,23.92,-16.977,-19.567,-0.126,-5.657,-0.0821,swarm_115_4.pdb
top_29_A,A,top_29_B,B,9.02,-17.3,-36.343,107.98,55.63,-13.324,15.128,15.237,-3.782,-0.0489,swarm_140_105.pdb
top_30_A,A,top_30_B,B,7.24,-24.84,-41.309,-19.85,-8.71,7.56,-82.617,24.716,-1.638,-0.0307,swarm_140_185.pdb
top_31_A,A,top_31_B,B,14.78,-22.38,-37.828,76.45,93.72,4.087,53.597,31.576,-10.496,0.0737,swarm_151_52.pdb
top_32_A,A,top_32_B,B,5.58,-19.79,-36.837,4.25,35.14,-9.497,-33.244,20.204,-6.622,-0.1802,swarm_66_192.pdb
top_33_A,A,top_33_B,B,7.44,-20.77,-35.297,-67.54,-19.14,-13.877,-68.167,5.398,-5.925,-0.1499,swarm_219_172.pdb
