pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.88,-27.64,-44.412,67.05,82.63,-9.995,29.56,7.896,-3.631,0.0286,swarm_239_69.pdb
top_2_A,A,top_2_B,B,14.44,-21.72,-43.499,86.07,69.0,-14.245,-9.002,27.476,-8.001,0.084,swarm_239_29.pdb
top_3_A,A,top_3_B,B,5.4,-25.1,-37.516,-21.56,-11.18,-15.833,-59.338,-10.921,-0.83,0.0108,swarm_279_27.pdb
top_4_A,A,top_4_B,B,7.22,-22.26,-39.492,-19.09,-8.22,-4.052,-22.738,6.803,-1.988,-0.067,swarm_227_16.pdb
top_5_A,A,top_5_B,B,6.68,-23.01,-34.663,-11.04,32.28,-8.784,-17.222,-14.308,-0.914,-0.1265,swarm_279_90.pdb
top_6_A,A,top_6_B,B,5.66,-16.33,-33.051,63.14,85.64,0.737,92.117,22.023,0.799,0.2424,swarm_33_23.pdb
top_7_A,A,top_7_B,B,10.88,-24.98,-41.769,-33.5,-4.7,-10.026,-76.288,5.193,-4.269,-0.0831,swarm_33_68.pdb
top_8_A,A,top_8_B,B,9.56,-26.07,-40.681,-27.35,5.61,-9.719,-68.344,3.281,-8.87,-0.1563,swarm_73_134.pdb
top_9_A,A,top_9_B,B,14.06,-21.98,-34.222,54.0,38.62,-5.697,-50.751,19.493,-9.522,0.0064,swarm_192_93.pdb
top_10_A,A,top_10_B,B,12.78,-24.84,-43.112,-25.97,-4.67,-18.023,-23.151,12.643,-2.686,0.0849,swarm_239_30.pdb
top_11_A,A,top_11_B,B,3.78,-23.36,-35.282,-8.07,-1.71,-3.854,-64.569,-9.306,-0.73,-0.09,swarm_103_47.pdb
top_12_A,A,top_12_B,B,12.6,-19.35,-33.227,61.68,36.54,1.309,-21.742,18.413,-5.518,-0.0049,swarm_243_67.pdb
top_13_A,A,top_13_B,B,1.64,-13.11,-31.863,163.24,121.74,-4.868,171.348,12.598,-1.56,0.1166,swarm_239_180.pdb
top_14_A,A,top_14_B,B,7.98,-17.44,-35.015,54.78,24.42,0.181,17.714,41.192,-3.834,-0.0146,swarm_227_178.pdb
top_15_A,A,top_15_B,B,3.86,-21.98,-34.277,-24.13,-3.56,-7.285,-45.737,-3.049,-1.803,-0.1799,swarm_227_179.pdb
top_16_A,A,top_16_B,B,6.42,-18.34,-32.341,30.63,22.73,0.094,-56.918,20.738,-3.153,0.0466,swarm_87_116.pdb
top_17_A,A,top_17_B,B,4.1,-18.24,-33.197,-75.74,-8.24,-3.774,-40.901,22.044,-5.053,0.093,swarm_264_181.pdb
top_18_A,A,top_18_B,B,1.0,-4.81,-23.49,246.0,170.83,3.066,330.06,57.69,-8.355,0.48,swarm_227_195.pdb
top_19_A,A,top_19_B,B,-5.36,-22.46,-29.141,-46.46,-27.51,0.03,-15.725,-13.42,11.648,-0.2034,swarm_174_86.pdb
top_20_A,A,top_20_B,B,6.04,-16.8,-33.483,49.55,45.37,-8.394,-30.389,19.11,-13.082,0.0459,swarm_227_5.pdb
