pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,4.84,-19.2,-29.756,18.56,18.29,16.69,7.127,37.355,-7.558,0.065,swarm_204_128.pdb
top_2_A,A,top_2_B,B,-1.56,-26.67,-28.508,-37.17,-15.75,-31.039,-40.313,-35.093,-1.423,-0.2362,swarm_96_175.pdb
top_3_A,A,top_3_B,B,-0.86,-24.07,-27.533,9.45,26.53,-31.249,-42.626,-25.419,-1.469,-0.0907,swarm_23_117.pdb
top_4_A,A,top_4_B,B,5.46,-17.25,-25.568,-15.71,-4.66,13.823,-41.825,25.0,-3.872,-0.073,swarm_129_113.pdb
top_5_A,A,top_5_B,B,4.42,-17.27,-26.444,5.79,-3.02,-8.486,16.851,16.764,-5.57,-0.0991,swarm_14_57.pdb
top_6_A,A,top_6_B,B,0.76,-17.31,-24.904,-88.28,-39.92,-15.379,-35.668,7.278,-0.793,-0.083,swarm_7_17.pdb
top_7_A,A,top_7_B,B,0.54,-16.1,-25.286,-36.21,-16.83,-15.757,-47.032,-7.448,-0.711,-0.2194,swarm_33_35.pdb
top_8_A,A,top_8_B,B,4.54,-18.91,-25.081,-18.26,-0.21,-29.291,-53.14,-9.96,-2.386,0.0747,swarm_66_160.pdb
top_9_A,A,top_9_B,B,2.14,-11.0,-21.235,-18.9,-6.03,7.782,-54.145,16.04,-0.998,-0.0434,swarm_150_43.pdb
top_10_A,A,top_10_B,B,5.52,-13.87,-23.293,38.79,45.58,-12.475,46.224,6.006,-5.399,0.3149,swarm_161_72.pdb
top_11_A,A,top_11_B,B,10.76,-8.16,-20.944,91.63,79.66,64.766,46.463,114.397,-6.638,0.2005,swarm_86_13.pdb
top_12_A,A,top_12_B,B,0.86,-16.51,-25.899,44.87,7.3,9.819,-8.809,26.941,-4.704,-0.1137,swarm_174_198.pdb
top_13_A,A,top_13_B,B,7.44,-22.4,-27.857,-40.03,-31.89,-8.255,-73.454,-0.648,-3.853,-0.2615,swarm_210_106.pdb
top_14_A,A,top_14_B,B,2.28,-15.35,-26.503,-19.59,-14.91,3.339,-50.377,30.617,-3.396,0.0489,swarm_137_38.pdb
top_15_A,A,top_15_B,B,1.34,-17.63,-22.84,-38.38,-22.57,-29.217,-44.194,-26.366,-0.308,-0.0508,swarm_108_169.pdb
top_16_A,A,top_16_B,B,2.12,-12.26,-22.511,-44.87,-22.73,10.774,-4.331,26.087,-0.399,-0.0629,swarm_204_32.pdb
top_17_A,A,top_17_B,B,2.34,-18.1,-24.012,-19.18,17.12,8.509,-7.908,20.471,-3.683,-0.0343,swarm_31_134.pdb
top_18_A,A,top_18_B,B,-4.76,-14.89,-19.762,-9.82,1.55,-31.049,37.238,-19.136,0.61,-0.122,swarm_58_117.pdb
top_19_A,A,top_19_B,B,3.52,-13.61,-25.281,-29.82,-6.32,7.685,-60.755,32.733,-6.246,0.0936,swarm_190_33.pdb
top_20_A,A,top_20_B,B,3.12,-10.47,-22.452,-47.22,-21.6,-14.917,-53.178,1.968,-3.991,-0.2634,swarm_19_187.pdb
top_21_A,A,top_21_B,B,4.32,-11.11,-17.015,-26.01,9.88,-14.763,-12.276,-3.593,-2.849,0.1548,swarm_196_50.pdb
top_22_A,A,top_22_B,B,6.42,-20.54,-25.134,-21.54,-3.05,-17.113,-58.899,-16.246,-5.393,-0.0855,swarm_177_129.pdb
top_23_A,A,top_23_B,B,1.28,-10.5,-17.18,-29.1,-10.95,-12.153,-33.107,-3.898,-2.198,-0.0706,swarm_144_170.pdb
top_24_A,A,top_24_B,B,4.54,-12.48,-21.764,9.91,10.16,-19.778,-25.162,3.342,-5.64,-0.0027,swarm_210_178.pdb
top_25_A,A,top_25_B,B,8.46,-16.2,-25.293,-62.27,-31.6,22.998,-68.277,31.751,-2.057,-0.1477,swarm_92_41.pdb
top_26_A,A,top_26_B,B,1.42,-14.97,-21.112,-14.66,-5.47,30.078,-48.375,46.011,-1.273,-0.0163,swarm_136_24.pdb
top_27_A,A,top_27_B,B,6.94,-12.38,-22.713,10.29,0.33,0.617,-31.565,21.862,-4.31,0.0062,swarm_49_157.pdb
top_28_A,A,top_28_B,B,3.2,-13.9,-21.189,-41.33,-28.01,-4.529,-34.506,3.221,-1.943,-0.1444,swarm_26_126.pdb
top_29_A,A,top_29_B,B,1.92,-14.06,-21.299,3.5,-2.85,30.201,-25.419,44.344,-0.634,-0.046,swarm_84_17.pdb
top_30_A,A,top_30_B,B,3.86,-13.72,-21.172,-1.95,17.53,-6.162,-42.738,4.496,-3.843,0.1157,swarm_137_8.pdb
top_31_A,A,top_31_B,B,-0.32,-18.78,-24.693,-20.37,-0.02,-15.565,-37.978,-9.815,-1.082,-0.0935,swarm_141_54.pdb
top_32_A,A,top_32_B,B,4.34,-15.34,-21.846,5.55,10.19,27.344,-16.439,39.428,-4.014,0.0617,swarm_223_152.pdb
top_33_A,A,top_33_B,B,2.38,-14.42,-20.705,-9.36,-5.88,17.282,-48.279,33.315,-0.887,-0.0496,swarm_79_177.pdb
top_34_A,A,top_34_B,B,10.22,-13.47,-21.985,0.01,12.89,-7.903,-48.755,6.538,-4.365,-0.0007,swarm_127_152.pdb
top_35_A,A,top_35_B,B,8.48,-17.42,-24.195,-12.78,12.73,28.079,-60.337,39.263,-3.915,0.0133,swarm_138_181.pdb
top_36_A,A,top_36_B,B,7.0,-20.52,-24.839,-11.05,-13.24,19.592,-61.697,43.621,-5.712,-0.0569,swarm_74_79.pdb
top_37_A,A,top_37_B,B,4.14,-13.78,-20.644,-16.83,-10.96,6.652,-53.328,18.557,-2.463,0.0143,swarm_44_15.pdb
top_38_A,A,top_38_B,B,0.32,-11.87,-21.017,-12.55,-12.71,-11.043,-36.697,4.432,0.832,-0.0273,swarm_137_100.pdb
top_39_A,A,top_39_B,B,6.48,-16.22,-22.985,-15.56,11.68,-23.957,-36.748,-11.162,-2.503,-0.2584,swarm_95_164.pdb
top_40_A,A,top_40_B,B,5.66,-15.72,-20.268,-41.05,-27.67,-7.469,-52.532,4.271,-3.125,-0.0278,swarm_196_20.pdb
top_41_A,A,top_41_B,B,-2.04,-17.95,-21.485,-45.21,-8.14,-22.008,-23.083,-10.674,-1.984,-0.1657,swarm_49_10.pdb
top_42_A,A,top_42_B,B,2.0,-14.85,-19.827,30.82,-2.32,18.091,-37.206,33.233,-1.503,-0.0723,swarm_174_142.pdb
top_43_A,A,top_43_B,B,1.2,-12.83,-21.787,-8.98,-4.91,-19.335,20.329,-5.334,-3.041,-0.0736,swarm_202_64.pdb
top_44_A,A,top_44_B,B,4.22,-14.09,-22.875,-64.66,-20.96,-16.238,-63.749,-5.257,-5.091,0.0073,swarm_148_199.pdb
top_45_A,A,top_45_B,B,0.46,-16.62,-19.202,14.6,-0.54,-20.775,-19.496,-16.381,-0.62,0.0692,swarm_23_141.pdb
top_46_A,A,top_46_B,B,4.34,-20.34,-26.637,-21.4,16.02,21.567,-64.571,24.352,-2.178,0.116,swarm_176_142.pdb
top_47_A,A,top_47_B,B,7.82,-15.15,-21.758,44.38,30.02,47.758,-53.988,70.24,-3.208,0.0397,swarm_224_65.pdb
top_48_A,A,top_48_B,B,-0.3,-14.75,-18.854,-31.14,-10.55,-11.763,-34.489,-8.633,-0.187,-0.1355,swarm_11_176.pdb
top_49_A,A,top_49_B,B,10.9,-10.58,-23.203,16.99,29.39,54.939,-55.542,77.365,-6.351,0.0828,swarm_182_182.pdb
