pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,3.3,-21.72,-30.55,-2.58,-4.46,-32.606,-60.075,-23.666,1.329,-0.0007,swarm_60_5.pdb
top_2_A,A,top_2_B,B,5.52,-17.17,-26.81,-2.45,6.05,-13.891,-24.75,-6.259,-2.344,-0.1143,swarm_35_20.pdb
top_3_A,A,top_3_B,B,4.2,-16.89,-27.619,7.05,27.05,-12.254,-10.417,-9.427,-1.474,0.0411,swarm_66_75.pdb
top_4_A,A,top_4_B,B,2.68,-22.16,-27.018,24.07,14.83,-12.417,-13.244,-14.532,3.272,0.1077,swarm_35_49.pdb
top_5_A,A,top_5_B,B,-0.64,-16.41,-25.408,12.08,5.37,-14.998,-23.529,-6.071,6.213,0.0454,swarm_35_123.pdb
top_6_A,A,top_6_B,B,6.34,-22.34,-29.005,-76.39,-45.62,-17.02,-63.05,-22.862,1.088,-0.137,swarm_111_189.pdb
top_7_A,A,top_7_B,B,-4.04,-19.44,-26.432,-7.55,6.15,-16.618,0.189,-0.485,5.375,-0.1543,swarm_20_3.pdb
top_8_A,A,top_8_B,B,-1.78,-16.84,-27.112,13.26,24.51,-19.299,-7.92,-22.416,0.46,-0.12,swarm_35_130.pdb
top_9_A,A,top_9_B,B,2.98,-15.82,-26.648,-8.48,16.15,-17.211,-2.78,-13.419,-0.118,-0.0022,swarm_35_181.pdb
top_10_A,A,top_10_B,B,2.4,-20.04,-29.925,8.66,-0.48,-10.993,-26.786,-6.785,2.892,0.0233,swarm_111_178.pdb
top_11_A,A,top_11_B,B,-0.08,-16.2,-23.802,-13.66,0.77,-27.892,-14.855,-8.299,0.696,-0.1449,swarm_118_177.pdb
top_12_A,A,top_12_B,B,-0.58,-17.71,-25.427,-12.64,9.62,-9.202,-21.316,-1.973,2.153,-0.0897,swarm_81_193.pdb
top_13_A,A,top_13_B,B,0.42,-18.39,-26.065,-40.57,-10.04,-9.872,-38.377,-17.535,3.726,-0.0511,swarm_91_60.pdb
top_14_A,A,top_14_B,B,0.76,-18.12,-27.895,-44.66,-15.79,-28.732,-34.752,-22.184,1.612,-0.0514,swarm_120_25.pdb
top_15_A,A,top_15_B,B,4.08,-15.24,-24.034,4.53,25.23,-16.335,-4.42,-16.226,-0.995,-0.0342,swarm_60_174.pdb
top_16_A,A,top_16_B,B,2.64,-14.81,-27.362,36.86,28.18,-6.942,-20.226,-5.928,-0.471,0.2154,swarm_47_66.pdb
top_17_A,A,top_17_B,B,-4.8,-19.97,-27.798,-6.77,-1.5,-17.805,-39.934,-14.69,5.182,0.0129,swarm_34_70.pdb
top_18_A,A,top_18_B,B,-1.08,-16.92,-25.522,12.02,7.01,-12.264,-27.343,-11.814,2.739,-0.0239,swarm_31_122.pdb
top_19_A,A,top_19_B,B,1.08,-17.23,-23.142,-16.27,-4.64,-3.145,-19.246,-14.499,7.282,-0.0987,swarm_94_110.pdb
top_20_A,A,top_20_B,B,-0.72,-20.36,-28.138,0.31,16.57,-8.946,0.947,-9.418,4.35,0.067,swarm_70_181.pdb
top_21_A,A,top_21_B,B,-0.88,-14.84,-22.499,-26.52,-14.48,-33.692,-32.296,-19.465,3.486,-0.1933,swarm_12_108.pdb
top_22_A,A,top_22_B,B,-2.08,-17.76,-25.661,22.74,28.14,-8.112,39.987,-0.537,2.126,-0.157,swarm_20_188.pdb
top_23_A,A,top_23_B,B,1.62,-16.75,-26.159,-51.68,-21.39,-34.239,-43.451,-20.308,0.27,-0.0869,swarm_111_179.pdb
top_24_A,A,top_24_B,B,0.08,-14.24,-22.01,9.69,6.53,2.474,47.98,21.107,4.37,0.3849,swarm_48_125.pdb
top_25_A,A,top_25_B,B,1.78,-20.56,-25.585,-5.45,5.04,-13.017,-1.118,-21.611,-0.273,-0.0359,swarm_91_191.pdb
top_26_A,A,top_26_B,B,-0.2,-17.52,-22.048,-45.64,-2.56,-6.617,3.949,-11.622,3.208,-0.0616,swarm_26_195.pdb
top_27_A,A,top_27_B,B,5.66,-16.75,-23.335,-27.46,-4.9,-6.755,-58.13,4.206,2.549,0.0232,swarm_48_0.pdb
top_28_A,A,top_28_B,B,2.74,-16.12,-24.971,1.72,-9.79,-11.655,-27.281,-7.286,-2.817,0.0266,swarm_64_88.pdb
top_29_A,A,top_29_B,B,-1.48,-16.18,-22.253,-29.53,-14.32,-10.904,-33.154,-16.721,5.87,-0.0421,swarm_94_25.pdb
top_30_A,A,top_30_B,B,1.92,-16.94,-24.749,-16.34,0.31,-18.229,-14.633,-12.543,3.209,-0.1433,swarm_94_89.pdb
top_31_A,A,top_31_B,B,-0.6,-15.98,-23.451,-0.12,10.24,-3.505,4.123,-14.827,1.273,-0.0924,swarm_72_127.pdb
top_32_A,A,top_32_B,B,-1.0,-20.82,-27.61,-31.35,-25.27,-0.158,-38.214,8.852,8.58,-0.0167,swarm_81_173.pdb
top_33_A,A,top_33_B,B,4.86,-19.45,-29.269,8.89,28.72,-10.381,20.195,-4.458,4.465,-0.0678,swarm_111_177.pdb
top_34_A,A,top_34_B,B,-0.22,-14.73,-22.159,-19.57,-6.89,-17.027,-39.87,-17.49,0.025,-0.1284,swarm_70_139.pdb
top_35_A,A,top_35_B,B,-2.9,-16.36,-23.792,35.99,37.32,-7.426,-3.413,-1.418,2.653,0.0469,swarm_26_70.pdb
top_36_A,A,top_36_B,B,-1.0,-20.63,-27.785,-30.52,-20.21,-3.784,-45.451,-11.256,2.754,-0.0687,swarm_127_31.pdb
top_37_A,A,top_37_B,B,3.42,-14.66,-25.052,-1.33,0.15,-26.678,-31.6,-15.471,-3.608,0.0293,swarm_28_79.pdb
top_38_A,A,top_38_B,B,0.26,5.9,-6.709,427.78,261.91,1.78,487.602,50.792,6.221,-0.0322,swarm_26_110.pdb
top_39_A,A,top_39_B,B,5.32,-20.46,-26.179,-21.44,-10.12,-6.884,-56.11,-9.933,0.688,-0.1938,swarm_28_98.pdb
top_40_A,A,top_40_B,B,0.1,-18.99,-26.284,-3.53,14.48,-8.667,-25.505,-10.524,6.808,-0.1799,swarm_72_182.pdb
top_41_A,A,top_41_B,B,4.82,-20.09,-25.085,-8.67,-6.0,-2.32,-36.106,8.007,2.196,-0.0316,swarm_48_83.pdb
top_42_A,A,top_42_B,B,-1.2,-21.59,-26.778,-8.95,-2.84,-12.438,-42.084,-11.624,2.091,0.1068,swarm_14_108.pdb
top_43_A,A,top_43_B,B,-3.18,-16.88,-26.35,-23.69,5.25,-18.701,-18.659,-17.644,2.736,0.0262,swarm_117_192.pdb
top_44_A,A,top_44_B,B,0.1,-19.07,-22.754,-22.76,-6.57,-16.248,-46.495,-11.641,1.878,-0.1556,swarm_68_149.pdb
top_45_A,A,top_45_B,B,-0.28,-15.2,-25.394,-33.73,-1.95,-17.666,-33.017,-20.692,0.814,-0.0923,swarm_28_35.pdb
top_46_A,A,top_46_B,B,-0.86,-18.09,-25.391,-17.65,-1.08,-14.291,11.627,-5.101,4.033,-0.0641,swarm_81_155.pdb
top_47_A,A,top_47_B,B,0.74,-17.43,-23.605,-55.84,-27.38,-2.055,-22.898,1.765,8.054,-0.0844,swarm_6_116.pdb
top_48_A,A,top_48_B,B,2.16,-9.01,-22.94,221.22,137.11,-10.235,307.181,27.251,5.596,-0.0334,swarm_111_51.pdb
top_49_A,A,top_49_B,B,-1.36,-16.62,-22.417,-33.31,-11.2,-5.976,-56.587,-6.656,5.066,-0.1231,swarm_88_38.pdb
