pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,16.14,-34.47,-66.186,12.64,43.46,-31.678,-119.924,14.382,-2.415,0.2555,swarm_50_120.pdb
top_2_A,A,top_2_B,B,5.36,-37.38,-62.835,37.45,33.2,-26.841,-78.7,-7.64,-6.168,0.0362,swarm_393_37.pdb
top_3_A,A,top_3_B,B,12.66,-30.74,-59.607,-91.91,-11.46,-17.516,-128.624,-4.38,-6.783,0.2221,swarm_338_115.pdb
top_4_A,A,top_4_B,B,12.96,-23.75,-58.771,15.17,50.15,-32.052,0.836,-4.081,-3.895,0.0855,swarm_190_71.pdb
top_5_A,A,top_5_B,B,17.64,-29.0,-61.124,-33.16,4.04,-24.924,-66.239,-10.243,-11.132,0.37,swarm_332_157.pdb
top_6_A,A,top_6_B,B,8.9,-29.25,-63.85,-30.94,35.64,-35.494,-54.583,-11.114,2.338,0.038,swarm_317_16.pdb
top_7_A,A,top_7_B,B,19.78,-35.24,-63.557,70.1,86.2,-22.724,-7.189,6.983,-8.307,0.4331,swarm_533_167.pdb
top_8_A,A,top_8_B,B,17.74,-32.0,-63.421,66.84,77.53,-33.291,-44.357,-7.191,-10.571,0.284,swarm_317_145.pdb
top_9_A,A,top_9_B,B,6.56,-38.71,-55.063,25.82,40.48,-6.609,4.944,0.912,-4.313,0.0542,swarm_223_118.pdb
top_10_A,A,top_10_B,B,7.32,-32.81,-54.987,-13.68,6.99,-11.426,-49.167,-5.166,-2.535,0.0537,swarm_494_1.pdb
top_11_A,A,top_11_B,B,6.42,-32.14,-49.894,-45.61,-15.53,-22.716,-88.1,-21.649,-7.232,-0.11,swarm_238_117.pdb
top_12_A,A,top_12_B,B,4.9,-29.0,-55.366,51.5,36.2,-24.312,-22.45,-8.129,0.084,-0.0589,swarm_131_197.pdb
top_13_A,A,top_13_B,B,3.32,-25.33,-53.061,60.16,55.02,-17.471,46.946,10.874,-4.29,-0.208,swarm_471_6.pdb
top_14_A,A,top_14_B,B,14.96,-29.67,-61.104,-9.05,47.71,-17.898,-104.191,-16.746,-9.297,-0.1656,swarm_485_110.pdb
top_15_A,A,top_15_B,B,8.4,-31.56,-51.179,-46.43,6.86,-10.84,-52.363,-3.696,-2.49,0.4245,swarm_102_99.pdb
top_16_A,A,top_16_B,B,-3.44,-30.57,-49.712,-53.23,-4.67,-15.403,47.591,-3.985,3.827,0.0238,swarm_432_183.pdb
top_17_A,A,top_17_B,B,10.44,-36.09,-54.668,-40.64,-5.65,-19.837,-57.36,-16.805,-2.544,0.05,swarm_80_151.pdb
top_18_A,A,top_18_B,B,2.42,-35.5,-55.987,12.82,51.02,-8.351,9.777,-3.27,-6.592,0.0804,swarm_239_171.pdb
top_19_A,A,top_19_B,B,9.16,-33.27,-50.125,22.51,37.16,-14.37,46.571,0.16,-4.959,-0.0502,swarm_80_145.pdb
top_20_A,A,top_20_B,B,17.14,-32.72,-56.481,5.66,9.68,-28.046,-139.587,-6.688,-3.597,-0.0343,swarm_318_4.pdb
top_21_A,A,top_21_B,B,1.88,-27.52,-46.429,105.72,73.92,-2.429,43.151,7.811,0.526,0.0681,swarm_80_94.pdb
top_22_A,A,top_22_B,B,4.48,-29.56,-48.904,-0.32,35.1,-23.758,-10.863,-21.662,-2.047,-0.0597,swarm_58_175.pdb
top_23_A,A,top_23_B,B,6.0,-30.48,-51.462,35.71,30.92,-30.375,13.631,-14.542,1.06,-0.0985,swarm_310_79.pdb
top_24_A,A,top_24_B,B,4.64,-25.41,-51.977,27.92,23.88,-34.5,4.866,-7.817,-1.76,0.0414,swarm_2_111.pdb
top_25_A,A,top_25_B,B,9.68,-27.76,-52.351,86.42,79.81,-35.783,-39.267,-15.657,-0.905,-0.1556,swarm_340_33.pdb
top_26_A,A,top_26_B,B,11.86,-25.9,-50.299,24.08,33.37,-29.467,-82.422,-5.39,-3.318,0.0387,swarm_469_165.pdb
top_27_A,A,top_27_B,B,9.24,-29.38,-54.739,19.77,1.51,-13.643,-102.819,8.314,-4.085,-0.0164,swarm_13_121.pdb
top_28_A,A,top_28_B,B,8.96,-30.35,-55.687,80.05,56.66,-37.854,49.732,3.77,-5.368,-0.1354,swarm_129_56.pdb
top_29_A,A,top_29_B,B,14.66,-28.63,-53.439,-15.5,20.32,-20.788,-76.659,5.958,1.602,0.1431,swarm_452_25.pdb
top_30_A,A,top_30_B,B,3.72,-26.75,-48.788,6.38,9.03,-21.305,-38.979,2.168,-5.328,-0.2284,swarm_223_43.pdb
top_31_A,A,top_31_B,B,16.02,-21.61,-50.088,15.5,20.73,-18.653,-82.355,-6.639,-7.038,0.1019,swarm_520_39.pdb
top_32_A,A,top_32_B,B,6.0,-25.53,-53.571,157.95,119.52,-5.518,104.756,36.471,-1.656,0.1841,swarm_239_2.pdb
top_33_A,A,top_33_B,B,4.8,-29.49,-52.34,69.43,32.81,-26.692,31.298,-9.977,0.2,0.0084,swarm_87_9.pdb
top_34_A,A,top_34_B,B,4.24,-26.93,-49.159,-10.29,21.45,-18.535,-17.075,-16.951,0.957,-0.3408,swarm_129_106.pdb
top_35_A,A,top_35_B,B,5.54,-26.51,-42.861,4.42,13.0,-6.084,-54.762,7.064,-0.007,0.1395,swarm_87_144.pdb
top_36_A,A,top_36_B,B,13.58,-23.03,-48.724,-4.77,11.46,-10.206,-83.34,13.805,-1.858,-0.1237,swarm_367_89.pdb
top_37_A,A,top_37_B,B,9.26,-24.19,-45.863,-36.9,-11.05,-16.834,-99.174,-14.586,-1.463,0.0566,swarm_249_165.pdb
top_38_A,A,top_38_B,B,8.88,-29.56,-48.841,-25.63,0.51,-15.417,-40.462,5.603,-4.126,-0.0581,swarm_217_1.pdb
top_39_A,A,top_39_B,B,5.98,-31.69,-53.832,-0.6,16.33,-34.597,-23.86,-14.187,-5.394,0.092,swarm_499_97.pdb
top_40_A,A,top_40_B,B,-4.44,-26.33,-55.179,66.4,88.14,-14.701,185.59,25.802,-2.818,-0.1194,swarm_249_183.pdb
top_41_A,A,top_41_B,B,10.88,-27.78,-48.504,80.92,82.36,-14.537,2.054,10.346,0.373,0.2305,swarm_368_40.pdb
top_42_A,A,top_42_B,B,7.24,-26.13,-47.652,-28.04,12.72,-13.843,-74.279,11.004,-4.398,0.029,swarm_9_111.pdb
top_43_A,A,top_43_B,B,10.94,-21.2,-49.7,-15.12,23.04,-27.162,-18.681,5.156,-8.536,0.0807,swarm_392_76.pdb
top_44_A,A,top_44_B,B,6.6,-38.93,-53.911,-46.45,-3.29,-18.31,-72.876,-29.106,-2.698,0.0638,swarm_120_149.pdb
top_45_A,A,top_45_B,B,17.32,-34.88,-50.463,15.04,17.99,-22.538,-84.318,2.806,-6.662,0.1745,swarm_322_34.pdb
top_46_A,A,top_46_B,B,7.5,-29.17,-54.54,-24.68,-6.15,-32.164,-119.736,-13.445,0.055,0.0281,swarm_176_41.pdb
top_47_A,A,top_47_B,B,12.26,-30.79,-54.518,8.08,34.25,-21.208,-65.773,-0.386,0.808,0.0393,swarm_93_81.pdb
top_48_A,A,top_48_B,B,6.34,-29.25,-50.79,39.48,36.66,-13.218,-9.731,7.004,-5.528,-0.0592,swarm_526_170.pdb
top_49_A,A,top_49_B,B,6.3,-22.77,-47.021,8.12,34.96,-19.622,-71.666,1.7,-2.992,-0.0438,swarm_238_4.pdb
top_50_A,A,top_50_B,B,13.46,-30.69,-51.174,8.57,29.64,-24.029,-38.487,-17.017,-5.463,0.0171,swarm_102_183.pdb
top_51_A,A,top_51_B,B,9.34,-42.81,-58.698,-14.62,-3.96,-23.81,-88.485,-19.867,-4.192,-0.0206,swarm_235_182.pdb
top_52_A,A,top_52_B,B,1.86,-26.39,-48.341,0.71,5.19,-33.943,-49.311,-17.365,0.072,-0.1305,swarm_374_34.pdb
top_53_A,A,top_53_B,B,6.86,-23.58,-51.219,19.02,26.34,-19.003,-43.455,17.243,-4.97,-0.0177,swarm_158_74.pdb
top_54_A,A,top_54_B,B,5.32,-24.27,-56.528,144.61,101.67,-17.948,78.52,21.612,-7.318,-0.0017,swarm_323_20.pdb
top_55_A,A,top_55_B,B,8.9,-27.66,-51.024,-33.23,-17.89,-13.025,-115.346,6.881,7.23,-0.1041,swarm_171_26.pdb
top_56_A,A,top_56_B,B,7.48,-28.52,-51.63,6.32,8.34,-24.437,-90.083,-21.882,-2.215,0.0912,swarm_329_135.pdb
top_57_A,A,top_57_B,B,6.7,-34.04,-56.886,22.11,53.88,-19.623,8.436,-11.377,-4.812,0.2367,swarm_382_127.pdb
top_58_A,A,top_58_B,B,3.56,-31.15,-50.248,-67.39,-15.56,-24.528,-15.88,1.217,-2.712,0.0756,swarm_287_135.pdb
top_59_A,A,top_59_B,B,2.82,-22.76,-47.578,64.99,92.62,-19.206,184.674,27.356,-4.008,-0.0646,swarm_352_177.pdb
top_60_A,A,top_60_B,B,7.24,-23.69,-52.196,1.16,60.72,-6.446,-46.656,22.032,-2.824,0.0672,swarm_195_131.pdb
top_61_A,A,top_61_B,B,2.64,-28.01,-49.327,28.25,33.55,-27.244,22.444,-10.154,1.285,0.0986,swarm_438_95.pdb
top_62_A,A,top_62_B,B,4.86,-30.13,-51.465,-43.36,-27.55,-16.091,-12.604,-4.76,-5.627,0.2399,swarm_102_30.pdb
top_63_A,A,top_63_B,B,7.3,-24.15,-47.418,14.77,32.18,-13.629,-44.659,6.194,0.302,-0.0919,swarm_129_70.pdb
top_64_A,A,top_64_B,B,2.82,-28.83,-54.081,59.09,61.56,-37.406,35.556,-24.081,-6.957,-0.0032,swarm_366_172.pdb
top_65_A,A,top_65_B,B,11.54,-18.44,-41.595,2.38,18.45,-15.359,-13.438,-5.729,-3.293,0.0184,swarm_56_197.pdb
top_66_A,A,top_66_B,B,6.9,-28.37,-54.204,-23.39,5.55,-27.247,-59.87,1.058,-2.598,-0.0658,swarm_258_80.pdb
top_67_A,A,top_67_B,B,6.98,-24.25,-49.614,-3.62,28.09,-17.711,53.86,13.145,-5.4,-0.13,swarm_208_183.pdb
top_68_A,A,top_68_B,B,-3.34,-23.63,-43.772,-44.21,0.39,-15.992,-53.34,-12.9,4.235,0.1289,swarm_303_147.pdb
top_69_A,A,top_69_B,B,8.94,-25.38,-43.893,23.28,42.17,-21.836,-74.219,-12.491,-4.524,-0.0784,swarm_197_30.pdb
top_70_A,A,top_70_B,B,7.58,-27.61,-46.826,-33.8,-22.03,-29.869,-58.326,-15.718,-4.725,0.0622,swarm_22_41.pdb
top_71_A,A,top_71_B,B,4.0,-30.62,-45.216,-21.0,-9.32,-4.578,-64.219,-5.615,-1.088,-0.1892,swarm_120_6.pdb
top_72_A,A,top_72_B,B,7.0,-23.78,-44.749,18.79,52.83,-10.982,-22.902,7.683,-3.15,0.357,swarm_182_21.pdb
top_73_A,A,top_73_B,B,7.38,-23.47,-42.098,33.33,35.66,-4.42,-4.205,13.554,-0.443,-0.0403,swarm_204_42.pdb
top_74_A,A,top_74_B,B,6.52,-30.87,-49.235,-34.73,3.11,-30.363,9.37,-20.239,-1.545,-0.1665,swarm_530_133.pdb
top_75_A,A,top_75_B,B,1.7,-22.85,-45.018,-33.01,-3.26,-21.684,-48.977,-2.07,2.098,-0.2448,swarm_77_86.pdb
top_76_A,A,top_76_B,B,0.94,-26.56,-52.267,14.93,47.66,-47.305,24.0,-16.375,-1.837,-0.15,swarm_43_29.pdb
top_77_A,A,top_77_B,B,1.0,-31.66,-53.774,-5.05,8.18,-24.778,-44.492,-21.769,0.37,-0.0923,swarm_438_40.pdb
top_78_A,A,top_78_B,B,8.44,-26.93,-44.643,31.24,36.03,-19.565,-10.877,-20.155,-3.835,-0.0012,swarm_366_98.pdb
top_79_A,A,top_79_B,B,6.76,-34.84,-49.216,6.91,22.83,-34.916,-3.158,-23.144,-7.004,-0.2724,swarm_350_153.pdb
top_80_A,A,top_80_B,B,5.4,-22.89,-47.915,-22.77,13.94,-24.716,-90.797,4.801,0.265,-0.1299,swarm_54_114.pdb
top_81_A,A,top_81_B,B,6.08,-26.91,-52.538,116.4,90.79,-35.55,66.337,3.953,-5.546,-0.0294,swarm_127_10.pdb
top_82_A,A,top_82_B,B,2.0,-32.03,-51.352,-1.39,15.84,-21.586,0.378,-9.695,-2.308,-0.0474,swarm_416_57.pdb
top_83_A,A,top_83_B,B,10.86,-24.51,-44.727,29.84,37.53,-26.182,-20.231,0.571,-2.854,0.1584,swarm_224_50.pdb
top_84_A,A,top_84_B,B,12.68,-23.69,-48.045,12.77,51.9,-17.953,68.422,13.817,-8.433,0.4809,swarm_57_100.pdb
top_85_A,A,top_85_B,B,14.76,-18.34,-45.391,69.34,76.58,-9.384,66.187,11.501,-10.158,0.0774,swarm_143_191.pdb
top_86_A,A,top_86_B,B,13.08,-23.12,-47.132,43.94,49.91,-23.757,18.01,0.555,-6.623,0.0211,swarm_443_54.pdb
top_87_A,A,top_87_B,B,9.76,-30.53,-53.622,73.85,64.68,-27.454,-66.699,-11.648,-6.701,0.1256,swarm_120_111.pdb
top_88_A,A,top_88_B,B,8.82,-24.69,-44.705,-42.35,-15.73,-9.44,-88.563,5.122,-3.998,-0.1087,swarm_291_184.pdb
top_89_A,A,top_89_B,B,8.3,-23.95,-45.944,-43.86,-24.17,-21.694,-98.735,-3.659,-4.221,-0.0545,swarm_290_16.pdb
top_90_A,A,top_90_B,B,3.0,-21.81,-48.109,-0.92,45.23,-27.733,25.986,1.164,-3.085,-0.014,swarm_131_117.pdb
