pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,2.26,-19.24,-28.9733,-10.89,9.94,-10.213,-53.181,-2.573,-6.224,0.0487,swarm_88_41.pdb
top_2_A,A,top_2_B,B,-9.52,-24.02,-31.0068,-113.78,-38.73,-10.195,-58.731,-24.012,-3.436,-0.0199,swarm_22_136.pdb
top_3_A,A,top_3_B,B,-0.52,-14.7,-24.1724,-0.02,20.1,-1.733,-9.292,2.877,-6.121,-0.048,swarm_130_8.pdb
top_4_A,A,top_4_B,B,7.7,-18.47,-28.3719,-13.99,41.17,-9.632,-36.651,-4.928,-6.013,0.1233,swarm_145_132.pdb
top_5_A,A,top_5_B,B,-1.32,-19.8,-28.7593,48.55,25.42,-15.626,34.551,-21.301,-7.391,-0.1198,swarm_46_104.pdb
top_6_A,A,top_6_B,B,-1.66,-17.32,-24.3063,25.43,54.09,-14.147,-22.799,-13.259,-9.467,-0.0757,swarm_46_191.pdb
top_7_A,A,top_7_B,B,8.18,-18.24,-26.8734,22.17,58.35,-2.775,-14.572,6.366,-5.618,0.0001,swarm_82_186.pdb
top_8_A,A,top_8_B,B,-2.64,-16.63,-24.6109,-3.11,19.62,-11.691,-26.069,-11.978,-1.47,-0.1375,swarm_141_171.pdb
top_9_A,A,top_9_B,B,-1.68,-19.36,-24.8635,-28.23,13.24,-1.86,-30.434,-9.87,-2.06,-0.1069,swarm_16_46.pdb
top_10_A,A,top_10_B,B,4.9,-13.63,-24.5448,-38.97,16.75,-7.914,-6.516,4.721,-6.918,0.2006,swarm_97_51.pdb
top_11_A,A,top_11_B,B,-6.08,-18.86,-27.4361,60.02,33.89,-15.649,22.27,-19.162,-3.697,-0.103,swarm_78_56.pdb
top_12_A,A,top_12_B,B,0.04,-18.24,-27.6465,-52.88,-13.66,-6.956,-62.13,-5.63,-4.59,-0.2525,swarm_138_128.pdb
top_13_A,A,top_13_B,B,-0.64,-15.85,-23.6482,-9.36,6.51,-11.633,-32.388,-7.248,-1.926,-0.1106,swarm_39_4.pdb
top_14_A,A,top_14_B,B,-0.02,-19.47,-26.5545,-30.79,15.26,-2.781,-58.31,-16.068,0.076,-0.0581,swarm_46_15.pdb
top_15_A,A,top_15_B,B,-2.9,-14.0,-24.2619,47.75,22.78,-7.931,11.234,-3.951,-3.037,-0.0228,swarm_5_141.pdb
top_16_A,A,top_16_B,B,-3.68,-17.23,-24.8466,-37.9,-21.2,-4.23,-18.381,-13.379,-3.545,-0.1272,swarm_58_117.pdb
top_17_A,A,top_17_B,B,2.32,-16.52,-24.019,-45.19,-7.17,-4.537,-53.474,3.167,-3.562,-0.2347,swarm_63_72.pdb
top_18_A,A,top_18_B,B,-2.9,-17.3,-23.3261,21.75,21.19,-5.384,-28.834,-19.842,1.645,-0.0606,swarm_16_139.pdb
top_19_A,A,top_19_B,B,3.38,-13.6,-22.8998,-10.18,5.73,-10.78,-52.39,4.762,-3.659,-0.1508,swarm_71_196.pdb
top_20_A,A,top_20_B,B,6.64,-12.57,-24.8489,-3.86,39.55,-12.355,-50.67,-3.885,-8.447,-0.0815,swarm_42_162.pdb
top_21_A,A,top_21_B,B,-2.04,-13.12,-22.3799,-32.85,16.26,-12.036,2.845,-12.579,1.592,-0.1963,swarm_27_124.pdb
top_22_A,A,top_22_B,B,1.84,-14.41,-23.9492,18.45,30.04,-3.645,-2.021,2.701,-6.343,0.0548,swarm_140_159.pdb
top_23_A,A,top_23_B,B,7.86,-16.81,-26.6139,-12.73,-15.12,-9.484,-46.646,-5.756,-13.955,0.0183,swarm_140_55.pdb
top_24_A,A,top_24_B,B,1.52,-13.63,-22.4198,26.98,37.4,-6.886,-34.32,-1.563,-5.816,-0.0547,swarm_53_115.pdb
