pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.56,-47.84,-66.706,6.7,25.25,-24.493,68.426,-9.476,9.53,-0.1226,swarm_229_162.pdb
top_2_A,A,top_2_B,B,-0.16,-39.99,-64.132,42.65,45.82,-23.08,24.387,-13.854,2.648,0.1188,swarm_348_46.pdb
top_3_A,A,top_3_B,B,-2.82,-46.51,-63.864,1.32,15.99,-26.353,2.897,-13.022,11.744,-0.2641,swarm_18_47.pdb
top_4_A,A,top_4_B,B,9.16,-40.36,-55.08,28.27,37.95,-18.914,-1.623,-13.637,4.342,0.1146,swarm_40_168.pdb
top_5_A,A,top_5_B,B,2.2,-30.03,-49.227,6.68,16.12,-14.742,6.425,-4.673,5.41,-0.2575,swarm_216_31.pdb
top_6_A,A,top_6_B,B,-4.04,-31.71,-53.028,97.64,55.16,-15.997,82.522,0.324,11.092,-0.2118,swarm_228_177.pdb
top_7_A,A,top_7_B,B,3.86,-41.7,-60.658,60.4,47.03,-34.21,58.856,-5.738,9.121,0.0891,swarm_228_97.pdb
top_8_A,A,top_8_B,B,0.46,-31.32,-47.342,24.98,42.4,-10.804,67.73,-6.972,9.375,-0.0481,swarm_216_36.pdb
top_9_A,A,top_9_B,B,10.48,-30.72,-46.008,-21.42,-5.6,-19.769,-24.314,-8.08,0.221,0.1105,swarm_11_168.pdb
top_10_A,A,top_10_B,B,6.34,-37.66,-59.942,-6.36,19.22,-30.451,0.205,-5.5,7.021,0.0303,swarm_228_39.pdb
top_11_A,A,top_11_B,B,1.72,-30.22,-47.237,-34.44,7.58,-12.048,13.909,-15.224,5.896,-0.198,swarm_40_15.pdb
top_12_A,A,top_12_B,B,-6.1,26.23,-5.5,843.08,583.58,-40.832,1522.041,107.871,10.273,0.359,swarm_216_152.pdb
top_13_A,A,top_13_B,B,10.7,-36.05,-50.918,-97.03,-42.16,-13.681,-89.282,-21.134,8.379,0.0515,swarm_274_9.pdb
top_14_A,A,top_14_B,B,1.05471187339e-15,-34.88,-46.687,-57.52,-12.89,-13.5,3.229,-18.731,20.612,-0.0945,swarm_164_135.pdb
top_15_A,A,top_15_B,B,-7.2,-0.49,-34.268,702.38,429.25,-28.783,1159.243,84.905,6.579,0.5395,swarm_228_189.pdb
top_16_A,A,top_16_B,B,5.82,-37.08,-52.682,26.95,35.36,-15.021,-2.449,-18.597,-0.086,-0.0588,swarm_253_42.pdb
top_17_A,A,top_17_B,B,-7.0,-27.41,-43.713,37.25,31.21,-12.996,-9.905,-17.007,8.552,-0.0667,swarm_40_163.pdb
top_18_A,A,top_18_B,B,12.48,-30.6,-46.15,-27.74,6.0,-12.921,-8.243,-1.299,6.044,-0.0357,swarm_151_185.pdb
top_19_A,A,top_19_B,B,2.92,-27.88,-43.209,-13.2,28.68,-23.984,-49.651,-17.169,4.039,-0.2796,swarm_237_150.pdb
top_20_A,A,top_20_B,B,5.34,-26.68,-42.73,-33.02,-8.02,-21.653,-19.774,-16.265,9.741,-0.1317,swarm_85_51.pdb
top_21_A,A,top_21_B,B,3.94,-27.69,-42.359,15.82,16.9,-4.319,18.786,-0.393,5.413,0.0714,swarm_215_114.pdb
top_22_A,A,top_22_B,B,-7.32,-38.04,-48.634,-100.66,-53.43,-20.465,-3.133,-12.074,3.175,-0.3896,swarm_325_97.pdb
top_23_A,A,top_23_B,B,5.8,-25.66,-43.802,-31.37,-25.04,-15.449,-74.959,-7.218,1.583,-0.0887,swarm_195_60.pdb
top_24_A,A,top_24_B,B,8.2,-37.56,-57.922,15.4,48.45,-19.005,116.221,-10.128,12.696,-0.1371,swarm_40_173.pdb
top_25_A,A,top_25_B,B,7.0,-27.82,-40.702,5.08,21.78,-18.453,76.488,-4.058,2.557,-0.0167,swarm_240_30.pdb
top_26_A,A,top_26_B,B,0.88,-32.69,-46.234,-52.19,-20.41,-9.519,-19.995,-30.629,9.86,-0.1893,swarm_325_197.pdb
top_27_A,A,top_27_B,B,14.12,-40.6,-60.19,39.85,31.68,-8.109,25.737,0.017,2.955,0.1152,swarm_156_11.pdb
top_28_A,A,top_28_B,B,5.44,-33.5,-49.195,-75.84,-19.18,-21.243,-50.414,-29.685,0.967,0.0321,swarm_69_35.pdb
top_29_A,A,top_29_B,B,2.08,-31.09,-46.016,5.27,35.45,-15.505,-14.256,-2.191,2.12,0.011,swarm_34_181.pdb
top_30_A,A,top_30_B,B,0.88,-29.35,-42.199,-58.5,-22.12,-12.19,-56.539,-24.231,19.674,-0.3616,swarm_7_190.pdb
top_31_A,A,top_31_B,B,3.78,-29.39,-40.749,-8.74,1.02,-4.899,-59.573,-9.629,18.267,-0.287,swarm_70_103.pdb
top_32_A,A,top_32_B,B,-0.56,-19.81,-32.361,131.85,104.25,-3.127,198.41,14.483,11.368,0.2795,swarm_190_52.pdb
top_33_A,A,top_33_B,B,3.08,-23.83,-44.888,35.02,20.12,-23.498,24.343,-7.703,7.307,0.1823,swarm_375_52.pdb
top_34_A,A,top_34_B,B,13.18,-37.72,-58.514,-2.0,42.88,-22.41,35.284,-0.052,2.079,0.0637,swarm_300_91.pdb
top_35_A,A,top_35_B,B,11.86,-29.39,-53.198,114.31,96.15,-11.917,166.688,6.875,-1.213,0.2373,swarm_25_53.pdb
top_36_A,A,top_36_B,B,4.18,-28.33,-48.291,57.76,53.02,-5.922,19.137,6.253,6.89,-0.0484,swarm_135_108.pdb
top_37_A,A,top_37_B,B,8.76,-25.52,-40.758,69.04,46.49,-7.719,-5.017,13.35,0.925,0.1768,swarm_97_46.pdb
top_38_A,A,top_38_B,B,8.54,-26.64,-46.462,-41.47,14.17,-23.259,-21.134,-11.059,1.248,0.0481,swarm_171_66.pdb
top_39_A,A,top_39_B,B,4.34,-28.65,-40.339,-0.12,-2.51,-8.885,-50.842,-3.942,5.871,0.0114,swarm_35_167.pdb
top_40_A,A,top_40_B,B,8.14,-28.47,-44.358,17.28,41.89,-23.041,36.839,-14.533,2.441,-0.0519,swarm_166_160.pdb
top_41_A,A,top_41_B,B,5.44,-27.57,-43.424,-17.22,9.71,-20.536,-15.41,-20.575,7.1,0.0501,swarm_191_137.pdb
top_42_A,A,top_42_B,B,12.34,-27.87,-44.724,3.74,33.59,-8.557,-51.402,2.993,1.385,0.118,swarm_180_75.pdb
top_43_A,A,top_43_B,B,1.32,-26.75,-44.453,-40.98,16.0,-33.44,80.554,-7.944,2.614,-0.0685,swarm_25_116.pdb
top_44_A,A,top_44_B,B,12.94,-22.43,-42.517,39.69,48.29,-15.537,12.744,15.712,5.144,-0.1387,swarm_191_140.pdb
top_45_A,A,top_45_B,B,2.04,-31.65,-47.245,15.0,-1.0,-21.82,-15.355,-16.782,5.378,-0.0148,swarm_38_111.pdb
top_46_A,A,top_46_B,B,-2.02,-20.77,-38.525,-9.12,-7.18,-16.066,-30.185,-8.223,6.723,-0.1363,swarm_85_15.pdb
top_47_A,A,top_47_B,B,-2.84,-28.89,-42.571,14.54,51.79,-8.374,61.545,-10.095,16.523,-0.1413,swarm_374_29.pdb
top_48_A,A,top_48_B,B,2.36,-28.59,-40.362,8.86,14.41,-2.619,-27.65,-10.4,16.597,-0.1779,swarm_267_173.pdb
top_49_A,A,top_49_B,B,-2.74,-30.54,-40.135,-91.14,-37.99,-19.661,-35.618,-35.512,8.287,-0.307,swarm_18_0.pdb
top_50_A,A,top_50_B,B,12.76,-37.88,-54.601,-54.1,-10.44,-11.631,-39.074,-16.411,1.93,-0.2899,swarm_71_92.pdb
top_51_A,A,top_51_B,B,5.66,-19.22,-39.659,-36.41,3.85,-13.322,-61.072,-16.341,-0.083,0.0072,swarm_40_71.pdb
top_52_A,A,top_52_B,B,7.58,-26.33,-42.353,-49.95,-12.05,-6.557,-40.838,-7.961,3.063,0.0046,swarm_50_185.pdb
top_53_A,A,top_53_B,B,4.82,-31.17,-46.143,22.04,30.97,-14.906,-3.718,-16.199,15.155,-0.1705,swarm_17_92.pdb
top_54_A,A,top_54_B,B,11.68,-30.14,-42.157,-32.97,-9.5,-12.768,-44.234,-3.024,7.143,-0.0144,swarm_151_159.pdb
top_55_A,A,top_55_B,B,3.96,-24.28,-42.968,24.96,26.07,-22.632,-24.123,-6.077,3.989,0.0102,swarm_228_117.pdb
top_56_A,A,top_56_B,B,9.22,-31.72,-45.966,-48.13,-5.07,-10.767,-69.465,-17.969,2.821,-0.1654,swarm_255_11.pdb
top_57_A,A,top_57_B,B,6.64,-25.02,-43.741,91.18,72.33,-8.074,143.819,8.74,-0.996,-0.0103,swarm_348_113.pdb
top_58_A,A,top_58_B,B,4.26,-25.95,-39.316,23.62,30.95,-6.359,-23.027,-6.02,6.2,0.0261,swarm_353_102.pdb
top_59_A,A,top_59_B,B,6.2,-24.7,-45.254,28.44,55.15,-21.54,-0.067,1.154,4.513,-0.1229,swarm_201_142.pdb
top_60_A,A,top_60_B,B,11.38,-13.2,-34.188,217.13,174.14,-14.249,306.415,24.637,3.413,0.0679,swarm_171_198.pdb
top_61_A,A,top_61_B,B,1.42,-26.26,-44.844,-56.89,-1.42,-15.741,-45.593,-24.859,12.102,-0.2185,swarm_15_186.pdb
top_62_A,A,top_62_B,B,2.8,-31.91,-42.407,-26.27,-0.58,-16.442,15.71,-7.86,1.371,-0.1393,swarm_99_62.pdb
top_63_A,A,top_63_B,B,12.84,-29.2,-39.03,23.03,39.3,-11.104,-37.762,4.321,-0.66,0.0998,swarm_252_162.pdb
top_64_A,A,top_64_B,B,-6.46,-28.65,-40.272,-57.31,-11.13,-12.367,-14.359,-18.476,5.677,-0.1998,swarm_144_14.pdb
top_65_A,A,top_65_B,B,-0.44,-26.63,-42.279,-67.27,-20.4,-4.863,-51.692,-5.186,-0.127,-0.2877,swarm_316_67.pdb
top_66_A,A,top_66_B,B,-0.26,-24.06,-38.581,10.5,24.31,-9.565,10.958,-2.263,-2.882,-0.0476,swarm_36_11.pdb
top_67_A,A,top_67_B,B,9.34,-36.88,-48.628,0.43,15.57,-20.115,-19.871,-4.446,6.705,-0.0557,swarm_156_100.pdb
top_68_A,A,top_68_B,B,5.74,-25.18,-37.649,13.55,25.84,-12.822,14.479,-10.808,0.87,0.0545,swarm_130_43.pdb
top_69_A,A,top_69_B,B,11.26,-28.94,-42.217,-15.75,-8.62,-21.374,-57.578,-3.859,4.207,-0.1466,swarm_6_1.pdb
top_70_A,A,top_70_B,B,2.38,-23.94,-42.262,13.58,32.66,-14.933,-13.073,2.819,5.344,-0.1013,swarm_149_21.pdb
top_71_A,A,top_71_B,B,4.94,-25.86,-39.661,-4.89,-12.86,-14.08,-25.258,-0.416,-1.023,0.009,swarm_67_173.pdb
top_72_A,A,top_72_B,B,0.26,-24.83,-42.585,85.12,72.14,-21.67,145.407,-0.913,6.459,-0.0402,swarm_325_55.pdb
top_73_A,A,top_73_B,B,4.72,-30.78,-47.965,24.91,17.44,-17.702,-23.669,-2.893,0.558,-0.0277,swarm_38_69.pdb
top_74_A,A,top_74_B,B,-0.86,-26.69,-39.574,-67.47,-27.17,-10.663,-29.61,-14.703,19.099,-0.0711,swarm_364_105.pdb
top_75_A,A,top_75_B,B,5.18,-23.33,-36.904,-27.0,-16.51,-19.375,-78.844,-21.344,1.838,-0.0249,swarm_196_136.pdb
top_76_A,A,top_76_B,B,4.7,-26.32,-37.894,-48.25,-13.53,-8.658,-68.501,-10.303,0.486,0.1225,swarm_215_107.pdb
top_77_A,A,top_77_B,B,7.38,-23.85,-39.262,27.38,40.2,-13.321,-31.534,5.425,2.085,-0.002,swarm_55_31.pdb
top_78_A,A,top_78_B,B,5.44,-21.46,-39.83,-48.51,-19.85,0.418,-40.934,9.128,1.173,-0.0069,swarm_375_175.pdb
top_79_A,A,top_79_B,B,-5.24,-23.92,-37.762,-13.26,-9.09,-26.141,-10.03,-26.978,8.834,-0.0119,swarm_349_90.pdb
top_80_A,A,top_80_B,B,-0.14,-23.31,-42.988,-16.98,8.72,-9.97,-12.803,9.617,10.501,-0.1114,swarm_310_106.pdb
top_81_A,A,top_81_B,B,-12.78,-10.11,-35.638,503.85,286.71,-20.433,521.592,39.169,3.235,0.0464,swarm_114_156.pdb
