pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,3.36,-39.63,-60.144,-82.92,-22.23,-10.837,-50.601,-16.96,-0.3,-0.2269,swarm_44_12.pdb
top_2_A,A,top_2_B,B,5.24,-36.97,-57.407,-25.48,20.53,-13.079,-77.585,-26.695,0.693,-0.369,swarm_62_95.pdb
top_3_A,A,top_3_B,B,2.26,-30.32,-46.635,-66.14,0.59,-19.15,-58.626,-1.825,-3.042,-0.0713,swarm_328_4.pdb
top_4_A,A,top_4_B,B,1.84,-36.83,-55.836,-12.7,35.83,-22.251,10.353,-16.939,0.043,-0.091,swarm_169_140.pdb
top_5_A,A,top_5_B,B,-0.12,-30.93,-47.176,-28.65,41.29,-20.637,5.899,-30.296,-0.832,-0.0853,swarm_132_198.pdb
top_6_A,A,top_6_B,B,0.52,-34.8,-50.994,-48.94,-15.07,-18.685,-24.122,-34.042,5.674,-0.0766,swarm_257_116.pdb
top_7_A,A,top_7_B,B,-6.24,-37.38,-51.381,-121.76,-61.42,-47.808,-26.586,-53.895,2.923,-0.4561,swarm_218_142.pdb
top_8_A,A,top_8_B,B,-10.08,-28.31,-48.123,42.96,56.2,-29.268,107.076,-38.842,13.128,-0.2815,swarm_309_33.pdb
top_9_A,A,top_9_B,B,6.76,-29.57,-46.461,-67.54,-11.14,-28.996,-100.352,-33.102,1.69,-0.2844,swarm_64_187.pdb
top_10_A,A,top_10_B,B,5.4,-34.69,-50.64,-49.43,17.23,-19.243,-26.009,-27.72,-0.114,-0.081,swarm_5_33.pdb
top_11_A,A,top_11_B,B,11.82,-33.33,-52.294,-40.36,-2.98,-29.136,-46.849,-33.372,-4.057,-0.1181,swarm_37_135.pdb
top_12_A,A,top_12_B,B,6.84,-26.63,-51.445,34.51,68.33,-21.337,51.918,-9.231,-4.084,-0.0022,swarm_67_133.pdb
top_13_A,A,top_13_B,B,-6.28,-24.86,-43.348,189.32,150.79,-10.493,298.792,4.564,-1.416,0.1119,swarm_333_108.pdb
top_14_A,A,top_14_B,B,-1.1,-30.87,-49.114,30.05,51.4,-7.232,102.437,0.504,-1.015,-0.2111,swarm_296_78.pdb
top_15_A,A,top_15_B,B,2.52,-31.53,-45.341,-96.03,-45.65,-3.372,-66.903,-14.129,-1.095,-0.1909,swarm_119_70.pdb
top_16_A,A,top_16_B,B,-2.06,-35.33,-50.435,-84.48,-23.28,-39.165,-46.438,-50.765,9.124,-0.2113,swarm_94_147.pdb
top_17_A,A,top_17_B,B,9.68,-27.3,-48.006,13.91,40.35,-35.645,-32.266,-33.821,0.037,-0.046,swarm_7_63.pdb
top_18_A,A,top_18_B,B,-3.8,-31.7,-47.955,-41.86,-6.04,-42.845,-11.927,-55.858,9.483,-0.3774,swarm_22_19.pdb
top_19_A,A,top_19_B,B,-1.76,-33.37,-47.074,21.32,24.66,-19.007,20.649,-20.131,4.374,0.055,swarm_178_24.pdb
top_20_A,A,top_20_B,B,-7.04,-29.56,-46.798,-51.49,-20.06,-35.587,27.114,-42.906,7.036,-0.4331,swarm_22_103.pdb
top_21_A,A,top_21_B,B,-2.16,-30.27,-46.833,25.08,14.37,-12.251,-2.331,-23.968,1.063,-0.3456,swarm_3_112.pdb
top_22_A,A,top_22_B,B,1.04,-27.08,-47.605,62.44,43.79,-3.455,14.724,-14.372,1.258,0.0239,swarm_126_63.pdb
top_23_A,A,top_23_B,B,-5.62,-34.0,-51.778,-12.92,49.8,-32.078,26.991,-21.656,-0.003,-0.3589,swarm_270_198.pdb
top_24_A,A,top_24_B,B,-1.9,-31.76,-50.35,40.79,68.09,-30.197,47.075,-24.971,-2.974,-0.0416,swarm_271_154.pdb
top_25_A,A,top_25_B,B,0.88,-25.8,-46.119,36.26,44.12,-9.416,67.643,8.482,-7.867,0.044,swarm_288_183.pdb
top_26_A,A,top_26_B,B,2.82,-33.68,-48.933,5.0,32.79,-14.183,-14.002,-16.464,7.721,0.3066,swarm_326_7.pdb
top_27_A,A,top_27_B,B,3.32,-26.9,-40.551,-115.41,-34.28,-22.75,-58.087,-25.831,1.933,-0.2234,swarm_222_195.pdb
top_28_A,A,top_28_B,B,0.24,-27.59,-44.025,47.63,58.86,-30.269,55.841,-32.691,-3.43,-0.147,swarm_290_129.pdb
top_29_A,A,top_29_B,B,-2.38,-32.05,-47.137,-29.75,-10.8,-23.285,-14.301,-17.501,2.946,-0.067,swarm_270_136.pdb
top_30_A,A,top_30_B,B,0.18,-22.47,-40.892,4.62,24.41,-12.103,22.665,-10.589,-0.468,0.003,swarm_2_188.pdb
top_31_A,A,top_31_B,B,1.48,-24.96,-40.843,20.51,26.65,-14.883,-52.049,-10.552,-8.149,-0.0031,swarm_177_14.pdb
top_32_A,A,top_32_B,B,1.12,-29.53,-44.768,-30.44,-3.77,-33.379,-4.594,-46.442,5.2,-0.0939,swarm_99_129.pdb
top_33_A,A,top_33_B,B,-3.46,-19.91,-41.003,49.43,80.31,-15.249,171.069,-13.94,3.165,0.1246,swarm_322_97.pdb
top_34_A,A,top_34_B,B,4.74,-19.83,-44.635,146.18,132.31,-8.612,162.949,23.114,-15.851,0.1753,swarm_185_4.pdb
top_35_A,A,top_35_B,B,3.8,-26.93,-47.303,35.15,46.03,-21.195,48.674,-21.515,-1.426,-0.2052,swarm_246_17.pdb
top_36_A,A,top_36_B,B,0.74,-31.99,-47.194,-45.89,-4.62,-28.55,28.396,-35.106,9.118,-0.3768,swarm_167_186.pdb
top_37_A,A,top_37_B,B,-1.46,-26.29,-43.728,8.24,50.93,-8.094,55.401,-5.555,-2.444,-0.2703,swarm_189_176.pdb
top_38_A,A,top_38_B,B,-2.62,-26.75,-47.85,52.52,29.05,-17.043,58.951,6.996,-15.796,0.0052,swarm_83_117.pdb
top_39_A,A,top_39_B,B,4.28,-30.23,-45.922,2.32,22.74,-21.715,-6.721,-42.14,-0.539,-0.0713,swarm_260_4.pdb
top_40_A,A,top_40_B,B,-2.22,-26.8,-39.123,-39.9,-21.03,-27.074,28.757,-43.953,3.8,-0.297,swarm_306_67.pdb
top_41_A,A,top_41_B,B,-0.62,-22.55,-38.04,43.29,45.96,-11.65,30.209,-15.306,1.492,-0.0789,swarm_189_89.pdb
top_42_A,A,top_42_B,B,5.46,-25.68,-40.023,87.52,64.1,-24.96,71.71,-12.373,-1.642,0.1941,swarm_118_163.pdb
top_43_A,A,top_43_B,B,2.34,-21.65,-41.559,100.55,58.57,-13.979,60.018,3.995,-9.29,0.0468,swarm_184_192.pdb
top_44_A,A,top_44_B,B,-2.26,-29.34,-44.047,-52.76,-11.26,-31.63,-62.991,-40.413,6.507,-0.4406,swarm_68_46.pdb
top_45_A,A,top_45_B,B,-0.06,-25.16,-40.878,-14.14,22.7,-8.487,36.175,-5.649,8.651,-0.2199,swarm_210_66.pdb
top_46_A,A,top_46_B,B,3.32,-28.08,-42.847,-65.03,-30.09,-21.302,-48.066,-31.389,4.511,-0.299,swarm_220_167.pdb
top_47_A,A,top_47_B,B,-5.84,-30.79,-45.665,-71.24,-10.51,-5.065,-19.451,-25.923,5.169,-0.1605,swarm_42_99.pdb
top_48_A,A,top_48_B,B,2.66,-25.27,-44.167,30.65,35.02,-3.583,9.389,1.655,3.537,-0.0046,swarm_42_8.pdb
top_49_A,A,top_49_B,B,-2.9,-24.56,-35.073,22.39,34.66,-3.98,34.617,-15.729,-3.336,-0.0721,swarm_175_168.pdb
top_50_A,A,top_50_B,B,-6.9,-30.18,-49.651,12.9,72.68,-17.071,93.893,7.981,-10.468,-0.2695,swarm_176_11.pdb
top_51_A,A,top_51_B,B,4.96,-24.14,-41.373,13.84,29.54,-15.82,-29.068,-2.804,-11.613,0.1015,swarm_246_155.pdb
top_52_A,A,top_52_B,B,-0.2,-24.86,-37.434,8.32,14.99,-3.399,-37.138,-16.348,-1.027,-0.1889,swarm_62_53.pdb
top_53_A,A,top_53_B,B,-1.94,-30.17,-46.194,16.75,45.78,-10.023,61.856,-18.915,4.836,-0.0239,swarm_31_99.pdb
top_54_A,A,top_54_B,B,-1.02,-29.06,-46.264,-2.55,44.34,-32.167,67.291,-37.095,-0.967,-0.1624,swarm_4_92.pdb
