pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.04,-14.44,-42.0007,104.09,122.47,-18.714,210.615,29.82,-12.08,0.1951,swarm_121_48.pdb
top_2_A,A,top_2_B,B,10.98,-23.13,-44.5817,141.85,103.7,-13.949,64.886,18.279,-10.557,-0.0132,swarm_98_115.pdb
top_3_A,A,top_3_B,B,3.46,-20.01,-39.838,109.99,81.6,-14.862,95.316,17.268,-7.783,0.035,swarm_47_109.pdb
top_4_A,A,top_4_B,B,10.3,-10.83,-33.1733,117.81,113.08,-10.118,194.883,29.364,-8.391,0.0892,swarm_192_106.pdb
top_5_A,A,top_5_B,B,-1.3,-27.11,-35.7501,-43.63,-25.74,-17.754,-59.936,-30.847,3.534,-0.2075,swarm_84_62.pdb
top_6_A,A,top_6_B,B,9.62,-22.21,-41.8668,36.92,63.21,-24.62,-4.35,11.238,-7.694,0.0233,swarm_7_56.pdb
top_7_A,A,top_7_B,B,9.28,-21.54,-38.2777,58.44,63.94,-12.04,-13.638,9.479,-6.381,0.084,swarm_134_39.pdb
top_8_A,A,top_8_B,B,5.64,-24.53,-41.1729,-10.75,8.91,-7.259,-9.652,12.606,-5.108,-0.1528,swarm_340_178.pdb
top_9_A,A,top_9_B,B,5.94,-20.42,-37.1989,-5.76,49.19,-12.269,-24.475,17.011,-9.299,-0.0591,swarm_120_192.pdb
top_10_A,A,top_10_B,B,6.36,-25.61,-46.3403,122.77,156.65,-11.199,111.291,17.715,-12.937,0.219,swarm_314_191.pdb
top_11_A,A,top_11_B,B,9.78,-18.09,-37.5303,-33.72,-8.11,-14.371,-79.506,8.041,-4.65,-0.0435,swarm_47_136.pdb
top_12_A,A,top_12_B,B,6.22,-17.0,-33.5848,-46.69,-4.25,-12.32,-65.392,3.541,-4.622,-0.0797,swarm_80_39.pdb
top_13_A,A,top_13_B,B,11.3,-19.5,-39.7714,24.96,33.41,-15.346,-43.648,12.548,-9.632,0.1938,swarm_270_44.pdb
top_14_A,A,top_14_B,B,11.6,-24.25,-43.3001,-7.63,14.95,0.518,-24.194,25.922,-8.64,-0.2281,swarm_98_124.pdb
top_15_A,A,top_15_B,B,4.66,-16.17,-35.4071,49.6,54.61,-4.665,54.128,14.639,-4.75,0.0695,swarm_296_4.pdb
top_16_A,A,top_16_B,B,5.72,-24.55,-41.7852,47.08,48.67,-7.543,-8.97,16.662,-8.06,0.2844,swarm_342_11.pdb
top_17_A,A,top_17_B,B,-0.8,-18.1,-33.2518,-19.91,28.64,-10.983,48.48,7.057,0.471,0.1202,swarm_83_169.pdb
top_18_A,A,top_18_B,B,8.64,-18.51,-36.1784,-8.27,29.35,-10.933,-23.433,21.251,-3.532,-0.2722,swarm_226_184.pdb
top_19_A,A,top_19_B,B,15.48,-18.88,-35.1737,-53.53,-25.28,-11.081,-53.128,14.511,-8.788,-0.1481,swarm_155_164.pdb
top_20_A,A,top_20_B,B,10.34,-18.22,-31.8716,-2.45,2.12,-10.291,-54.938,12.87,-4.393,-0.1878,swarm_316_47.pdb
top_21_A,A,top_21_B,B,6.6,-15.98,-34.8809,115.72,119.7,-4.937,220.078,26.92,-3.771,0.1715,swarm_355_152.pdb
top_22_A,A,top_22_B,B,12.36,-22.37,-32.4225,-15.23,8.82,-4.869,-75.577,4.536,-9.68,0.0439,swarm_233_180.pdb
top_23_A,A,top_23_B,B,10.1,-19.89,-35.5698,91.72,95.46,-19.99,28.951,9.266,-8.703,0.068,swarm_55_87.pdb
top_24_A,A,top_24_B,B,5.56,-15.98,-29.7167,-69.87,-27.36,-16.8,-72.748,2.342,-5.116,-0.0637,swarm_350_147.pdb
top_25_A,A,top_25_B,B,2.12,-18.3,-25.8851,-20.91,-7.82,-3.626,-61.956,-9.708,-4.942,-0.0518,swarm_29_119.pdb
top_26_A,A,top_26_B,B,11.08,-20.75,-28.837,-58.76,-15.6,-7.613,-55.124,-2.902,-9.11,-0.1713,swarm_131_14.pdb
top_27_A,A,top_27_B,B,6.36,-15.13,-28.866,4.98,19.97,-8.754,-33.108,10.586,-3.381,-0.1767,swarm_353_30.pdb
top_28_A,A,top_28_B,B,3.22,-18.66,-28.7996,27.72,19.24,-3.988,-52.216,5.162,-8.855,-0.1801,swarm_276_150.pdb
top_29_A,A,top_29_B,B,11.48,-18.73,-31.6056,-42.53,-13.25,-2.131,-63.0,11.572,-6.056,-0.1261,swarm_130_30.pdb
top_30_A,A,top_30_B,B,5.54,-17.47,-31.5522,-46.49,-4.74,-5.824,-49.167,10.087,-1.833,-0.1328,swarm_120_51.pdb
top_31_A,A,top_31_B,B,5.5,-15.03,-27.6974,25.61,27.63,-9.709,26.626,18.61,-0.994,0.2036,swarm_240_182.pdb
top_32_A,A,top_32_B,B,14.1,-26.7,-47.4421,71.14,68.31,-22.475,37.632,11.804,-14.545,-0.0511,swarm_371_130.pdb
top_33_A,A,top_33_B,B,4.56,-20.7,-30.0806,-8.06,33.95,12.936,-21.41,31.021,-5.287,-0.0242,swarm_295_41.pdb
top_34_A,A,top_34_B,B,6.7,-18.66,-30.7149,18.32,8.13,7.815,-49.45,22.322,-5.793,-0.0094,swarm_276_125.pdb
top_35_A,A,top_35_B,B,11.86,-14.52,-28.8253,-13.21,10.4,-6.172,-21.937,13.355,-10.705,-0.0399,swarm_155_197.pdb
top_36_A,A,top_36_B,B,8.54,-18.13,-37.6475,-2.35,36.78,-7.705,94.716,35.803,-8.33,-0.1161,swarm_232_15.pdb
top_37_A,A,top_37_B,B,6.1,-18.69,-31.2963,-11.12,17.52,-4.802,3.064,23.022,-10.387,0.074,swarm_288_122.pdb
