pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.8,-29.64,-75.908,125.17,168.71,-19.845,223.252,28.164,7.374,-0.1152,swarm_997_127.pdb
top_2_A,A,top_2_B,B,13.18,-33.72,-69.525,76.23,98.19,-6.575,-21.0,26.241,-13.057,0.1882,swarm_425_78.pdb
top_3_A,A,top_3_B,B,7.26,-31.46,-65.481,41.51,57.55,-26.59,-6.962,7.114,0.732,0.0626,swarm_1225_55.pdb
top_4_A,A,top_4_B,B,17.26,-30.28,-62.523,-99.66,-42.06,-22.663,-156.267,-7.312,-7.957,-0.1105,swarm_500_96.pdb
top_5_A,A,top_5_B,B,12.18,-19.34,-58.517,94.53,68.85,-20.57,105.344,13.778,-7.981,0.2141,swarm_1228_139.pdb
top_6_A,A,top_6_B,B,31.72,-34.89,-73.394,69.81,72.72,-27.003,-53.681,37.369,-26.091,-0.0977,swarm_1046_90.pdb
top_7_A,A,top_7_B,B,10.9,-20.78,-61.009,-27.44,28.0,-21.857,-57.306,29.003,-10.569,0.167,swarm_131_79.pdb
top_8_A,A,top_8_B,B,12.12,-25.87,-61.218,49.46,26.78,-31.241,-73.313,14.031,-11.359,0.1334,swarm_58_162.pdb
top_9_A,A,top_9_B,B,21.58,-27.89,-63.098,1.99,31.97,-18.438,-49.811,17.6,-8.442,0.0002,swarm_277_49.pdb
top_10_A,A,top_10_B,B,15.18,-31.73,-68.356,50.83,67.43,-1.481,-29.206,39.722,-13.014,0.1209,swarm_510_7.pdb
top_11_A,A,top_11_B,B,5.74,-31.07,-66.672,-52.05,10.15,-28.94,-37.702,-12.704,-1.2,-0.068,swarm_861_103.pdb
top_12_A,A,top_12_B,B,5.4,-27.76,-55.821,49.27,56.51,-18.19,-17.374,12.626,-7.804,-0.025,swarm_484_177.pdb
top_13_A,A,top_13_B,B,18.22,-28.38,-64.319,54.24,44.2,-22.152,7.37,19.975,-18.102,-0.1764,swarm_1159_107.pdb
top_14_A,A,top_14_B,B,18.44,-26.96,-60.028,-28.07,34.08,-11.766,-98.924,22.932,-11.763,-0.276,swarm_1232_178.pdb
top_15_A,A,top_15_B,B,14.62,-26.88,-55.695,-2.85,21.88,-23.094,-47.25,13.96,-19.126,-0.0426,swarm_848_146.pdb
top_16_A,A,top_16_B,B,14.56,-28.02,-57.804,-35.34,14.73,-16.824,-77.709,22.069,-4.301,-0.144,swarm_333_104.pdb
top_17_A,A,top_17_B,B,6.76,-28.56,-61.323,-102.46,-7.14,-22.235,-63.2,-9.396,1.824,-0.0473,swarm_494_39.pdb
top_18_A,A,top_18_B,B,29.32,-31.29,-73.567,171.67,136.67,-16.753,27.797,44.914,-21.673,0.2761,swarm_443_15.pdb
top_19_A,A,top_19_B,B,20.06,-27.87,-63.179,-29.91,3.09,-30.356,-85.167,11.296,-9.592,0.007,swarm_697_38.pdb
top_20_A,A,top_20_B,B,8.68,-24.02,-51.289,29.04,36.34,-25.89,-24.988,5.734,-12.765,-0.1572,swarm_91_132.pdb
top_21_A,A,top_21_B,B,10.02,-30.49,-58.034,108.56,75.51,-27.433,7.57,15.899,-5.49,0.0849,swarm_583_177.pdb
top_22_A,A,top_22_B,B,9.66,-23.19,-47.829,87.54,77.95,-28.43,15.689,13.405,-5.682,0.0839,swarm_1146_144.pdb
top_23_A,A,top_23_B,B,12.84,-26.34,-62.266,68.2,78.91,-23.282,32.461,22.586,-6.621,-0.5409,swarm_156_0.pdb
top_24_A,A,top_24_B,B,6.98,-19.99,-50.077,72.64,125.01,-29.982,214.755,7.027,-10.471,-0.342,swarm_1084_159.pdb
top_25_A,A,top_25_B,B,18.38,-30.22,-60.496,-11.07,40.98,-27.458,-54.09,29.201,-13.857,-0.0706,swarm_479_38.pdb
top_26_A,A,top_26_B,B,6.54,-27.26,-51.447,-7.96,2.75,-28.765,-52.374,-5.113,-9.365,-0.1207,swarm_1153_51.pdb
top_27_A,A,top_27_B,B,27.2,-28.25,-63.516,132.14,120.6,-18.169,56.975,48.128,-23.391,0.1276,swarm_1138_87.pdb
top_28_A,A,top_28_B,B,7.44,-27.08,-59.523,-11.21,6.56,-21.102,-43.955,-8.027,5.636,-0.0538,swarm_983_184.pdb
top_29_A,A,top_29_B,B,4.14,-21.89,-54.54,-95.98,-10.23,-6.861,-53.853,-12.776,6.474,-0.0622,swarm_616_161.pdb
top_30_A,A,top_30_B,B,24.84,-23.38,-59.313,109.18,103.15,-21.803,45.093,44.001,-19.593,0.0155,swarm_277_188.pdb
top_31_A,A,top_31_B,B,18.94,-21.71,-56.863,61.27,56.61,-1.545,-25.902,61.772,-19.574,0.1019,swarm_206_1.pdb
top_32_A,A,top_32_B,B,13.3,-24.98,-50.592,92.35,64.88,-40.352,-57.761,-10.335,-15.91,-0.0195,swarm_1087_4.pdb
top_33_A,A,top_33_B,B,3.54,-25.86,-53.884,-31.4,14.46,-11.205,35.628,18.503,0.014,-0.1356,swarm_61_79.pdb
top_34_A,A,top_34_B,B,13.68,-22.15,-49.242,5.42,13.03,-6.862,-92.217,9.896,-5.858,0.1347,swarm_481_68.pdb
top_35_A,A,top_35_B,B,9.42,-19.09,-49.69,101.06,66.59,-20.392,81.252,24.102,-6.954,-0.0059,swarm_286_124.pdb
top_36_A,A,top_36_B,B,9.34,-31.75,-51.22,20.92,41.77,-4.093,-10.204,7.336,-13.96,-0.0854,swarm_121_168.pdb
top_37_A,A,top_37_B,B,14.66,-29.73,-53.923,67.13,38.83,-10.421,-64.685,17.364,-8.919,-0.2354,swarm_983_104.pdb
top_38_A,A,top_38_B,B,8.36,-26.4,-57.488,70.52,93.13,-25.339,104.038,11.519,-2.692,-0.1663,swarm_709_197.pdb
top_39_A,A,top_39_B,B,26.24,-27.77,-63.047,97.86,87.6,-23.763,10.191,38.416,-19.338,-0.0254,swarm_1088_126.pdb
top_40_A,A,top_40_B,B,22.76,-26.25,-55.606,68.93,62.27,-12.052,-31.66,24.626,-14.655,0.3195,swarm_635_93.pdb
