pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,8.68,-24.1,-48.979,14.83,4.43,-8.782,-94.496,11.004,-3.813,-0.012,swarm_90_25.pdb
top_2_A,A,top_2_B,B,8.78,-24.74,-47.119,-78.28,-15.88,-25.83,-58.337,5.781,-5.987,0.1569,swarm_32_189.pdb
top_3_A,A,top_3_B,B,6.42,-28.56,-54.487,9.38,30.88,-10.957,-124.977,4.671,9.878,0.1853,swarm_140_28.pdb
top_4_A,A,top_4_B,B,9.62,-24.06,-47.732,-23.31,-6.61,-22.687,-47.82,-8.332,-5.434,-0.155,swarm_189_162.pdb
top_5_A,A,top_5_B,B,12.12,-17.83,-49.648,31.77,55.39,-12.076,-8.589,42.919,-1.667,0.0328,swarm_95_160.pdb
top_6_A,A,top_6_B,B,4.72,-32.66,-52.73,20.98,35.02,-15.624,-35.137,-25.516,7.607,-0.2154,swarm_124_154.pdb
top_7_A,A,top_7_B,B,13.28,-20.78,-45.028,-38.83,9.35,-14.666,-86.593,26.176,-6.452,-0.112,swarm_15_86.pdb
top_8_A,A,top_8_B,B,7.12,-27.94,-43.451,-11.71,-13.91,-18.142,-81.873,-15.287,-1.821,-0.0148,swarm_306_171.pdb
top_9_A,A,top_9_B,B,-0.06,-29.92,-50.412,0.73,34.4,-8.057,-21.121,-11.125,9.969,0.6725,swarm_79_97.pdb
top_10_A,A,top_10_B,B,6.54,-12.36,-39.984,-34.77,-15.57,-24.605,-61.989,19.02,-2.282,-0.1682,swarm_81_159.pdb
top_11_A,A,top_11_B,B,9.94,-20.29,-45.643,-16.38,51.16,-10.823,-78.743,30.939,-3.795,0.0035,swarm_84_169.pdb
top_12_A,A,top_12_B,B,-1.7,-16.63,-42.539,9.76,35.33,-31.74,46.636,-11.993,-0.224,-0.2304,swarm_103_95.pdb
top_13_A,A,top_13_B,B,13.6,-17.88,-42.252,-62.16,-6.9,-11.534,-84.867,8.752,-8.324,-0.0355,swarm_84_84.pdb
top_14_A,A,top_14_B,B,16.52,-21.53,-44.412,117.42,65.72,-47.359,-22.174,0.572,-7.717,0.138,swarm_313_124.pdb
top_15_A,A,top_15_B,B,7.82,-18.24,-46.754,-19.3,31.34,-18.532,-10.997,30.764,-1.61,0.2177,swarm_311_26.pdb
top_16_A,A,top_16_B,B,-0.02,-20.38,-40.235,13.05,24.85,-12.289,-54.38,-10.779,6.992,0.0658,swarm_311_179.pdb
top_17_A,A,top_17_B,B,4.28,-26.71,-41.985,3.71,31.68,-20.549,52.804,-31.502,3.29,0.0978,swarm_24_118.pdb
top_18_A,A,top_18_B,B,7.28,-22.95,-37.884,1.01,5.25,-5.271,-55.752,0.54,-1.714,-0.107,swarm_28_143.pdb
top_19_A,A,top_19_B,B,9.08,-13.62,-36.212,98.27,67.84,-17.937,92.114,13.566,1.573,-0.1625,swarm_200_9.pdb
top_20_A,A,top_20_B,B,10.92,-16.17,-39.259,-4.38,26.15,-0.343,-84.966,26.25,-8.924,0.0622,swarm_303_66.pdb
top_21_A,A,top_21_B,B,15.86,-17.06,-45.811,-27.02,39.57,-6.043,-61.02,30.02,-7.675,0.0958,swarm_103_67.pdb
top_22_A,A,top_22_B,B,13.12,-3.69,-31.195,256.37,160.43,-17.367,165.157,25.841,-4.655,0.2704,swarm_313_157.pdb
top_23_A,A,top_23_B,B,5.76,-20.03,-40.345,17.21,11.77,-27.726,22.917,-21.918,0.882,0.1277,swarm_327_123.pdb
top_24_A,A,top_24_B,B,8.14,-17.19,-39.455,-31.45,-19.51,-11.682,-66.827,33.169,-2.774,-0.2199,swarm_293_130.pdb
top_25_A,A,top_25_B,B,9.02,-12.69,-38.438,-42.41,15.24,-5.187,-51.548,26.841,-4.542,-0.1052,swarm_208_91.pdb
top_26_A,A,top_26_B,B,6.38,-24.11,-41.235,-22.38,10.8,-18.655,-39.541,-19.662,-0.601,-0.0697,swarm_193_119.pdb
top_27_A,A,top_27_B,B,9.96,-13.27,-35.559,41.81,45.77,-31.925,50.678,-13.605,2.456,0.0678,swarm_84_120.pdb
top_28_A,A,top_28_B,B,5.42,-14.36,-38.046,86.23,66.39,-7.759,49.69,17.749,0.825,0.1741,swarm_88_141.pdb
top_29_A,A,top_29_B,B,2.78,-20.42,-40.853,-13.19,6.97,-17.234,-88.26,6.176,-3.751,-0.2635,swarm_15_79.pdb
top_30_A,A,top_30_B,B,11.3,-17.68,-40.693,-26.06,3.43,-8.33,-74.912,21.633,-2.454,0.2235,swarm_172_86.pdb
top_31_A,A,top_31_B,B,8.0,-11.96,-35.664,-10.47,2.05,-3.934,-74.11,34.291,-2.923,-0.069,swarm_217_92.pdb
top_32_A,A,top_32_B,B,4.14,30.72,-26.013,1344.55,897.79,-70.065,1931.023,176.485,-21.173,0.9216,swarm_84_184.pdb
top_33_A,A,top_33_B,B,14.82,-19.66,-49.847,61.27,70.45,1.271,-38.084,47.889,-1.64,-0.0592,swarm_80_7.pdb
top_34_A,A,top_34_B,B,8.18,-20.32,-41.116,54.89,46.89,-16.602,-10.288,10.966,-1.308,0.0897,swarm_207_25.pdb
top_35_A,A,top_35_B,B,9.24,-19.7,-37.841,-65.71,-11.39,-16.763,-77.781,12.529,-6.684,-0.0622,swarm_23_61.pdb
