pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,14.66,-24.91,-48.286,25.31,48.26,-23.741,5.471,5.442,-13.801,0.1262,swarm_220_152.pdb
top_2_A,A,top_2_B,B,22.52,-28.49,-52.847,-58.77,-5.51,-33.602,-81.924,-0.654,-14.956,-0.042,swarm_359_58.pdb
top_3_A,A,top_3_B,B,24.18,-20.89,-45.433,64.29,80.88,-9.052,-14.219,11.463,-17.113,0.0279,swarm_366_33.pdb
top_4_A,A,top_4_B,B,13.38,-20.67,-41.832,-109.18,-17.3,-16.597,-100.433,-4.207,-9.156,-0.1773,swarm_359_2.pdb
top_5_A,A,top_5_B,B,20.98,5.75,-27.259,328.9,287.72,-46.93,603.553,47.275,-15.382,0.5756,swarm_359_56.pdb
top_6_A,A,top_6_B,B,21.48,-13.96,-40.988,129.99,69.6,-15.72,45.376,28.959,-13.204,0.209,swarm_8_72.pdb
top_7_A,A,top_7_B,B,11.68,-16.74,-39.346,6.03,22.25,-12.167,-54.009,21.145,-9.37,-0.0034,swarm_359_82.pdb
top_8_A,A,top_8_B,B,11.28,-20.66,-43.456,9.12,20.04,-11.344,13.786,13.852,-9.792,0.0655,swarm_11_47.pdb
top_9_A,A,top_9_B,B,16.08,-24.43,-46.529,-5.06,29.87,-30.812,-37.821,14.433,-13.889,0.0926,swarm_278_54.pdb
top_10_A,A,top_10_B,B,5.58,-15.57,-35.384,19.6,26.81,-7.054,-45.805,18.353,-9.805,0.0035,swarm_46_77.pdb
top_11_A,A,top_11_B,B,14.38,-16.7,-35.824,-0.89,13.73,4.37,-82.368,32.73,-11.495,0.0174,swarm_99_124.pdb
top_12_A,A,top_12_B,B,12.16,-15.93,-36.481,-20.07,12.74,-17.255,-24.069,7.466,-6.232,0.0111,swarm_234_47.pdb
top_13_A,A,top_13_B,B,15.08,-18.31,-37.793,69.36,64.35,-13.6,5.804,23.159,-10.189,-0.0464,swarm_287_19.pdb
top_14_A,A,top_14_B,B,13.5,-15.01,-36.087,8.56,67.73,-26.882,64.269,1.433,-10.916,-0.0557,swarm_285_114.pdb
top_15_A,A,top_15_B,B,11.52,-20.61,-37.548,24.24,39.33,-5.956,-35.104,1.579,-10.873,0.1303,swarm_296_25.pdb
top_16_A,A,top_16_B,B,21.78,-29.45,-53.284,118.63,118.93,-25.518,56.903,22.019,-14.808,0.2209,swarm_268_7.pdb
top_17_A,A,top_17_B,B,16.3,-18.43,-41.123,12.89,25.25,-21.484,-1.549,14.613,-8.428,-0.1293,swarm_226_198.pdb
top_18_A,A,top_18_B,B,19.2,-17.82,-37.89,-19.84,4.14,-12.152,-101.915,17.152,-12.668,0.0047,swarm_278_6.pdb
top_19_A,A,top_19_B,B,20.2,-19.43,-41.03,67.86,45.69,-20.965,-54.788,6.885,-14.124,0.1351,swarm_116_115.pdb
top_20_A,A,top_20_B,B,20.64,-18.96,-44.431,34.33,54.84,-4.679,-48.543,42.058,-14.072,0.063,swarm_253_116.pdb
top_21_A,A,top_21_B,B,15.56,-19.38,-36.234,9.95,34.55,-9.436,-47.959,4.718,-9.664,-0.0047,swarm_254_193.pdb
top_22_A,A,top_22_B,B,10.62,-24.94,-38.301,-12.75,1.46,-21.015,-44.456,-14.44,-4.483,0.0039,swarm_33_151.pdb
top_23_A,A,top_23_B,B,8.62,-18.51,-40.235,15.31,28.84,-11.963,-54.986,19.985,-9.9,0.0182,swarm_366_159.pdb
