pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-2.8,-24.46,-38.94,9.26,29.62,-15.979,13.134,-19.121,15.639,-0.119,swarm_230_112.pdb
top_2_A,A,top_2_B,B,-3.94,-30.66,-38.475,5.12,27.09,-4.651,-72.212,-11.29,3.694,-0.1186,swarm_208_83.pdb
top_3_A,A,top_3_B,B,-1.68,-30.98,-39.294,-51.2,-11.04,-11.95,-57.915,-18.955,2.733,-0.123,swarm_7_89.pdb
top_4_A,A,top_4_B,B,-2.0,-28.39,-36.794,-94.64,-28.34,-5.017,-66.223,-7.538,3.953,-0.1807,swarm_230_143.pdb
top_5_A,A,top_5_B,B,1.3,-33.75,-42.178,-52.0,1.24,-11.728,-61.456,-17.791,3.523,-0.0458,swarm_54_104.pdb
top_6_A,A,top_6_B,B,5.04,-21.9,-34.748,71.78,37.7,-11.049,14.74,1.329,1.96,-0.0462,swarm_8_127.pdb
top_7_A,A,top_7_B,B,-0.54,-28.71,-37.936,-40.49,-11.27,-9.37,-54.322,-18.861,8.637,-0.1645,swarm_208_15.pdb
top_8_A,A,top_8_B,B,-9.34,5.1,-22.663,494.74,393.45,-11.35,953.562,84.038,6.801,-0.2908,swarm_208_8.pdb
top_9_A,A,top_9_B,B,1.12,-31.3,-40.812,-12.22,-11.41,-8.252,-55.017,-23.185,9.304,-0.0896,swarm_86_139.pdb
top_10_A,A,top_10_B,B,4.68,-23.59,-39.413,16.54,41.68,-1.835,70.346,14.682,6.456,0.0298,swarm_54_188.pdb
top_11_A,A,top_11_B,B,2.94,-27.62,-37.28,-52.89,-16.01,-5.337,-55.771,-12.688,4.411,-0.1334,swarm_227_22.pdb
top_12_A,A,top_12_B,B,2.38,-24.89,-34.168,35.71,41.23,-3.786,-24.543,0.15,1.539,0.0288,swarm_90_40.pdb
top_13_A,A,top_13_B,B,-1.52,-22.83,-34.784,-58.53,-14.22,-7.003,-22.056,-17.331,8.63,-0.1883,swarm_183_49.pdb
top_14_A,A,top_14_B,B,2.82,-21.54,-33.708,16.94,6.96,-3.293,-58.666,-4.996,3.948,-0.0527,swarm_157_85.pdb
top_15_A,A,top_15_B,B,2.58,-25.62,-33.31,29.97,20.7,-6.862,-32.067,-8.57,6.959,0.0229,swarm_8_185.pdb
top_16_A,A,top_16_B,B,0.22,-25.18,-33.144,-46.68,-12.69,-12.924,-23.596,-23.791,8.58,-0.1578,swarm_8_72.pdb
