pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,16.96,-52.26,-94.69,83.45,88.41,-42.409,55.755,-9.161,-4.958,-0.2569,swarm_57_197.pdb
top_2_A,A,top_2_B,B,-2.42,-34.84,-73.374,24.22,80.72,-36.694,49.254,-16.602,-3.168,-0.1424,swarm_57_151.pdb
top_3_A,A,top_3_B,B,8.88,-50.34,-90.335,-27.62,42.74,-36.726,-66.245,-26.432,7.166,-0.2838,swarm_233_67.pdb
top_4_A,A,top_4_B,B,5.86,-46.06,-80.833,15.68,37.6,-29.778,-95.426,-13.987,-0.543,-0.2947,swarm_233_123.pdb
top_5_A,A,top_5_B,B,3.72,-32.55,-73.888,137.78,143.82,-33.714,54.658,5.148,1.13,0.0481,swarm_410_110.pdb
top_6_A,A,top_6_B,B,4.7,-38.74,-70.781,-30.68,9.37,-38.189,-47.397,-35.739,-1.212,-0.2751,swarm_443_135.pdb
top_7_A,A,top_7_B,B,0.42,-37.97,-80.041,119.47,147.19,-33.264,123.924,-4.987,-1.519,0.0712,swarm_13_32.pdb
top_8_A,A,top_8_B,B,5.0,-37.2,-69.625,-15.91,40.11,-26.155,30.516,-13.7,-1.079,-0.2029,swarm_152_143.pdb
top_9_A,A,top_9_B,B,6.34,-41.2,-72.163,-30.68,-0.56,-23.761,-104.186,-16.872,2.283,-0.3046,swarm_410_81.pdb
top_10_A,A,top_10_B,B,3.22,-35.64,-68.886,-62.22,-24.34,-11.191,-102.871,-14.514,3.193,-0.1684,swarm_176_172.pdb
top_11_A,A,top_11_B,B,6.48,-41.72,-65.961,15.68,10.87,-30.487,-26.782,-37.216,1.9,-0.1945,swarm_176_95.pdb
top_12_A,A,top_12_B,B,8.54,-37.36,-69.578,-4.24,49.1,-27.995,-32.511,-11.574,-0.736,-0.0316,swarm_224_79.pdb
top_13_A,A,top_13_B,B,3.52,-30.21,-62.332,66.08,57.14,-22.095,-24.866,-9.879,-1.753,-0.0613,swarm_407_91.pdb
top_14_A,A,top_14_B,B,-3.48,-33.42,-68.385,42.73,61.47,-49.092,-21.175,-27.874,1.283,-0.1451,swarm_233_134.pdb
top_15_A,A,top_15_B,B,9.92,-44.05,-77.481,90.05,98.99,-45.667,79.231,-19.847,-4.634,0.0489,swarm_410_37.pdb
top_16_A,A,top_16_B,B,3.44,-30.26,-58.367,-74.21,-31.31,-22.225,-111.302,-18.172,1.147,-0.1153,swarm_528_149.pdb
top_17_A,A,top_17_B,B,-0.2,-38.95,-77.598,75.82,114.8,-22.957,12.066,-19.959,-0.795,-0.1275,swarm_243_109.pdb
top_18_A,A,top_18_B,B,10.88,-44.84,-72.592,41.94,116.57,-42.058,67.476,-20.886,-7.0,-0.1775,swarm_530_93.pdb
top_19_A,A,top_19_B,B,3.26,-38.73,-65.431,-37.62,30.88,-27.682,-82.425,-31.183,2.333,-0.0899,swarm_465_160.pdb
top_20_A,A,top_20_B,B,-3.82,-45.93,-89.86,-25.23,39.43,-36.147,-37.423,-28.203,3.632,-0.138,swarm_137_35.pdb
top_21_A,A,top_21_B,B,-2.36,-38.19,-76.149,28.03,38.03,-35.482,8.935,-15.836,-1.272,-0.2768,swarm_528_174.pdb
top_22_A,A,top_22_B,B,10.74,-33.5,-75.038,249.05,233.23,-28.608,219.059,14.345,-6.797,0.5454,swarm_239_124.pdb
top_23_A,A,top_23_B,B,4.06,-39.33,-63.453,-100.6,-6.46,-22.508,-74.182,-27.544,3.313,-0.165,swarm_81_189.pdb
top_24_A,A,top_24_B,B,4.84,-32.4,-63.071,-10.46,0.02,-3.674,-77.485,8.901,-0.542,-0.17,swarm_617_65.pdb
top_25_A,A,top_25_B,B,8.68,-32.9,-61.574,-14.95,17.89,-22.757,-65.756,-14.66,0.258,-0.0252,swarm_545_135.pdb
top_26_A,A,top_26_B,B,12.02,-42.24,-76.879,7.18,51.87,-28.55,-62.344,-23.154,2.222,-0.0689,swarm_613_54.pdb
top_27_A,A,top_27_B,B,8.08,-31.85,-68.917,-79.41,-7.44,-26.019,-124.02,-14.586,-1.067,-0.3843,swarm_613_52.pdb
top_28_A,A,top_28_B,B,8.64,-39.86,-72.486,-9.93,26.27,-44.039,-28.337,-39.069,-0.932,-0.136,swarm_528_16.pdb
top_29_A,A,top_29_B,B,6.0,-26.54,-59.289,9.16,42.17,-41.838,20.648,-9.263,-2.19,-0.2495,swarm_279_5.pdb
top_30_A,A,top_30_B,B,7.48,-31.31,-66.636,19.16,24.28,-54.986,16.213,-31.388,3.58,-0.015,swarm_275_102.pdb
