pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,9.48,-23.05,-43.917,-22.57,-16.45,-15.48,-102.078,-5.135,-6.073,-0.2682,swarm_490_157.pdb
top_2_A,A,top_2_B,B,20.1,-24.24,-44.498,7.27,37.34,-21.721,-72.825,-4.301,-9.286,0.1008,swarm_138_170.pdb
top_3_A,A,top_3_B,B,5.72,-23.43,-40.787,-33.19,-21.06,-21.101,-88.372,-16.915,-1.587,-0.1188,swarm_517_25.pdb
top_4_A,A,top_4_B,B,7.02,-23.2,-40.763,-48.03,-14.91,-19.226,-67.947,3.139,-5.4,-0.0477,swarm_455_92.pdb
top_5_A,A,top_5_B,B,9.46,-25.09,-42.222,-21.84,28.67,-13.814,-30.701,-6.872,-3.001,-0.1205,swarm_160_144.pdb
top_6_A,A,top_6_B,B,8.52,-17.85,-35.235,-33.67,0.07,-9.516,-43.71,0.148,-5.574,-0.173,swarm_316_166.pdb
top_7_A,A,top_7_B,B,11.22,-28.88,-44.729,5.54,18.97,-12.215,-79.318,-2.213,-2.623,0.0253,swarm_327_109.pdb
top_8_A,A,top_8_B,B,8.94,-24.07,-36.995,-17.88,4.03,-29.197,-51.284,-14.048,1.64,-0.0326,swarm_393_165.pdb
top_9_A,A,top_9_B,B,8.9,-25.57,-42.106,-28.64,-4.55,-20.478,-59.337,-11.165,-1.218,-0.2573,swarm_125_7.pdb
top_10_A,A,top_10_B,B,6.14,-22.63,-35.832,-66.84,-27.1,-6.177,-63.323,-17.061,2.269,-0.1072,swarm_382_50.pdb
top_11_A,A,top_11_B,B,5.78,-20.9,-36.768,-25.07,6.25,-15.591,-3.327,-5.737,-6.366,-0.305,swarm_205_199.pdb
top_12_A,A,top_12_B,B,11.26,-28.09,-44.757,47.64,18.28,-22.549,-75.996,-18.685,-5.092,0.1685,swarm_430_112.pdb
top_13_A,A,top_13_B,B,11.08,-25.15,-38.52,-15.76,-12.54,-19.861,-91.148,-16.701,-7.678,-0.1816,swarm_119_98.pdb
top_14_A,A,top_14_B,B,13.72,-27.56,-49.823,-66.29,-9.74,-29.363,-113.768,-23.499,-7.698,0.0781,swarm_466_178.pdb
top_15_A,A,top_15_B,B,7.26,-25.71,-35.867,-40.29,-11.64,-3.39,-80.904,-2.821,-5.861,-0.1112,swarm_251_93.pdb
top_16_A,A,top_16_B,B,10.3,-20.85,-36.935,-1.77,10.57,-12.265,-38.589,6.124,-4.782,0.0145,swarm_52_39.pdb
top_17_A,A,top_17_B,B,24.0,-16.4,-44.46,98.96,78.45,-15.93,178.869,14.899,-7.33,0.3187,swarm_138_140.pdb
top_18_A,A,top_18_B,B,12.5,-26.15,-47.395,61.89,46.08,-25.634,-101.155,-18.314,-4.84,-0.1208,swarm_138_114.pdb
top_19_A,A,top_19_B,B,7.5,-18.02,-33.248,-43.45,-21.79,-12.463,-35.464,-19.963,0.981,-0.0239,swarm_349_29.pdb
top_20_A,A,top_20_B,B,5.64,-19.11,-34.192,22.06,16.53,-12.118,-42.305,-3.686,-2.484,-0.078,swarm_304_2.pdb
top_21_A,A,top_21_B,B,10.9,-28.94,-45.88,-56.4,-10.66,-22.939,-21.861,-11.441,-5.568,-0.0595,swarm_459_71.pdb
top_22_A,A,top_22_B,B,8.18,-19.6,-38.02,-45.3,5.17,-31.351,-55.104,-19.343,0.224,-0.179,swarm_195_176.pdb
top_23_A,A,top_23_B,B,8.72,-19.06,-34.3,0.71,-15.06,-11.839,-44.802,0.596,-8.707,-0.0072,swarm_164_119.pdb
top_24_A,A,top_24_B,B,7.38,-19.15,-34.397,-7.89,3.39,-15.278,-45.116,-3.445,-0.559,-0.0766,swarm_456_131.pdb
top_25_A,A,top_25_B,B,10.0,-26.67,-37.896,-31.41,-12.95,-27.257,-36.998,-17.985,2.01,0.074,swarm_120_10.pdb
top_26_A,A,top_26_B,B,1.92,-22.17,-38.51,-14.61,-0.13,-16.609,-78.055,-25.315,1.986,-0.2257,swarm_365_134.pdb
top_27_A,A,top_27_B,B,4.7,-21.66,-31.395,-43.31,2.04,-6.386,-48.559,-7.536,-2.724,-0.0808,swarm_107_119.pdb
top_28_A,A,top_28_B,B,8.1,-20.23,-36.642,-19.98,-3.09,-16.183,-34.42,-1.668,-11.698,-0.1828,swarm_22_46.pdb
top_29_A,A,top_29_B,B,12.34,-23.94,-37.903,-30.87,9.87,-11.044,-68.773,-3.494,-6.21,0.0247,swarm_470_128.pdb
top_30_A,A,top_30_B,B,7.78,-21.75,-34.34,9.5,12.76,-6.313,-53.799,10.229,-0.004,0.044,swarm_159_174.pdb
top_31_A,A,top_31_B,B,11.56,-23.1,-33.733,-31.44,3.18,-15.581,-81.46,-12.505,-0.655,-0.0528,swarm_348_101.pdb
top_32_A,A,top_32_B,B,8.68,-15.65,-34.19,-98.35,-9.53,-10.425,-73.892,5.955,-2.423,-0.0893,swarm_453_188.pdb
top_33_A,A,top_33_B,B,8.28,-20.59,-34.339,-28.57,0.86,-17.282,-35.168,-2.448,-8.695,0.0514,swarm_236_138.pdb
top_34_A,A,top_34_B,B,8.12,-19.32,-34.375,-29.8,-21.71,-16.102,-55.531,-6.542,-2.887,-0.0244,swarm_436_20.pdb
top_35_A,A,top_35_B,B,6.32,-21.11,-33.483,-24.93,-5.53,-16.194,-26.272,-9.569,-3.214,-0.0573,swarm_4_119.pdb
top_36_A,A,top_36_B,B,1.58,-20.26,-36.051,-3.54,3.89,-9.641,-40.652,-12.943,2.941,-0.056,swarm_347_4.pdb
top_37_A,A,top_37_B,B,15.16,-21.58,-38.945,-3.11,11.99,-17.772,-85.372,-1.892,-4.36,-0.0387,swarm_352_122.pdb
top_38_A,A,top_38_B,B,9.76,-26.1,-45.756,-67.44,-11.24,-27.958,-88.807,-25.113,-3.949,-0.0291,swarm_490_160.pdb
top_39_A,A,top_39_B,B,4.82,-24.94,-36.272,-32.17,-10.98,-7.111,-45.499,7.974,-4.035,0.0888,swarm_545_94.pdb
top_40_A,A,top_40_B,B,4.72,-20.13,-34.558,-66.35,-30.81,-10.043,-79.735,-15.673,0.199,-0.2085,swarm_125_174.pdb
top_41_A,A,top_41_B,B,12.64,-23.17,-34.47,-57.8,-20.81,-31.764,-80.915,-19.722,-2.35,-0.1119,swarm_505_104.pdb
top_42_A,A,top_42_B,B,3.14,-19.02,-33.582,-22.51,13.57,-11.366,-64.322,-2.878,-7.265,-0.0316,swarm_265_102.pdb
top_43_A,A,top_43_B,B,6.64,-19.98,-39.489,-37.76,20.63,-11.868,-43.975,2.575,-7.976,-0.273,swarm_108_88.pdb
top_44_A,A,top_44_B,B,7.78,-19.0,-33.389,-28.36,-5.71,-24.984,-64.222,-29.167,-4.457,0.0161,swarm_297_97.pdb
top_45_A,A,top_45_B,B,9.0,-20.91,-32.879,-10.03,0.58,-8.544,-75.338,-15.148,0.4,-0.0067,swarm_356_175.pdb
top_46_A,A,top_46_B,B,1.16,-19.85,-32.444,-7.53,-0.37,-8.776,-35.638,-16.663,0.122,-0.045,swarm_194_64.pdb
top_47_A,A,top_47_B,B,14.68,-15.79,-32.692,-12.97,20.37,-24.565,-61.48,-10.41,-7.218,0.0164,swarm_229_44.pdb
top_48_A,A,top_48_B,B,9.98,-22.38,-39.856,-72.83,-8.96,-6.949,-82.022,6.665,-6.589,-0.115,swarm_136_196.pdb
top_49_A,A,top_49_B,B,4.86,-24.91,-35.641,-28.56,7.69,-9.768,-60.172,-11.676,-1.648,-0.0205,swarm_284_36.pdb
top_50_A,A,top_50_B,B,13.84,-19.56,-35.968,-25.2,2.1,-20.952,-44.362,-16.593,-10.776,-0.1137,swarm_240_128.pdb
top_51_A,A,top_51_B,B,9.82,-23.42,-42.161,-49.68,-6.01,-16.057,-94.294,-12.069,-3.834,-0.3437,swarm_470_12.pdb
top_52_A,A,top_52_B,B,7.4,-19.81,-35.144,25.36,14.44,-17.878,-71.478,-20.064,1.008,-0.0883,swarm_365_47.pdb
top_53_A,A,top_53_B,B,16.46,-14.64,-36.763,17.41,29.06,-23.428,-22.342,-1.489,-10.444,-0.1012,swarm_490_104.pdb
top_54_A,A,top_54_B,B,5.36,-23.05,-43.983,29.39,53.11,-14.282,30.236,0.411,-8.264,0.0138,swarm_138_193.pdb
top_55_A,A,top_55_B,B,5.92,-23.06,-29.655,-67.82,-23.17,-13.255,-51.9,-20.203,0.619,-0.0806,swarm_245_28.pdb
top_56_A,A,top_56_B,B,6.62,-25.19,-33.788,-26.64,3.95,-1.537,13.326,-4.446,-0.402,0.0833,swarm_441_11.pdb
top_57_A,A,top_57_B,B,8.88,-16.94,-33.606,-4.03,11.13,-24.447,-67.52,-8.201,-6.093,0.0431,swarm_179_160.pdb
top_58_A,A,top_58_B,B,19.22,-20.39,-37.251,-23.82,4.91,-22.802,-92.265,-6.232,-8.036,0.1113,swarm_492_33.pdb
top_59_A,A,top_59_B,B,4.08,-17.67,-31.807,-21.32,10.68,-13.827,-32.392,-2.872,-4.281,-0.1163,swarm_154_199.pdb
top_60_A,A,top_60_B,B,6.74,-21.31,-33.928,-50.64,-3.35,-16.705,-63.947,-16.619,-3.148,-0.1008,swarm_296_142.pdb
top_61_A,A,top_61_B,B,8.78,-15.59,-35.313,-11.8,2.83,-4.194,-93.784,4.162,-4.844,-0.0223,swarm_474_74.pdb
top_62_A,A,top_62_B,B,6.54,-19.93,-33.479,13.28,16.52,-12.338,2.683,2.386,-3.768,0.0464,swarm_342_142.pdb
top_63_A,A,top_63_B,B,9.02,-14.26,-36.673,15.23,31.78,-14.913,-36.725,-3.04,-5.671,-0.0482,swarm_15_87.pdb
top_64_A,A,top_64_B,B,7.14,-14.47,-32.832,-11.76,17.39,-19.263,-65.55,-2.673,-4.081,0.0686,swarm_466_138.pdb
top_65_A,A,top_65_B,B,6.14,-15.63,-34.557,-26.18,-2.99,-21.046,-75.568,-11.169,-4.835,-0.0007,swarm_428_57.pdb
top_66_A,A,top_66_B,B,7.98,-25.13,-36.75,-48.0,0.91,-8.301,-51.017,-5.946,-3.686,-0.1527,swarm_342_110.pdb
top_67_A,A,top_67_B,B,4.94,-21.1,-33.218,-48.38,1.06,-10.653,-53.754,-5.007,-3.463,-0.0454,swarm_69_90.pdb
top_68_A,A,top_68_B,B,6.58,-14.95,-32.967,6.97,10.76,-10.089,-32.253,5.608,-1.986,0.05,swarm_298_17.pdb
top_69_A,A,top_69_B,B,4.58,-19.75,-34.945,38.31,46.02,-10.459,-6.873,-13.44,-6.588,0.0468,swarm_356_57.pdb
top_70_A,A,top_70_B,B,7.38,-19.46,-34.07,-25.06,-2.16,-16.418,-60.043,-15.263,-4.241,-0.0606,swarm_363_90.pdb
top_71_A,A,top_71_B,B,4.28,-19.57,-40.19,77.73,59.87,-16.17,40.9,9.707,-10.729,-0.0005,swarm_411_176.pdb
top_72_A,A,top_72_B,B,14.18,-14.02,-32.705,22.74,21.3,-20.421,-35.686,0.262,-6.435,0.13,swarm_430_119.pdb
top_73_A,A,top_73_B,B,5.94,-23.5,-32.011,2.7,-4.25,-21.839,-31.999,-23.832,2.453,-0.0789,swarm_485_187.pdb
top_74_A,A,top_74_B,B,1.94,-25.59,-35.727,-33.86,-16.94,-6.576,-71.819,-15.559,-0.758,-0.0243,swarm_319_84.pdb
top_75_A,A,top_75_B,B,3.08,-18.01,-31.776,91.14,31.53,-7.735,-29.686,0.551,1.622,-0.0454,swarm_347_148.pdb
top_76_A,A,top_76_B,B,8.9,-14.51,-32.328,36.01,34.8,-7.242,38.425,24.618,-7.183,-0.0103,swarm_520_34.pdb
top_77_A,A,top_77_B,B,4.08,-20.91,-39.285,-44.87,3.46,-9.596,25.984,-6.349,7.377,-0.28,swarm_246_143.pdb
top_78_A,A,top_78_B,B,4.66,-14.7,-32.382,-19.44,9.87,-10.193,-51.101,-3.917,-3.485,0.0143,swarm_283_18.pdb
top_79_A,A,top_79_B,B,6.38,-20.83,-35.02,5.66,39.97,-16.62,12.586,-3.971,1.181,-0.1006,swarm_410_58.pdb
top_80_A,A,top_80_B,B,8.7,-17.81,-33.773,-38.05,-23.91,-27.122,-51.128,-13.933,-1.639,-0.1519,swarm_53_178.pdb
top_81_A,A,top_81_B,B,6.24,-21.56,-35.053,-33.92,-18.34,-11.545,-33.728,-27.642,-3.421,-0.2572,swarm_108_195.pdb
top_82_A,A,top_82_B,B,7.16,-26.06,-44.351,-17.47,9.27,-8.885,-85.586,6.77,-4.854,-0.2418,swarm_239_176.pdb
top_83_A,A,top_83_B,B,5.24,-19.22,-29.536,-45.45,-21.88,-13.694,-55.631,-3.503,-1.76,-0.0478,swarm_117_110.pdb
top_84_A,A,top_84_B,B,9.36,-19.5,-33.761,-59.25,-28.51,-20.641,-56.263,-5.201,-3.076,-0.1084,swarm_347_136.pdb
top_85_A,A,top_85_B,B,9.88,-18.69,-30.608,46.06,28.8,-18.527,-34.378,-17.158,-4.189,-0.0743,swarm_171_122.pdb
top_86_A,A,top_86_B,B,11.8,-25.28,-36.188,-32.83,-6.3,-25.513,-88.782,-28.609,-2.566,0.0527,swarm_153_65.pdb
top_87_A,A,top_87_B,B,10.9,-19.33,-32.99,-35.85,-15.55,-13.717,-65.417,-1.134,-6.383,-0.0395,swarm_183_33.pdb
top_88_A,A,top_88_B,B,6.48,-18.02,-32.298,-14.82,0.7,-19.622,-33.79,4.278,-4.692,0.1244,swarm_236_182.pdb
top_89_A,A,top_89_B,B,5.66,-14.52,-31.637,30.18,38.86,-19.369,9.909,0.488,0.474,-0.2303,swarm_139_46.pdb
top_90_A,A,top_90_B,B,8.72,-20.5,-34.241,-28.25,-0.33,-13.138,-48.36,-6.371,-6.257,0.0539,swarm_467_180.pdb
top_91_A,A,top_91_B,B,2.96,-19.83,-33.112,25.21,13.22,-9.857,-33.357,5.588,-6.014,-0.0568,swarm_408_172.pdb
top_92_A,A,top_92_B,B,9.52,-19.29,-35.086,21.08,31.97,-7.339,-43.569,6.323,-8.164,0.0976,swarm_476_35.pdb
top_93_A,A,top_93_B,B,11.56,-20.81,-37.891,29.17,16.75,-15.269,-58.097,3.418,-5.796,0.4124,swarm_58_71.pdb
top_94_A,A,top_94_B,B,12.56,-18.15,-32.482,1.25,1.0,-35.343,-30.005,-14.291,-2.718,-0.0426,swarm_377_115.pdb
top_95_A,A,top_95_B,B,3.04,-17.44,-32.733,-54.22,11.8,-14.863,-38.142,-15.09,-4.035,-0.0277,swarm_476_83.pdb
top_96_A,A,top_96_B,B,13.56,-24.23,-34.763,-22.15,5.81,-19.461,-78.062,-2.912,-10.281,0.0822,swarm_521_43.pdb
top_97_A,A,top_97_B,B,7.38,-20.52,-32.348,-0.0700000000001,-4.56,-9.014,-56.833,-13.461,-3.367,0.0098,swarm_430_173.pdb
top_98_A,A,top_98_B,B,15.28,-24.09,-49.227,-6.24,23.35,-15.773,-12.251,-0.12,-9.306,0.0281,swarm_455_131.pdb
top_99_A,A,top_99_B,B,7.18,-16.3,-33.467,16.47,14.05,-9.893,-15.925,-0.349,-4.699,-0.0555,swarm_499_33.pdb
top_100_A,A,top_100_B,B,8.1,-20.31,-37.502,-43.81,7.32,-15.8,-79.92,0.214,-8.628,0.0675,swarm_375_178.pdb
top_101_A,A,top_101_B,B,8.78,-18.43,-29.538,-3.38,-7.98,1.577,-49.279,8.828,-0.485,-0.09,swarm_15_100.pdb
top_102_A,A,top_102_B,B,2.56,-17.92,-28.168,-18.93,-5.83,-14.877,-35.585,-25.376,-1.501,-0.025,swarm_411_76.pdb
top_103_A,A,top_103_B,B,11.66,-18.79,-33.009,-19.92,0.22,-18.097,-81.896,-4.318,-7.454,-0.1088,swarm_543_137.pdb
top_104_A,A,top_104_B,B,7.8,-20.97,-33.657,-43.16,-22.23,-19.751,-69.541,-10.714,-6.75,-0.0748,swarm_239_35.pdb
top_105_A,A,top_105_B,B,0.86,-21.85,-36.012,-19.38,32.91,-15.274,-24.055,-16.874,-3.055,-0.1014,swarm_536_8.pdb
