pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,7.72,-22.57,-29.85,8.17,24.33,-60.314,-15.526,-41.961,-6.623,0.0563,swarm_126_8.pdb
top_2_A,A,top_2_B,B,1.22,-19.03,-24.952,-31.44,-21.77,-63.942,-60.36,-59.217,2.16,-0.1787,swarm_54_196.pdb
top_3_A,A,top_3_B,B,4.0,-16.0,-21.669,21.04,17.87,-31.988,-33.531,-8.422,-3.233,0.0163,swarm_30_109.pdb
top_4_A,A,top_4_B,B,2.14,-15.58,-23.975,-43.79,-20.65,-60.324,-34.832,-49.769,-0.167,0.0636,swarm_87_140.pdb
top_5_A,A,top_5_B,B,5.1,-17.16,-23.073,1.57,-2.33,-37.801,-6.981,-25.332,-0.697,-0.1145,swarm_86_111.pdb
top_6_A,A,top_6_B,B,8.86,-12.1,-23.42,-17.8,6.79,-45.343,-53.093,-16.343,-5.598,-0.044,swarm_148_179.pdb
top_7_A,A,top_7_B,B,3.66,-11.92,-19.607,-18.94,-9.72,-47.458,-51.331,-44.868,0.753,-0.1419,swarm_148_19.pdb
top_8_A,A,top_8_B,B,-0.06,-14.48,-22.119,-35.16,-10.85,-40.927,-32.288,-29.109,2.53,-0.1144,swarm_49_95.pdb
top_9_A,A,top_9_B,B,4.96,-16.35,-24.379,-40.6,-5.2,-47.464,-55.397,-38.399,-2.169,-0.0728,swarm_87_128.pdb
top_10_A,A,top_10_B,B,6.44,-14.12,-23.989,5.7,9.61,-39.748,-49.727,-9.007,-1.202,0.0306,swarm_87_191.pdb
top_11_A,A,top_11_B,B,2.5,-12.65,-19.688,-41.45,-16.37,-32.277,-48.102,-29.062,-2.728,-0.0354,swarm_23_37.pdb
top_12_A,A,top_12_B,B,6.12,-11.12,-19.096,-7.34,-6.41,-33.759,-28.353,-18.206,-6.425,0.0632,swarm_151_42.pdb
top_13_A,A,top_13_B,B,2.26,-13.25,-17.322,-21.37,19.76,-49.152,-21.981,-39.502,-0.558,-0.1176,swarm_70_90.pdb
top_14_A,A,top_14_B,B,9.14,1.57,-13.199,290.93,162.44,-70.226,275.309,-24.677,-8.46,-0.0242,swarm_148_195.pdb
top_15_A,A,top_15_B,B,9.46,-13.13,-22.485,-7.17,8.16,-44.04,-36.649,-22.744,-1.799,0.0303,swarm_148_105.pdb
top_16_A,A,top_16_B,B,9.66,-12.13,-18.7,-19.53,-7.04,-47.326,-60.957,-22.352,-2.66,0.035,swarm_126_84.pdb
top_17_A,A,top_17_B,B,5.32,-13.38,-20.125,-36.69,-9.78,-44.514,-41.532,-31.616,-3.656,-0.0174,swarm_38_7.pdb
top_18_A,A,top_18_B,B,7.86,-15.85,-23.856,-34.87,-4.18,-51.342,-53.294,-28.141,-2.35,-0.2223,swarm_92_92.pdb
top_19_A,A,top_19_B,B,0.3,-11.51,-18.5,-20.56,-14.38,-61.689,-33.846,-51.966,-0.287,-0.3021,swarm_148_20.pdb
top_20_A,A,top_20_B,B,8.58,-11.21,-19.545,-24.42,-5.42,-39.653,-55.046,-5.647,-5.357,-0.0851,swarm_37_182.pdb
top_21_A,A,top_21_B,B,0.14,-14.95,-21.34,-62.75,-27.52,-42.245,-58.707,-35.585,-0.253,-0.0769,swarm_129_140.pdb
top_22_A,A,top_22_B,B,5.74,-11.67,-20.498,8.41,1.8,-39.586,-21.463,-20.049,-3.225,-0.1699,swarm_95_39.pdb
top_23_A,A,top_23_B,B,1.08,-11.52,-18.559,-23.14,-14.55,-45.761,-50.746,-35.904,-3.733,-0.0742,swarm_27_45.pdb
top_24_A,A,top_24_B,B,5.86,-10.49,-19.976,-32.13,-4.49,-38.336,-36.769,-17.839,-3.342,0.0015,swarm_9_46.pdb
top_25_A,A,top_25_B,B,10.02,-13.29,-23.851,-50.36,-10.41,-39.062,-62.813,-4.977,-1.891,0.1073,swarm_30_140.pdb
top_26_A,A,top_26_B,B,3.68,-16.29,-22.306,-47.8,1.76,-16.478,-50.564,-2.619,-1.078,0.1743,swarm_87_119.pdb
top_27_A,A,top_27_B,B,7.52,-14.75,-20.48,18.28,-5.36,-37.492,-30.565,-19.016,-3.935,0.1391,swarm_86_69.pdb
top_28_A,A,top_28_B,B,-1.58,-14.23,-23.609,-48.41,-21.15,-50.447,-50.471,-45.049,0.801,-0.1449,swarm_150_60.pdb
top_29_A,A,top_29_B,B,-1.56,-11.38,-19.562,-39.35,-25.56,-48.341,-28.453,-34.853,0.435,-0.2173,swarm_137_108.pdb
top_30_A,A,top_30_B,B,3.36,-17.31,-20.412,-46.11,-27.72,-53.254,-38.413,-51.982,-1.18,-0.1503,swarm_19_99.pdb
top_31_A,A,top_31_B,B,5.68,-12.14,-21.173,-15.1,-7.31,-48.181,-69.473,-6.78,-5.82,-0.1223,swarm_30_187.pdb
top_32_A,A,top_32_B,B,3.62,-14.0,-19.483,-0.88,-1.35,-39.155,-43.694,-40.804,-2.232,-0.1173,swarm_98_25.pdb
top_33_A,A,top_33_B,B,1.42,-16.66,-22.507,-36.97,-26.71,-47.981,-47.608,-43.162,1.177,-0.2446,swarm_129_59.pdb
top_34_A,A,top_34_B,B,3.02,-12.65,-18.056,-7.65,19.41,-28.452,-19.903,-17.358,-3.195,0.0114,swarm_112_108.pdb
top_35_A,A,top_35_B,B,-3.62,-11.7,-18.139,-47.12,-17.35,-53.836,-17.291,-46.162,2.216,-0.1772,swarm_95_131.pdb
top_36_A,A,top_36_B,B,7.78,-12.89,-20.683,-8.3,7.55,-28.503,-8.973,-3.221,-8.516,-0.0496,swarm_20_169.pdb
top_37_A,A,top_37_B,B,3.62,-10.87,-20.147,-12.9,-3.24,-48.754,-46.823,-21.82,-4.619,0.0136,swarm_12_27.pdb
top_38_A,A,top_38_B,B,3.16,-13.95,-19.257,-36.51,-4.79,-21.227,-20.029,-6.806,-3.197,0.1884,swarm_151_172.pdb
top_39_A,A,top_39_B,B,6.26,-8.3,-21.655,-17.27,10.34,-20.212,-51.699,17.474,-4.669,0.0833,swarm_92_127.pdb
top_40_A,A,top_40_B,B,2.74,-15.48,-20.681,-79.29,-36.38,-52.475,-28.985,-41.893,2.217,-0.1508,swarm_29_147.pdb
