pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,15.72,-41.33,-60.511,-16.61,9.24,-15.764,-110.53,-4.34,-9.367,0.0408,swarm_175_136.pdb
top_2_A,A,top_2_B,B,2.92,-32.64,-54.943,38.1,70.18,-22.173,-7.97,-2.713,-3.751,0.1346,swarm_108_34.pdb
top_3_A,A,top_3_B,B,9.38,-33.35,-51.523,-44.85,-6.83,-10.12,-95.503,-23.279,-0.929,0.3685,swarm_175_110.pdb
top_4_A,A,top_4_B,B,4.84,-35.7,-54.229,-34.09,24.36,-16.644,-74.738,-22.547,-2.308,0.0818,swarm_140_29.pdb
top_5_A,A,top_5_B,B,2.1,-36.49,-57.002,-24.38,-11.74,-20.273,-87.036,4.549,-5.054,-0.0628,swarm_183_47.pdb
top_6_A,A,top_6_B,B,6.44,-31.22,-47.341,38.07,47.57,-8.16,-36.514,-21.58,4.055,0.0307,swarm_200_15.pdb
top_7_A,A,top_7_B,B,10.24,-23.72,-43.642,-34.56,-19.93,-29.468,-89.538,-10.626,-2.004,-0.1361,swarm_136_176.pdb
top_8_A,A,top_8_B,B,4.16,-30.05,-52.709,66.13,28.48,-34.758,-58.32,-24.267,-1.674,-0.1832,swarm_283_120.pdb
top_9_A,A,top_9_B,B,10.64,-27.37,-45.554,13.12,7.19,-20.864,-83.743,-6.484,-3.571,0.2791,swarm_202_34.pdb
top_10_A,A,top_10_B,B,9.54,-20.08,-43.477,54.68,57.48,-32.924,7.629,4.234,-8.695,-0.1161,swarm_244_111.pdb
top_11_A,A,top_11_B,B,11.64,-36.3,-60.458,72.54,74.18,-34.635,43.421,-10.767,-4.704,0.0287,swarm_61_50.pdb
top_12_A,A,top_12_B,B,12.28,-22.11,-43.088,-54.0,-10.3,-12.714,-82.932,7.129,-2.982,-0.0751,swarm_30_6.pdb
top_13_A,A,top_13_B,B,5.6,-30.9,-45.719,-0.24,32.51,-23.024,-37.55,-9.531,-6.77,0.0313,swarm_174_79.pdb
top_14_A,A,top_14_B,B,9.62,-24.4,-42.243,-17.33,-11.25,-26.209,-102.324,-19.251,0.572,-0.1511,swarm_200_3.pdb
top_15_A,A,top_15_B,B,1.94,-21.51,-42.542,57.62,46.92,-2.839,-10.004,11.895,3.368,-0.1694,swarm_140_0.pdb
top_16_A,A,top_16_B,B,4.76,-18.19,-42.037,-10.73,19.03,-16.37,41.112,-4.486,-0.896,0.0928,swarm_30_87.pdb
top_17_A,A,top_17_B,B,-2.7,-26.07,-48.695,98.22,92.25,-29.687,30.478,-1.435,-1.27,0.1026,swarm_174_58.pdb
