pdb1,chains_pdb1,pdb2,chains_pdb2,CP_MJ3h,AP_dDFIRE,AP_DFIRE2,AP_T1,AP_T2,ELE,VDW,PYDOCK_TOT,SIPPER,AP_PISA,Conf
top_1_A,A,top_1_B,B,-12.88,-32.23,-41.523,-30.0,7.62,-10.398,34.297,-34.942,10.884,-0.1992,swarm_82_18.pdb
top_2_A,A,top_2_B,B,-1.58,-29.01,-38.712,-49.23,-12.5,-7.95,-13.748,-6.72,1.678,-0.3085,swarm_65_141.pdb
top_3_A,A,top_3_B,B,-7.0,-27.0,-37.175,-64.05,13.16,-11.659,-25.432,-37.62,12.968,0.0026,swarm_154_114.pdb
top_4_A,A,top_4_B,B,0.98,-28.22,-41.184,-1.07,34.31,-1.303,-2.924,-1.778,4.109,0.1435,swarm_38_199.pdb
top_5_A,A,top_5_B,B,-2.8,-27.68,-42.784,-4.25,41.22,-5.644,-1.241,-20.267,6.572,-0.3003,swarm_109_88.pdb
top_6_A,A,top_6_B,B,-3.22,-20.91,-33.158,15.32,26.79,-6.2,-3.928,-14.666,7.868,-0.153,swarm_49_7.pdb
top_7_A,A,top_7_B,B,0.94,-17.94,-32.895,-33.98,19.58,-7.908,-16.535,-10.386,-1.341,-0.0637,swarm_159_168.pdb
top_8_A,A,top_8_B,B,-3.2,-24.61,-34.022,-42.37,3.03,-1.567,-21.087,-15.724,-1.318,-0.0048,swarm_115_57.pdb
top_9_A,A,top_9_B,B,-6.12,-22.96,-29.899,-60.12,-39.01,-13.146,-15.487,-28.642,4.854,-0.207,swarm_60_128.pdb
top_10_A,A,top_10_B,B,-1.34,-21.6,-32.92,-6.94,18.55,-9.095,-11.299,-11.45,-1.041,-0.0364,swarm_182_118.pdb
top_11_A,A,top_11_B,B,-7.58,-19.76,-32.932,65.58,63.44,-6.114,-31.668,-27.365,10.264,-0.0592,swarm_105_26.pdb
top_12_A,A,top_12_B,B,-0.7,-18.52,-27.393,17.66,24.16,-7.482,-8.211,-7.181,1.176,-0.0921,swarm_60_173.pdb
top_13_A,A,top_13_B,B,-0.28,-21.29,-35.519,-27.74,10.3,-9.059,-30.618,-7.074,3.852,-0.0289,swarm_116_110.pdb
top_14_A,A,top_14_B,B,-5.98,-19.7,-28.719,26.4,38.2,-1.893,30.937,-17.686,2.574,-0.1071,swarm_112_120.pdb
top_15_A,A,top_15_B,B,3.94,-20.76,-35.211,20.53,38.63,1.797,-14.051,-3.607,2.57,-0.0607,swarm_15_5.pdb
top_16_A,A,top_16_B,B,-14.36,-29.57,-40.511,53.79,69.73,-4.923,134.516,-26.169,11.279,-0.068,swarm_174_114.pdb
top_17_A,A,top_17_B,B,-4.1,-23.04,-33.314,22.92,65.72,-9.232,72.098,-16.297,4.411,-0.2329,swarm_28_40.pdb
top_18_A,A,top_18_B,B,-1.44,-25.24,-35.542,-25.39,9.88,-11.64,-75.202,-27.436,5.628,-0.2246,swarm_154_70.pdb
top_19_A,A,top_19_B,B,-7.9,-20.76,-29.883,-62.16,-24.33,-7.277,0.162,-32.699,12.243,-0.2189,swarm_112_192.pdb
top_20_A,A,top_20_B,B,-8.44,-28.16,-37.074,-59.89,-25.37,-8.81,-32.798,-34.455,15.393,0.0109,swarm_79_118.pdb
top_21_A,A,top_21_B,B,-5.78,-21.21,-28.891,-68.78,-43.64,-7.136,-43.912,-31.361,3.654,-0.0725,swarm_129_28.pdb
